definition,reference,cohort,outcome,ml_only_n,reference_only_n,difference,ci_low,ci_high,bootstrap_valid_fraction
EQ,linear,full12,delta_e,9,126,-3.024143374822823,-12.931426143375218,7.2702772906256685,0.9994997498749375
EQ,linear,full12,local_logreturn_bp,9,126,-2.0936466843166013,-29.888454586990125,20.144294068764918,0.9994997498749375
EQ,linear,full12,fall10,9,126,0.18253968253968253,-0.06123388005508952,0.5140129948791367,0.9994997498749375
EQ,linear,common_path,delta_e,4,58,-7.077665040697415,-20.389177601787765,8.887203361452672,0.9769884942471235
EQ,linear,common_path,local_logreturn_bp,4,58,-7.91066176700656,-67.93649624683862,20.871620946597787,0.9769884942471235
EQ,linear,common_path,fall10,4,58,0.4482758620689655,-0.06944444444444445,0.9576241134751774,0.9769884942471235
EQ,threshold,full12,delta_e,24,85,-4.350897511898541,-8.980617527468741,0.621434652066794,1.0
EQ,threshold,full12,local_logreturn_bp,24,85,2.2161523442679845,-11.687101075926597,15.41697558749521,1.0
EQ,threshold,full12,fall10,24,85,0.07794117647058824,-0.042564707172625574,0.1899718910340468,1.0
EQ,threshold,common_path,delta_e,7,38,-2.9113032537083456,-11.215922937406281,5.568624505336181,1.0
EQ,threshold,common_path,local_logreturn_bp,7,38,-2.033840371871638,-36.57544199150714,34.74288618011847,1.0
EQ,threshold,common_path,fall10,7,38,0.09022556390977443,-0.1111111111111111,0.3890394979697301,1.0
CAP,linear,full12,delta_e,14,34,-6.661334983600737,-11.912731297736206,-2.2869520079734027,1.0
CAP,linear,full12,local_logreturn_bp,14,34,11.291071546868132,-6.539704288419452,30.511816618245856,1.0
CAP,linear,full12,fall10,14,34,0.11344537815126049,-0.045454545454545456,0.32371794871794873,1.0
CAP,linear,common_path,delta_e,4,16,-5.623203097298374,-15.3091766651764,7.667257946066322,0.9769884942471235
CAP,linear,common_path,local_logreturn_bp,4,16,28.19488785486066,-1.0151223690047282,53.932685737487304,0.9769884942471235
CAP,linear,common_path,fall10,4,16,0.25,0.0,0.6666666666666666,0.9769884942471235
CAP,threshold,full12,delta_e,21,24,-2.9609018714131614,-6.5076365243526535,0.9207534296106247,1.0
CAP,threshold,full12,local_logreturn_bp,21,24,9.03668179959886,-9.576837979862313,28.8682643249221,1.0
CAP,threshold,full12,fall10,21,24,0.05357142857142857,-0.06530882352941175,0.18652231423970553,1.0
CAP,threshold,common_path,delta_e,8,10,-2.4327372555933175,-8.342223347964117,3.1669966601932797,0.9989994997498749
CAP,threshold,common_path,local_logreturn_bp,8,10,13.166620438248598,-28.38572105113895,46.70804749005143,0.9989994997498749
CAP,threshold,common_path,fall10,8,10,0.125,0.0,0.36363636363636365,0.9989994997498749
PCA,linear,full12,delta_e,12,124,-1.8981952729119769,-10.737356001412452,5.6567167506459715,0.9994997498749375
PCA,linear,full12,local_logreturn_bp,12,124,4.249936130651173,-19.53306693591264,31.004741977623542,0.9994997498749375
PCA,linear,full12,fall10,12,124,0.11827956989247311,-0.06994009175537838,0.41293809957093225,0.9994997498749375
PCA,linear,common_path,delta_e,6,58,-5.018706710340529,-14.216970345182009,7.559897813490694,0.9989994997498749
PCA,linear,common_path,local_logreturn_bp,6,58,3.813469514038501,-33.74931372342033,46.024585984522965,0.9989994997498749
PCA,linear,common_path,fall10,6,58,0.26436781609195403,-0.08777089783281733,0.610062893081761,0.9989994997498749
PCA,threshold,full12,delta_e,30,83,-4.822269664439632,-9.79820059225884,0.19787557559259134,1.0
PCA,threshold,full12,local_logreturn_bp,30,83,10.033017866714419,-3.369755770237334,25.285900461495626,1.0
PCA,threshold,full12,fall10,30,83,0.10642570281124497,-0.030696890628397474,0.25005072463768113,1.0
PCA,threshold,common_path,delta_e,12,38,-5.7247224603906535,-12.905046661287255,1.7469300268153591,1.0
PCA,threshold,common_path,local_logreturn_bp,12,38,9.15546776244379,-18.344623973957855,38.783254425525,1.0
PCA,threshold,common_path,fall10,12,38,0.08771929824561403,-0.12903225806451613,0.33345959595959584,1.0
