definition,variant,information,calibration,threshold_bp,sample,strategy,fold,n,events,alarms,true_positives,false_positives,false_negatives,alarm_rate,recall,precision,cost,missed_severity_bp
EQ,original,F,raw,-5.0,full,ml_selected,2025-12,139,48.0,84.5,43.75,40.75,4.25,0.6079136690647482,0.9114583333333334,0.5177514792899408,0.05683453237410073,0.6665208870584383
EQ,original,F,raw,-5.0,full,ml_selected,2026-01,137,35.0,83.75,31.0,52.75,4.0,0.6113138686131386,0.8857142857142857,0.3701492537313433,0.06478102189781022,0.11037016772912338
EQ,original,F,raw,-5.0,full,ml_selected,2026-02,128,40.0,87.75,36.5,51.25,3.5,0.685546875,0.9125,0.41595441595441596,0.06464843750000002,0.04676660036364313
EQ,original,F,raw,-5.0,full,ml_selected,2026-03,105,41.0,56.5,35.0,21.5,6.0,0.5380952380952381,0.8536585365853658,0.6194690265486725,0.0719047619047619,0.4366628503912252
EQ,original,F,raw,-5.0,full,linear,2025-12,139,48.0,90.0,44.0,46.0,4.0,0.6474820143884892,0.9166666666666666,0.4888888888888889,0.05899280575539568,0.6132623172424864
EQ,original,F,raw,-5.0,full,linear,2026-01,137,35.0,137.0,35.0,102.0,0.0,1.0,1.0,0.25547445255474455,0.07445255474452554,0.0
EQ,original,F,raw,-5.0,full,linear,2026-02,128,40.0,109.0,39.0,70.0,1.0,0.8515625,0.975,0.3577981651376147,0.06171875,0.024987360153512175
EQ,original,F,raw,-5.0,full,linear,2026-03,105,41.0,55.0,36.0,19.0,5.0,0.5238095238095238,0.8780487804878049,0.6545454545454545,0.06095238095238095,0.4159906124155141
EQ,original,F,raw,-5.0,full,threshold,2025-12,139,48.0,84.0,42.0,42.0,6.0,0.60431654676259,0.875,0.5,0.06906474820143885,0.6834360256645161
EQ,original,F,raw,-5.0,full,threshold,2026-01,137,35.0,96.0,31.0,65.0,4.0,0.7007299270072993,0.8857142857142857,0.3229166666666667,0.07372262773722629,0.06484441179294304
EQ,original,F,raw,-5.0,full,threshold,2026-02,128,40.0,93.0,36.0,57.0,4.0,0.7265625,0.9,0.3870967741935484,0.07265625,0.23084645625289155
EQ,original,F,raw,-5.0,full,threshold,2026-03,105,41.0,54.0,36.0,18.0,5.0,0.5142857142857142,0.8780487804878049,0.6666666666666666,0.06,0.43094438729000833
EQ,original,F,raw,-5.0,full,historical,2025-12,139,48.0,139.0,48.0,91.0,0.0,1.0,1.0,0.34532374100719426,0.06546762589928055,0.0
EQ,original,F,raw,-5.0,full,historical,2026-01,137,35.0,137.0,35.0,102.0,0.0,1.0,1.0,0.25547445255474455,0.07445255474452554,0.0
EQ,original,F,raw,-5.0,full,historical,2026-02,128,40.0,128.0,40.0,88.0,0.0,1.0,1.0,0.3125,0.06874999999999999,0.0
EQ,original,F,raw,-5.0,full,historical,2026-03,105,41.0,105.0,41.0,64.0,0.0,1.0,1.0,0.3904761904761905,0.06095238095238094,0.0
EQ,original,F,raw,-5.0,full,state_hist,2025-12,139,48.0,74.0,41.0,33.0,7.0,0.5323741007194245,0.8541666666666666,0.5540540540540541,0.06906474820143886,0.7513136452087955
EQ,original,F,raw,-5.0,full,state_hist,2026-01,137,35.0,56.0,25.0,31.0,10.0,0.40875912408759124,0.7142857142857143,0.44642857142857145,0.08832116788321169,0.27249187913390494
EQ,original,F,raw,-5.0,full,state_hist,2026-02,128,40.0,73.0,36.0,37.0,4.0,0.5703125,0.9,0.4931506849315068,0.057031250000000006,0.0594880792388966
EQ,original,F,raw,-5.0,full,state_hist,2026-03,105,41.0,47.0,31.0,16.0,10.0,0.44761904761904764,0.7560975609756098,0.6595744680851063,0.10095238095238095,0.5813371729557957
EQ,original,F,raw,-5.0,full,always_alarm,2025-12,139,48.0,139.0,48.0,91.0,0.0,1.0,1.0,0.34532374100719426,0.06546762589928055,0.0
EQ,original,F,raw,-5.0,full,always_alarm,2026-01,137,35.0,137.0,35.0,102.0,0.0,1.0,1.0,0.25547445255474455,0.07445255474452554,0.0
EQ,original,F,raw,-5.0,full,always_alarm,2026-02,128,40.0,128.0,40.0,88.0,0.0,1.0,1.0,0.3125,0.06874999999999999,0.0
EQ,original,F,raw,-5.0,full,always_alarm,2026-03,105,41.0,105.0,41.0,64.0,0.0,1.0,1.0,0.3904761904761905,0.06095238095238094,0.0
EQ,original,F,raw,-5.0,full,never_alarm,2025-12,139,48.0,0.0,0.0,0.0,48.0,0.0,0.0,,0.31079136690647485,3.2042486591445254
EQ,original,F,raw,-5.0,full,never_alarm,2026-01,137,35.0,0.0,0.0,0.0,35.0,0.0,0.0,,0.22992700729927007,1.51588758942898
EQ,original,F,raw,-5.0,full,never_alarm,2026-02,128,40.0,0.0,0.0,0.0,40.0,0.0,0.0,,0.28125,3.39993550993521
EQ,original,F,raw,-5.0,full,never_alarm,2026-03,105,41.0,0.0,0.0,0.0,41.0,0.0,0.0,,0.3514285714285715,4.7786826472415465
EQ,original,F,raw,-5.0,nonoverlap,ml_selected,2025-12,40,14.0,23.75,12.5,11.25,1.5,0.59375,0.8928571428571429,0.5263157894736842,0.061875,0.6810938226259544
EQ,original,F,raw,-5.0,nonoverlap,ml_selected,2026-01,37,12.0,24.25,11.0,13.25,1.0,0.6554054054054054,0.9166666666666666,0.4536082474226804,0.06013513513513514,0.0375611505743631
EQ,original,F,raw,-5.0,nonoverlap,ml_selected,2026-02,36,12.0,26.0,11.0,15.0,1.0,0.7222222222222222,0.9166666666666666,0.4230769230769231,0.06666666666666668,0.021661050532507393
EQ,original,F,raw,-5.0,nonoverlap,ml_selected,2026-03,25,10.0,10.75,8.0,2.75,2.0,0.43,0.8,0.7441860465116279,0.083,0.9480794160557305
EQ,original,F,raw,-5.0,nonoverlap,linear,2025-12,40,14.0,24.0,12.0,12.0,2.0,0.6,0.8571428571428571,0.5,0.075,0.7238004010835234
EQ,original,F,raw,-5.0,nonoverlap,linear,2026-01,37,12.0,37.0,12.0,25.0,0.0,1.0,1.0,0.32432432432432434,0.06756756756756759,0.0
EQ,original,F,raw,-5.0,nonoverlap,linear,2026-02,36,12.0,30.0,12.0,18.0,0.0,0.8333333333333334,1.0,0.4,0.05000000000000001,0.0
EQ,original,F,raw,-5.0,nonoverlap,linear,2026-03,25,10.0,11.0,8.0,3.0,2.0,0.44,0.8,0.7272727272727273,0.084,0.9480794160557305
EQ,original,F,raw,-5.0,nonoverlap,threshold,2025-12,40,14.0,23.0,12.0,11.0,2.0,0.575,0.8571428571428571,0.5217391304347826,0.07250000000000001,0.7238004010835234
EQ,original,F,raw,-5.0,nonoverlap,threshold,2026-01,37,12.0,28.0,11.0,17.0,1.0,0.7567567567567568,0.9166666666666666,0.39285714285714285,0.07027027027027027,0.0375611505743631
EQ,original,F,raw,-5.0,nonoverlap,threshold,2026-02,36,12.0,26.0,11.0,15.0,1.0,0.7222222222222222,0.9166666666666666,0.4230769230769231,0.06666666666666668,0.21970281112988457
EQ,original,F,raw,-5.0,nonoverlap,threshold,2026-03,25,10.0,11.0,8.0,3.0,2.0,0.44,0.8,0.7272727272727273,0.084,0.9480794160557305
EQ,original,F,raw,-5.0,nonoverlap,historical,2025-12,40,14.0,40.0,14.0,26.0,0.0,1.0,1.0,0.35,0.065,0.0
