definition,strategy,threshold_bp,cost
EQ,ml_selected,-30.0,0.015471512770137525
EQ,linear,-30.0,0.017092337917485267
EQ,threshold,-30.0,0.015717092337917484
EQ,historical,-30.0,0.014145383104125737
EQ,state_hist,-30.0,0.014341846758349704
EQ,always_alarm,-30.0,0.09842829076620825
EQ,never_alarm,-30.0,0.014145383104125737
EQ,ml_selected,-29.5,0.01743614931237721
EQ,linear,-29.5,0.017288801571709235
EQ,threshold,-29.5,0.016110019646365426
EQ,historical,-29.5,0.015913555992141455
EQ,state_hist,-29.5,0.016110019646365423
EQ,always_alarm,-29.5,0.09823182711198428
EQ,never_alarm,-29.5,0.015913555992141455
EQ,ml_selected,-29.0,0.0174852652259332
EQ,linear,-29.0,0.01768172888015717
EQ,threshold,-29.0,0.016110019646365426
EQ,historical,-29.0,0.015913555992141455
EQ,state_hist,-29.0,0.017092337917485264
EQ,always_alarm,-29.0,0.09823182711198428
EQ,never_alarm,-29.0,0.015913555992141455
EQ,ml_selected,-28.5,0.01768172888015717
EQ,linear,-28.5,0.018074656188605105
EQ,threshold,-28.5,0.016306483300589394
EQ,historical,-28.5,0.015913555992141455
EQ,state_hist,-28.5,0.017092337917485264
EQ,always_alarm,-28.5,0.09823182711198428
EQ,never_alarm,-28.5,0.015913555992141455
EQ,ml_selected,-28.0,0.018074656188605105
EQ,linear,-28.0,0.01827111984282908
EQ,threshold,-28.0,0.014538310412573675
EQ,historical,-28.0,0.01768172888015717
EQ,state_hist,-28.0,0.01925343811394892
EQ,always_alarm,-28.0,0.09803536345776033
EQ,never_alarm,-28.0,0.01768172888015717
EQ,ml_selected,-27.5,0.01699410609037328
EQ,linear,-27.5,0.01905697445972495
EQ,threshold,-27.5,0.015324165029469549
EQ,historical,-27.5,0.01768172888015717
EQ,state_hist,-27.5,0.01925343811394892
EQ,always_alarm,-27.5,0.09803536345776033
EQ,never_alarm,-27.5,0.01768172888015717
EQ,ml_selected,-27.0,0.019597249508840862
EQ,linear,-27.0,0.018860510805500982
EQ,threshold,-27.0,0.015324165029469549
EQ,historical,-27.0,0.021218074656188607
EQ,state_hist,-27.0,0.020825147347740672
EQ,always_alarm,-27.0,0.09764243614931238
EQ,never_alarm,-27.0,0.021218074656188607
EQ,ml_selected,-26.5,0.021218074656188607
EQ,linear,-26.5,0.021021611001964636
EQ,threshold,-26.5,0.017878192534381138
EQ,historical,-26.5,0.022986247544204322
EQ,state_hist,-26.5,0.022593320235756387
EQ,always_alarm,-26.5,0.09744597249508842
EQ,never_alarm,-26.5,0.022986247544204322
EQ,ml_selected,-26.0,0.0231335952848723
EQ,linear,-26.0,0.023772102161100195
EQ,threshold,-26.0,0.01846758349705305
EQ,historical,-26.0,0.024754420432220044
EQ,state_hist,-26.0,0.024361493123772098
EQ,always_alarm,-26.0,0.09724950884086445
EQ,never_alarm,-26.0,0.024754420432220044
EQ,ml_selected,-25.5,0.024263261296660118
EQ,linear,-25.5,0.023968565815324163
EQ,threshold,-25.5,0.020235756385068762
EQ,historical,-25.5,0.026522593320235755
EQ,state_hist,-25.5,0.024165029469548134
EQ,always_alarm,-25.5,0.09705304518664049
EQ,never_alarm,-25.5,0.026522593320235755
EQ,ml_selected,-25.0,0.026326129666011788
EQ,linear,-25.0,0.030255402750491163
EQ,threshold,-25.0,0.025736738703339885
EQ,historical,-25.0,0.03752455795677799
EQ,state_hist,-25.0,0.026915520628683694
EQ,always_alarm,-25.0,0.09646365422396858
EQ,never_alarm,-25.0,0.0318271119842829
EQ,ml_selected,-24.5,0.024410609037328092
EQ,linear,-24.5,0.029273084479371318
EQ,threshold,-24.5,0.027308447937131632
EQ,historical,-24.5,0.03889980353634578
EQ,state_hist,-24.5,0.028880157170923376
EQ,always_alarm,-24.5,0.09646365422396858
EQ,never_alarm,-24.5,0.0318271119842829
EQ,ml_selected,-24.0,0.024017681728880157
EQ,linear,-24.0,0.031237721021611004
EQ,threshold,-24.0,0.025933202357563852
EQ,historical,-24.0,0.04774066797642437
EQ,state_hist,-24.0,0.03241650294695481
EQ,always_alarm,-24.0,0.09587426326129667
EQ,never_alarm,-24.0,0.03713163064833006
EQ,ml_selected,-23.5,0.025196463654223965
EQ,linear,-23.5,0.035559921414538315
EQ,threshold,-23.5,0.024950884086444008
EQ,historical,-23.5,0.04950884086444009
EQ,state_hist,-23.5,0.03163064833005894
EQ,always_alarm,-23.5,0.09548133595284874
EQ,never_alarm,-23.5,0.0406679764243615
EQ,ml_selected,-23.0,0.026326129666011784
EQ,linear,-23.0,0.03536345776031434
EQ,threshold,-23.0,0.027308447937131636
EQ,historical,-23.0,0.051277013752455795
EQ,state_hist,-23.0,0.03339882121807466
EQ,always_alarm,-23.0,0.09528487229862476
EQ,never_alarm,-23.0,0.042436149312377214
EQ,ml_selected,-22.5,0.028683693516699412
EQ,linear,-22.5,0.03673870333988212
EQ,threshold,-22.5,0.03202357563850688
EQ,historical,-22.5,0.05343811394891945
EQ,state_hist,-22.5,0.02888015717092338
EQ,always_alarm,-22.5,0.09489194499017682
EQ,never_alarm,-22.5,0.045972495088408644
EQ,ml_selected,-22.0,0.028536345776031438
EQ,linear,-22.0,0.03909626719056975
EQ,threshold,-22.0,0.03516699410609038
EQ,historical,-22.0,0.05618860510805501
EQ,state_hist,-22.0,0.0243614931237721
EQ,always_alarm,-22.0,0.09430255402750491
EQ,never_alarm,-22.0,0.051277013752455795
EQ,ml_selected,-21.5,0.02603143418467584
EQ,linear,-21.5,0.041060903732809434
EQ,threshold,-21.5,0.03673870333988213
EQ,historical,-21.5,0.05147347740667976
