definition,variant,information,strategy,state,n,e_state,scale_state,loss,too_high,too_low,below,q_change,actual_delta_mean,actual_delta_q10
EQ,original,F,ml_selected,0,11,low,low,1.041580708292122,0.07437917446632106,0.967201533825801,0.1590909090909091,-3.857333596413456,5.732038214659752,-2.5209192230800115
EQ,original,F,ml_selected,1,248,low,high,2.0465542853555094,0.5674013097676063,1.4791529755879034,0.08669354838709678,-6.909073351540905,7.252010504596343,-6.126793875289756
EQ,original,F,ml_selected,2,10,middle,low,1.681174027561017,0.6879345694124342,0.993239458148583,0.1,-9.872091479053356,-0.7040686413591202,-15.995061184426907
EQ,original,F,ml_selected,3,98,middle,high,1.525470544508549,0.2728195661177987,1.2526509783907505,0.05357142857142857,-12.84167343240756,-0.6182964997420533,-11.227067973918828
EQ,original,F,ml_selected,4,9,high,low,1.2193765740835993,0.0,1.2193765740835993,0.0,-19.16244089379167,-6.968675152955678,-18.08524520743306
EQ,original,F,ml_selected,5,133,high,high,1.8914180720224545,0.7590843505596679,1.1323337214627867,0.16917293233082706,-22.081888054816357,-11.601977896365899,-25.425941828634183
EQ,original,F,linear,0,11,low,low,1.8326609433382095,0.0,1.8326609433382095,0.0,-12.594571218722338,5.732038214659752,-2.5209192230800115
EQ,original,F,linear,1,248,low,high,2.359264621310311,0.6259944236613585,1.7332701976489517,0.06451612903225806,-9.385142112269444,7.252010504596343,-6.126793875289756
EQ,original,F,linear,2,10,middle,low,1.7931094704460577,0.4018908048195777,1.39121866562648,0.1,-14.1697099589355,-0.7040686413591202,-15.995061184426907
EQ,original,F,linear,3,98,middle,high,1.837368253465098,0.19594063615588106,1.6414276173092168,0.05102040816326531,-16.814860854883243,-0.6182964997420533,-11.227067973918828
EQ,original,F,linear,4,9,high,low,1.0437908839627843,0.0,1.0437908839627843,0.0,-17.40658399258352,-6.968675152955678,-18.08524520743306
EQ,original,F,linear,5,133,high,high,2.2634602845658542,1.0766993381109633,1.1867609464548905,0.24060150375939848,-22.27325476301374,-11.601977896365899,-25.425941828634183
EQ,original,F,threshold,0,11,low,low,1.5407478898739355,0.0,1.5407478898739355,0.0,-9.675440684079598,5.732038214659752,-2.5209192230800115
EQ,original,F,threshold,1,248,low,high,2.252568589202054,0.5731916400747474,1.6793769491273067,0.08064516129032258,-8.904879386593672,7.252010504596343,-6.126793875289756
EQ,original,F,threshold,2,10,middle,low,1.6624932036937334,0.6290219634765384,1.0334712402171953,0.2,-10.339867750779364,-0.7040686413591202,-15.995061184426907
EQ,original,F,threshold,3,98,middle,high,1.7320958171463405,0.3273568112533753,1.4047390058929652,0.061224489795918366,-14.301956768390179,-0.6182964997420533,-11.227067973918828
EQ,original,F,threshold,4,9,high,low,1.237026389055614,0.0,1.237026389055614,0.0,-19.338939043511814,-6.968675152955678,-18.08524520743306
EQ,original,F,threshold,5,133,high,high,2.1317884989611136,1.0068674885697382,1.1249210103913752,0.21804511278195488,-21.732446346313278,-11.601977896365899,-25.425941828634183
EQ,original,F,historical,0,11,low,low,2.1371488464315105,0.0,2.1371488464315105,0.0,-15.63945024965535,5.732038214659752,-2.5209192230800115
EQ,original,F,historical,1,248,low,high,2.7949931474941594,0.23235203406379337,2.562641113430366,0.012096774193548387,-18.11623170296977,7.252010504596343,-6.126793875289756
EQ,original,F,historical,2,10,middle,low,1.6567969027148255,0.06119240360673196,1.5956044991080935,0.1,-16.59212207287702,-0.7040686413591202,-15.995061184426907
EQ,original,F,historical,3,98,middle,high,1.9236600845553211,0.112530480656103,1.8111296038992182,0.05102040816326531,-18.604558671338566,-0.6182964997420533,-11.227067973918828
EQ,original,F,historical,4,9,high,low,1.0419201012564219,0.12373791782757082,0.918182183428851,0.1111111111111111,-16.01301041188022,-6.968675152955678,-18.08524520743306
EQ,original,F,historical,5,133,high,high,2.527809970789332,1.5842596904468698,0.9435502803424626,0.2932330827067669,-19.27719215484956,-11.601977896365899,-25.425941828634183
EQ,original,F,state_hist,0,11,low,low,1.3672650789217675,0.3837707437334384,0.983494335188329,0.09090909090909091,-3.676493199741938,5.732038214659752,-2.5209192230800115
EQ,original,F,state_hist,1,248,low,high,2.0881477138583335,0.5020716518031919,1.5860760620551417,0.07258064516129033,-8.050892725062639,7.252010504596343,-6.126793875289756
EQ,original,F,state_hist,2,10,middle,low,1.508227931679696,0.4860020489577317,1.0222258827219644,0.1,-10.386325191959061,-0.7040686413591202,-15.995061184426907
EQ,original,F,state_hist,3,98,middle,high,1.48864719698873,0.28786874198574697,1.200778455002983,0.05102040816326531,-12.306226892009944,-0.6182964997420533,-11.227067973918828
EQ,original,F,state_hist,4,9,high,low,1.1538138458009812,0.0985025790982967,1.0553112667026845,0.1111111111111111,-17.4123405098733,-6.968675152955678,-18.08524520743306
EQ,original,F,state_hist,5,133,high,high,1.9354228764298187,0.6795404565428413,1.2558824198869771,0.15037593984962405,-23.4057571435214,-11.601977896365899,-25.425941828634183
EQ,original,R,ml_selected,0,11,low,low,1.5044986018818198,0.0,1.5044986018818198,0.0,-9.312947804158444,5.732038214659752,-2.5209192230800115
EQ,original,R,ml_selected,1,248,low,high,2.0408400159312827,0.4902140135686329,1.5506260023626497,0.07258064516129033,-7.7095672817316725,7.252010504596343,-6.126793875289756
EQ,original,R,ml_selected,2,10,middle,low,1.6294738779277806,0.6700071221447733,0.9594667557830073,0.1,-9.554283841250557,-0.7040686413591202,-15.995061184426907
EQ,original,R,ml_selected,3,98,middle,high,1.5799694114021199,0.2897899136742737,1.2901794977278458,0.07142857142857142,-13.198102684049097,-0.6182964997420533,-11.227067973918828
EQ,original,R,ml_selected,4,9,high,low,1.2787087239650659,0.0,1.2787087239650659,0.0,-19.755762392606336,-6.968675152955678,-18.08524520743306
EQ,original,R,ml_selected,5,133,high,high,1.8934346251445873,0.7636947681335936,1.1297398570109942,0.17293233082706766,-22.05082672410518,-11.601977896365899,-25.425941828634183
EQ,original,R,linear,0,11,low,low,1.751633979804403,0.0,1.751633979804403,0.0,-11.784301583384275,5.732038214659752,-2.5209192230800115
EQ,original,R,linear,1,248,low,high,2.2122958340144794,0.6152192919064017,1.5970765421080777,0.07258064516129033,-8.035177925477322,7.252010504596343,-6.126793875289756
EQ,original,R,linear,2,10,middle,low,1.750045745658602,0.41041288051055647,1.3396328651480458,0.1,-13.644382981161181,-0.7040686413591202,-15.995061184426907
EQ,original,R,linear,3,98,middle,high,1.7101151115077382,0.17887844359436392,1.5312366679133738,0.05102040816326531,-15.731909352659832,-0.6182964997420533,-11.227067973918828
EQ,original,R,linear,4,9,high,low,1.0487159037972233,0.0,1.0487159037972233,0.0,-17.455834190927913,-6.968675152955678,-18.08524520743306
EQ,original,R,linear,5,133,high,high,2.0613603704912857,0.9185018601538489,1.142858510337437,0.18796992481203006,-22.010005377347106,-11.601977896365899,-25.425941828634183
EQ,original,R,threshold,0,11,low,low,1.172787746727228,0.07055658205566917,1.102231164671559,0.09090909090909091,-5.211877229771759,5.732038214659752,-2.5209192230800115
EQ,original,R,threshold,1,248,low,high,2.169020386769569,0.6867259712775724,1.4822944154919966,0.10080645161290322,-6.80790479334854,7.252010504596343,-6.126793875289756
EQ,original,R,threshold,2,10,middle,low,1.864671210087801,0.8383388547558317,1.026332355331969,0.1,-10.035904578283441,-0.7040686413591202,-15.995061184426907
EQ,original,R,threshold,3,98,middle,high,1.6095613598624736,0.28904501774388525,1.3205163421185884,0.05102040816326531,-13.502298790101396,-0.6182964997420533,-11.227067973918828
EQ,original,R,threshold,4,9,high,low,1.2851204371811629,0.0,1.2851204371811629,0.0,-19.81987952476731,-6.968675152955678,-18.08524520743306
EQ,original,R,threshold,5,133,high,high,1.9863579729545764,0.809114147544965,1.177243825409611,0.16541353383458646,-22.475400430967607,-11.601977896365899,-25.425941828634183
EQ,original,R,historical,0,11,low,low,2.1371488464315105,0.0,2.1371488464315105,0.0,-15.63945024965535,5.732038214659752,-2.5209192230800115
EQ,original,R,historical,1,248,low,high,2.7949931474941594,0.23235203406379337,2.562641113430366,0.012096774193548387,-18.11623170296977,7.252010504596343,-6.126793875289756
EQ,original,R,historical,2,10,middle,low,1.6567969027148255,0.06119240360673196,1.5956044991080935,0.1,-16.59212207287702,-0.7040686413591202,-15.995061184426907
EQ,original,R,historical,3,98,middle,high,1.9236600845553211,0.112530480656103,1.8111296038992182,0.05102040816326531,-18.604558671338566,-0.6182964997420533,-11.227067973918828
EQ,original,R,historical,4,9,high,low,1.0419201012564219,0.12373791782757082,0.918182183428851,0.1111111111111111,-16.01301041188022,-6.968675152955678,-18.08524520743306
EQ,original,R,historical,5,133,high,high,2.527809970789332,1.5842596904468698,0.9435502803424626,0.2932330827067669,-19.27719215484956,-11.601977896365899,-25.425941828634183
EQ,original,R,state_hist,0,11,low,low,1.3672650789217675,0.3837707437334384,0.983494335188329,0.09090909090909091,-3.676493199741938,5.732038214659752,-2.5209192230800115
EQ,original,R,state_hist,1,248,low,high,2.0881477138583335,0.5020716518031919,1.5860760620551417,0.07258064516129033,-8.050892725062639,7.252010504596343,-6.126793875289756
EQ,original,R,state_hist,2,10,middle,low,1.508227931679696,0.4860020489577317,1.0222258827219644,0.1,-10.386325191959061,-0.7040686413591202,-15.995061184426907
EQ,original,R,state_hist,3,98,middle,high,1.48864719698873,0.28786874198574697,1.200778455002983,0.05102040816326531,-12.306226892009944,-0.6182964997420533,-11.227067973918828
EQ,original,R,state_hist,4,9,high,low,1.1538138458009812,0.0985025790982967,1.0553112667026845,0.1111111111111111,-17.4123405098733,-6.968675152955678,-18.08524520743306
EQ,original,R,state_hist,5,133,high,high,1.9354228764298187,0.6795404565428413,1.2558824198869771,0.15037593984962405,-23.4057571435214,-11.601977896365899,-25.425941828634183
EQ,original,B,ml_selected,0,11,low,low,1.2869868832257856,0.0905857405086793,1.1964011427171062,0.09090909090909091,-6.131322389723886,5.732038214659752,-2.5209192230800115
EQ,original,B,ml_selected,1,248,low,high,2.090897892830488,0.5500227840337878,1.5408751087967005,0.07358870967741936,-7.545604156666453,7.252010504596343,-6.126793875289756
EQ,original,B,ml_selected,2,10,middle,low,1.8436304509875392,0.8611130474120958,0.9825174035754431,0.1,-9.572450402211224,-0.7040686413591202,-15.995061184426907
EQ,original,B,ml_selected,3,98,middle,high,1.535754480447542,0.23218517627255442,1.303569304174987,0.05102040816326531,-13.396006012300194,-0.6182964997420533,-11.227067973918828
EQ,original,B,ml_selected,4,9,high,low,1.3097618390192471,0.0,1.3097618390192471,0.0,-20.06629354314815,-6.968675152955678,-18.08524520743306
EQ,original,B,ml_selected,5,133,high,high,1.8964705670295416,0.7408092301182407,1.1556613369113011,0.18233082706766918,-22.335469898680866,-11.601977896365899,-25.425941828634183
EQ,original,B,linear,0,11,low,low,1.751633979804403,0.0,1.751633979804403,0.0,-11.784301583384275,5.732038214659752,-2.5209192230800115
