mode,definition,fold,common_n,days
strict,EQ,2025-12,0,0
strict,EQ,2026-01,0,0
strict,EQ,2026-02,0,0
strict,EQ,2026-03,0,0
strict,CAP,2025-12,0,0
strict,CAP,2026-01,0,0
strict,CAP,2026-02,0,0
strict,CAP,2026-03,0,0
strict,PCA,2025-12,0,0
strict,PCA,2026-01,0,0
strict,PCA,2026-02,0,0
strict,PCA,2026-03,0,0
available_macro,EQ,2025-12,66,22
available_macro,EQ,2026-01,63,21
available_macro,EQ,2026-02,60,20
available_macro,EQ,2026-03,50,14
available_macro,CAP,2025-12,66,22
available_macro,CAP,2026-01,63,21
available_macro,CAP,2026-02,60,20
available_macro,CAP,2026-03,50,14
available_macro,PCA,2025-12,66,22
available_macro,PCA,2026-01,63,21
available_macro,PCA,2026-02,60,20
available_macro,PCA,2026-03,50,14
