mode,definition,model,info,calibration,reference_model,reference_info,reference_calibration,block_days,comparison,n,difference_bp,difference_lo,difference_hi,improvement_pct,improvement_lo,improvement_hi,p_centered_boot,winning_months,months
available_macro,CAP,boosting,base,raw,linear,base,raw,1,algorithm_vs_linear,1088,-0.03183117420639546,-0.08939859290177744,0.025022459504235338,2.4882777062463335,-2.0132235175609026,6.766736274937388,0.2705,2,4
available_macro,CAP,boosting,base,raw,linear,base,raw,5,algorithm_vs_linear,1088,-0.03183117420639546,-0.08831597627460641,0.03145339101504839,2.4882777062463335,-2.5458868069342553,6.691770997336013,0.2895,2,4
available_macro,CAP,boosting,base,raw,linear,base,raw,10,algorithm_vs_linear,1088,-0.03183117420639546,-0.0812831284788462,0.021024992913607307,2.4882777062463335,-1.71198633101977,6.084370531985807,0.2255,2,4
available_macro,CAP,qrf,base,raw,linear,base,raw,1,algorithm_vs_linear,1088,-0.016928986247810834,-0.06884159467488912,0.03544289376735434,1.3233573727643,-2.885997804293881,5.199104589152344,0.544,2,4
available_macro,CAP,qrf,base,raw,linear,base,raw,5,algorithm_vs_linear,1088,-0.016928986247810834,-0.06691646364536977,0.03794377657344311,1.3233573727643,-3.1476496600084034,5.027868921727495,0.526,2,4
available_macro,CAP,qrf,base,raw,linear,base,raw,10,algorithm_vs_linear,1088,-0.016928986247810834,-0.06047249332122344,0.02919219650091126,1.3233573727643,-2.4157670981751935,4.54398088576332,0.4875,2,4
available_macro,CAP,boosting,full,raw,linear,full,raw,1,algorithm_vs_linear,1088,-0.022801364086410834,-0.08123613123930715,0.03615802175076742,1.7726396869006567,-2.9182587824384534,6.04079906279315,0.4415,2,4
available_macro,CAP,boosting,full,raw,linear,full,raw,5,algorithm_vs_linear,1088,-0.022801364086410834,-0.08621607415482592,0.0439276502196504,1.7726396869006567,-3.6002491526190328,6.3769783051575235,0.4825,2,4
available_macro,CAP,boosting,full,raw,linear,full,raw,10,algorithm_vs_linear,1088,-0.022801364086410834,-0.075534538624734,0.036896179446621755,1.7726396869006567,-2.9071624283941566,5.703894843316295,0.4465,2,4
available_macro,CAP,qrf,full,raw,linear,full,raw,1,algorithm_vs_linear,1088,-0.05107373584976204,-0.10805378543367805,0.0016306189132625683,3.9706103013163907,-0.13491489374567506,8.022911056214193,0.07,2,4
available_macro,CAP,qrf,full,raw,linear,full,raw,5,algorithm_vs_linear,1088,-0.05107373584976204,-0.10428763680187303,0.0077315765124765425,3.9706103013163907,-0.6444437049696876,7.737820221442819,0.0725,2,4
available_macro,CAP,qrf,full,raw,linear,full,raw,10,algorithm_vs_linear,1088,-0.05107373584976204,-0.09593701379768702,0.0018981820744034122,3.9706103013163907,-0.1502298417578685,7.242631695319035,0.044,2,4
available_macro,CAP,boosting,history,raw,linear,history,raw,1,algorithm_vs_linear,1088,0.018247491213672223,-0.034935435692947554,0.07503608595949102,-1.4257155261155674,-6.034635588641514,2.6753225464701096,0.511,2,4
available_macro,CAP,boosting,history,raw,linear,history,raw,5,algorithm_vs_linear,1088,0.018247491213672223,-0.03573110750386391,0.07804652988477273,-1.4257155261155674,-6.341486974701719,2.7598894234077087,0.549,2,4
available_macro,CAP,boosting,history,raw,linear,history,raw,10,algorithm_vs_linear,1088,0.018247491213672223,-0.030150542124761797,0.07257609989848685,-1.4257155261155674,-5.80120479150273,2.2678351922505247,0.4825,2,4
available_macro,CAP,qrf,history,raw,linear,history,raw,1,algorithm_vs_linear,1088,-0.04077168080813182,-0.09877836730838008,0.017530598324140462,3.18557864603477,-1.4267036886799063,7.379574974719054,0.175,2,4
available_macro,CAP,qrf,history,raw,linear,history,raw,5,algorithm_vs_linear,1088,-0.04077168080813182,-0.09809593846189464,0.020948717782044816,3.18557864603477,-1.6860595007280816,7.302286023840811,0.167,2,4
available_macro,CAP,qrf,history,raw,linear,history,raw,10,algorithm_vs_linear,1088,-0.04077168080813182,-0.08804624595439656,0.012486638674740091,3.18557864603477,-1.0397816254804704,6.675822135337611,0.115,2,4
available_macro,CAP,linear,full,raw,linear,base,raw,1,position_levels,1088,0.007049103396183868,-0.004261430625636069,0.0193577559097127,-0.5510361231420013,-1.4887662861213007,0.3379451068143867,0.2495,1,4
available_macro,CAP,linear,full,raw,linear,base,raw,5,position_levels,1088,0.007049103396183868,-0.003332161469552995,0.018198323440464837,-0.5510361231420013,-1.4178522003564957,0.2656909386302569,0.193,1,4
available_macro,CAP,linear,full,raw,linear,base,raw,10,position_levels,1088,0.007049103396183868,8.016602771664134e-05,0.014031615928128094,-0.5510361231420013,-1.092147820773863,-0.006306556733493753,0.0475,1,4
available_macro,CAP,linear,history,raw,linear,full,raw,1,position_changes,1088,-0.006411307325162147,-0.02878674016221291,0.013669346577897291,0.49843236424056414,-1.0773797404854293,2.156585660111887,0.5355,1,4
available_macro,CAP,linear,history,raw,linear,full,raw,5,position_changes,1088,-0.006411307325162147,-0.025002121668793804,0.01028816169899076,0.49843236424056414,-0.8079508790971961,1.936171084760451,0.4805,1,4
available_macro,CAP,linear,history,raw,linear,full,raw,10,position_changes,1088,-0.006411307325162147,-0.021304210111623048,0.006571112083299038,0.49843236424056414,-0.5186294692917961,1.612978436290119,0.389,1,4
available_macro,CAP,linear,history,raw,linear,base,raw,1,position_all,1088,0.0006377960710217181,-0.015905245705403418,0.016982082680183933,-0.04985721652503994,-1.3406374554859462,1.2543678466375474,0.935,1,4
available_macro,CAP,linear,history,raw,linear,base,raw,5,position_all,1088,0.0006377960710217181,-0.014891633927342506,0.016478579179437774,-0.04985721652503994,-1.3007644214007863,1.1583941410425445,0.9365,1,4
available_macro,CAP,linear,history,raw,linear,base,raw,10,position_all,1088,0.0006377960710217181,-0.012017050088591394,0.013891956875775933,-0.04985721652503994,-1.1023137065828155,0.9347825794799768,0.921,1,4
available_macro,CAP,boosting,full,raw,boosting,base,raw,1,position_levels,1088,0.016078913516168504,0.004513035363731627,0.029789195394173157,-1.2889796507677964,-2.3824947779406647,-0.3522966221819494,0.0195,2,4
available_macro,CAP,boosting,full,raw,boosting,base,raw,5,position_levels,1088,0.016078913516168504,0.0033924720754938925,0.028175916814430414,-1.2889796507677964,-2.295181320438462,-0.2788922464119941,0.011,2,4
available_macro,CAP,boosting,full,raw,boosting,base,raw,10,position_levels,1088,0.016078913516168504,0.006216370887357698,0.02644377191216625,-1.2889796507677964,-2.1534171670204074,-0.49240499028343493,0.001,2,4
available_macro,CAP,boosting,history,raw,boosting,full,raw,1,position_changes,1088,0.03463754797492092,0.00280963601900681,0.06968056263385412,-2.741411977872721,-5.556166751545943,-0.22358006861675922,0.0435,2,4
available_macro,CAP,boosting,history,raw,boosting,full,raw,5,position_changes,1088,0.03463754797492092,-0.0012817629540408915,0.07138644151514646,-2.741411977872721,-5.728138827709311,0.10295413944535257,0.066,2,4
available_macro,CAP,boosting,history,raw,boosting,full,raw,10,position_changes,1088,0.03463754797492092,0.0023554747611453626,0.06676745448733079,-2.741411977872721,-5.308051215371877,-0.18865537052955828,0.0295,2,4
available_macro,CAP,boosting,history,raw,boosting,base,raw,1,position_all,1088,0.05071646149108941,0.01841122580764038,0.08686326039496425,-4.0657278711790035,-6.867067598884913,-1.4853710172563988,0.0045,2,4
available_macro,CAP,boosting,history,raw,boosting,base,raw,5,position_all,1088,0.05071646149108941,0.017396207568916976,0.08439986549258137,-4.0657278711790035,-6.735076008735117,-1.3921510120041676,0.003,2,4
available_macro,CAP,boosting,history,raw,boosting,base,raw,10,position_all,1088,0.05071646149108941,0.021065335329148224,0.08017956540209538,-4.0657278711790035,-6.443022222086152,-1.6671130605577233,0.0005,2,4
available_macro,CAP,qrf,full,raw,qrf,base,raw,1,position_levels,1088,-0.027095646205767335,-0.050572590450086816,-0.007852122941705989,2.1465021975676124,0.6290401958203911,3.932891617949118,0.0145,2,4
available_macro,CAP,qrf,full,raw,qrf,base,raw,5,position_levels,1088,-0.027095646205767335,-0.04750011051070186,-0.006390395143502277,2.1465021975676124,0.5325196088576593,3.6865938053413094,0.008,2,4
available_macro,CAP,qrf,full,raw,qrf,base,raw,10,position_levels,1088,-0.027095646205767335,-0.045897668139883954,-0.008251132735008444,2.1465021975676124,0.6566407609796203,3.624070892610326,0.0035,2,4
available_macro,CAP,qrf,history,raw,qrf,full,raw,1,position_changes,1088,0.0038907477164680563,-0.00922944743636447,0.0171872191826027,-0.3149840345235244,-1.3998462416842659,0.7414313306295072,0.563,2,4
available_macro,CAP,qrf,history,raw,qrf,full,raw,5,position_changes,1088,0.0038907477164680563,-0.011286798163964369,0.01876924194847048,-0.3149840345235244,-1.5531433843441342,0.9081461260343213,0.6215,2,4
available_macro,CAP,qrf,history,raw,qrf,full,raw,10,position_changes,1088,0.0038907477164680563,-0.010303044724411918,0.018116943995032792,-0.3149840345235244,-1.5215937983623278,0.8149587565143559,0.6055,2,4
available_macro,CAP,qrf,history,raw,qrf,base,raw,1,position_all,1088,-0.023204898489299287,-0.045252241630153026,-0.0033122837578448555,1.8382793022671207,0.2715083366083701,3.4909476239567225,0.0305,2,4
available_macro,CAP,qrf,history,raw,qrf,base,raw,5,position_all,1088,-0.023204898489299287,-0.043125075613128276,-0.00033280726275026595,1.8382793022671207,0.028659661589058905,3.332681653177346,0.0365,2,4
available_macro,CAP,qrf,history,raw,qrf,base,raw,10,position_all,1088,-0.023204898489299287,-0.04111470994286592,-0.004017367064930369,1.8382793022671207,0.3291975056292491,3.2368186443656874,0.0105,2,4
available_macro,CAP,boosting,base,calibrated,linear,base,calibrated,1,algorithm_vs_linear,1088,-0.06906916052726242,-0.11572136464154367,-0.02502339069166065,5.328259295874949,2.0530841418079153,8.595938988087397,0.003,3,4
