mode,definition,model,info,calibration,subset,n,loss_bp,below_rate
available_macro,CAP,boosting,base,raw,original_origins,467,1.3082591967098873,0.1841541755888651
available_macro,CAP,boosting,base,raw,additional_origins,621,1.2016577499359016,0.1529790660225443
available_macro,CAP,boosting,base,calibrated,original_origins,467,1.273668625404189,0.11134903640256959
available_macro,CAP,boosting,base,calibrated,additional_origins,621,1.1922740164334242,0.08373590982286634
available_macro,CAP,boosting,full,raw,original_origins,467,1.3231760929733387,0.19700214132762311
available_macro,CAP,boosting,full,raw,additional_origins,621,1.2186105153957396,0.1610305958132045
available_macro,CAP,boosting,full,calibrated,original_origins,467,1.2733329538668876,0.11563169164882227
available_macro,CAP,boosting,full,calibrated,additional_origins,621,1.1905263892180966,0.09178743961352658
available_macro,CAP,boosting,history,raw,original_origins,467,1.354609547545718,0.19914346895074947
available_macro,CAP,boosting,history,raw,additional_origins,621,1.2556575828859375,0.1723027375201288
available_macro,CAP,boosting,history,calibrated,original_origins,467,1.2544572038560948,0.11134903640256959
available_macro,CAP,boosting,history,calibrated,additional_origins,621,1.2076895650584922,0.09178743961352658
available_macro,CAP,linear,base,raw,original_origins,467,1.3183281810563494,0.15203426124197003
available_macro,CAP,linear,base,raw,additional_origins,621,1.2498543712672388,0.1529790660225443
available_macro,CAP,linear,base,calibrated,original_origins,467,1.3224534129178689,0.09635974304068523
available_macro,CAP,linear,base,calibrated,additional_origins,621,1.2765972867792743,0.09178743961352658
available_macro,CAP,linear,full,raw,original_origins,467,1.3159556796325789,0.16059957173447537
available_macro,CAP,linear,full,raw,additional_origins,621,1.2639886428613594,0.15619967793880837
available_macro,CAP,linear,full,calibrated,original_origins,467,1.3709273100012185,0.09635974304068523
available_macro,CAP,linear,full,calibrated,additional_origins,621,1.3472296557766417,0.09178743961352658
available_macro,CAP,linear,history,raw,original_origins,467,1.3194852612691195,0.15845824411134904
available_macro,CAP,linear,history,raw,additional_origins,621,1.250101658974015,0.15619967793880837
