seed,info,calibration,n,loss_bp,below_rate
20260925,base,raw,1088,1.691410601821348,0.16268382352941177
20260925,base,calibrated,1088,1.6697137134580575,0.10294117647058823
20260925,full,raw,1088,1.710079866392993,0.1636029411764706
20260925,full,calibrated,1088,1.6863690932466955,0.10386029411764706
20260925,history,raw,1088,1.6896727048763238,0.17095588235294118
20260925,history,calibrated,1088,1.647673426128014,0.10294117647058823
20260926,base,raw,1088,1.6895716578754882,0.16176470588235295
20260926,base,calibrated,1088,1.6752858530168364,0.10202205882352941
20260926,full,raw,1088,1.7065965531807028,0.16819852941176472
20260926,full,calibrated,1088,1.6781654116932467,0.10753676470588236
20260926,history,raw,1088,1.695347718205907,0.16727941176470587
20260926,history,calibrated,1088,1.6650178862131568,0.10294117647058823
20260927,base,raw,1088,1.6867664656784285,0.15992647058823528
20260927,base,calibrated,1088,1.6626367112214115,0.10386029411764706
20260927,full,raw,1088,1.7019903033892427,0.16544117647058823
20260927,full,calibrated,1088,1.6710432741751997,0.10477941176470588
20260927,history,raw,1088,1.6982643670159705,0.17463235294117646
20260927,history,calibrated,1088,1.6601799549271694,0.10386029411764706
20260928,base,raw,1088,1.6966501647041283,0.16176470588235295
20260928,base,calibrated,1088,1.6747357047177729,0.10661764705882353
20260928,full,raw,1088,1.7043913828216555,0.1636029411764706
20260928,full,calibrated,1088,1.6782796428355193,0.10753676470588236
20260928,history,raw,1088,1.7008442749231083,0.17095588235294118
20260928,history,calibrated,1088,1.6560611234337226,0.1056985294117647
