mode,definition,fold,info,model,window,form,params,validation_loss_bp,train_n,test_n
strict,EQ,2025-11,base,linear,all,change,"{""alpha"": 0.05}",1.2720066662156146,742,120
strict,EQ,2025-11,base,boosting,all,change,"{""max_depth"": 1, ""min_samples_leaf"": 20, ""n_estimators"": 150}",1.3253567041419363,742,120
strict,EQ,2025-11,base,qrf,all,change,"{""max_depth"": null, ""max_features"": 0.7, ""min_samples_leaf"": 20}",1.3435629471906074,742,120
strict,EQ,2025-11,full,linear,all,level,"{""alpha"": 0.0}",1.2604050991308458,742,120
strict,EQ,2025-11,full,boosting,all,change,"{""max_depth"": 2, ""min_samples_leaf"": 40, ""n_estimators"": 250}",1.3193636536464688,742,120
strict,EQ,2025-11,full,qrf,all,change,"{""max_depth"": null, ""max_features"": 0.7, ""min_samples_leaf"": 20}",1.3504761742027527,742,120
strict,EQ,2025-11,history,linear,all,change,"{""alpha"": 0.05}",1.2720066662156146,742,120
strict,EQ,2025-11,history,boosting,all,change,"{""max_depth"": 1, ""min_samples_leaf"": 20, ""n_estimators"": 150}",1.3269551023198363,742,120
strict,EQ,2025-11,history,qrf,all,change,"{""max_depth"": null, ""max_features"": 0.7, ""min_samples_leaf"": 20}",1.3641825313126532,742,120
strict,EQ,2025-12,base,linear,90,change,"{""alpha"": 0.05}",1.873526940455893,428,132
strict,EQ,2025-12,base,boosting,90,change,"{""max_depth"": 1, ""min_samples_leaf"": 20, ""n_estimators"": 150}",1.7865724647830397,428,132
strict,EQ,2025-12,base,qrf,90,change,"{""max_depth"": null, ""max_features"": 0.7, ""min_samples_leaf"": 20}",1.6969787894680184,428,132
strict,EQ,2025-12,full,linear,90,change,"{""alpha"": 0.05}",1.873526940455893,428,132
strict,EQ,2025-12,full,boosting,90,change,"{""max_depth"": 1, ""min_samples_leaf"": 20, ""n_estimators"": 150}",1.786851605861357,428,132
strict,EQ,2025-12,full,qrf,90,change,"{""max_depth"": null, ""max_features"": 0.7, ""min_samples_leaf"": 20}",1.6883182307900229,428,132
strict,EQ,2025-12,history,linear,90,change,"{""alpha"": 0.05}",1.873526940455893,428,132
strict,EQ,2025-12,history,boosting,90,change,"{""max_depth"": 1, ""min_samples_leaf"": 20, ""n_estimators"": 150}",1.7929621252557495,428,132
strict,EQ,2025-12,history,qrf,90,change,"{""max_depth"": null, ""max_features"": 0.7, ""min_samples_leaf"": 20}",1.7000096744985378,428,132
strict,EQ,2026-01,base,linear,90,level,"{""alpha"": 0.0}",2.1812571378767203,399,126
strict,EQ,2026-01,base,boosting,all,change,"{""max_depth"": 2, ""min_samples_leaf"": 20, ""n_estimators"": 150}",1.947781463347086,994,126
strict,EQ,2026-01,base,qrf,all,change,"{""max_depth"": null, ""max_features"": 0.7, ""min_samples_leaf"": 20}",2.0493737067243556,994,126
strict,EQ,2026-01,full,linear,90,level,"{""alpha"": 0.0}",2.1543514378778337,399,126
strict,EQ,2026-01,full,boosting,all,change,"{""max_depth"": 2, ""min_samples_leaf"": 20, ""n_estimators"": 150}",1.9490053370238618,994,126
strict,EQ,2026-01,full,qrf,90,change,"{""max_depth"": null, ""max_features"": 0.7, ""min_samples_leaf"": 20}",2.0653854407138557,399,126
strict,EQ,2026-01,history,linear,90,level,"{""alpha"": 0.0}",2.195084638260745,399,126
strict,EQ,2026-01,history,boosting,all,change,"{""max_depth"": 1, ""min_samples_leaf"": 20, ""n_estimators"": 150}",2.0920901706207267,994,126
strict,EQ,2026-01,history,qrf,all,change,"{""max_depth"": null, ""max_features"": 0.7, ""min_samples_leaf"": 20}",2.0888804383816533,994,126
strict,EQ,2026-02,base,linear,90,level,"{""alpha"": 0.05}",1.0712586372998425,378,120
strict,EQ,2026-02,base,boosting,90,change,"{""max_depth"": 1, ""min_samples_leaf"": 20, ""n_estimators"": 150}",1.208286408739135,378,120
strict,EQ,2026-02,base,qrf,90,change,"{""max_depth"": null, ""max_features"": 1.0, ""min_samples_leaf"": 40}",1.1030655536242027,378,120
strict,EQ,2026-02,full,linear,90,level,"{""alpha"": 0.05}",1.0712586372998425,378,120
strict,EQ,2026-02,full,boosting,all,change,"{""max_depth"": 1, ""min_samples_leaf"": 20, ""n_estimators"": 150}",1.193024160475251,1120,120
strict,EQ,2026-02,full,qrf,90,change,"{""max_depth"": null, ""max_features"": 1.0, ""min_samples_leaf"": 40}",1.1050814244475802,378,120
strict,EQ,2026-02,history,linear,90,level,"{""alpha"": 0.05}",1.0712586372998425,378,120
