definition,horizons,h,high_downside,high_account,n,mean_start_bp,mean_future_bp,future_q10_bp,median_delta_bp,negative_start_n,remains_negative_rate
CAP,"1,6",1,0,0,28,0.002917421744899792,0.3677441568714264,-10.335799684554301,-0.6852451677841904,12,0.5833333333333334
CAP,"1,6",1,0,1,19,-2.7977645277002936,-3.6991176710780294,-10.738546026680526,-0.0903706133485808,13,0.6153846153846154
CAP,"1,6",1,1,0,19,-2.431835201652868,-4.086326771037345,-11.159986402299234,-1.5816435484957614,11,1.0
CAP,"1,6",1,1,1,19,-1.6430813658353067,-0.04928144301736994,-9.033079394442113,2.7530962135846657,12,0.5833333333333334
CAP,"1,6",6,0,0,28,0.002917421744899792,-2.190751056243148,-12.80857444795458,-0.028383815436126447,12,0.8333333333333334
CAP,"1,6",6,0,1,19,-2.7977645277002936,-2.583832987724767,-12.926619576866404,-1.619682453471703,13,0.6153846153846154
CAP,"1,6",6,1,0,19,-2.431835201652868,-2.624956999884693,-11.626057752410501,0.6807782478193181,11,0.6363636363636364
CAP,"1,6",6,1,1,19,-1.6430813658353067,-0.7024520632271091,-7.998879471240175,-0.1318309952754495,12,0.6666666666666666
CAP,"1,12",1,0,0,64,-0.765241334222054,-0.808684627111802,-12.321810772701804,0.08216533042916115,32,0.6875
CAP,"1,12",1,0,1,44,-1.8801898313139582,-0.7173457422996541,-7.5431660707900505,1.7821947936982876,28,0.6785714285714286
CAP,"1,12",1,1,0,38,-1.2781629480492507,-1.592597850817039,-9.714217995214922,-2.689617366386458,20,0.6
CAP,"1,12",1,1,1,63,-2.1933775550593073,-1.4202843196408244,-10.224151919646905,1.5685527824087275,39,0.6153846153846154
CAP,"1,12",12,0,0,64,-0.765241334222054,-3.273447363304375,-10.481089482753204,-0.9203120519876653,32,0.84375
CAP,"1,12",12,0,1,44,-1.8801898313139582,-1.818595851044305,-9.780223758277383,-1.3228473792786937,28,0.7142857142857143
CAP,"1,12",12,1,0,38,-1.2781629480492507,-2.3140977754491145,-10.660202021564155,0.70075628896954,20,0.8
CAP,"1,12",12,1,1,63,-2.1933775550593073,-0.5979831585011377,-8.400344055434044,1.700353595621966,39,0.5897435897435898
EQ,"1,6",1,0,0,28,2.478620206806434,0.8324698821808079,-12.71698700725255,-2.86424547075098,12,0.5
EQ,"1,6",1,0,1,19,-3.915943258600171,-4.263962019028099,-11.857407951876333,2.16987355810854,13,0.7692307692307693
EQ,"1,6",1,1,0,19,-1.730181813635823,-3.610861456454694,-18.43972926995181,-3.4946139383743207,14,0.7142857142857143
EQ,"1,6",1,1,1,19,-2.353209018005906,-2.746993380856209,-18.981081785956803,1.2238345844867853,12,0.5833333333333334
EQ,"1,6",6,0,0,28,2.478620206806434,-2.5745551977003807,-13.950338429549024,-3.4540356786350284,12,0.75
EQ,"1,6",6,0,1,19,-3.915943258600171,-2.5920163079401926,-14.020354502975808,-4.374037828811795,13,0.6923076923076923
EQ,"1,6",6,1,0,19,-1.730181813635823,-6.160559676091258,-16.37682778848298,-3.2846128638334373,14,0.7142857142857143
EQ,"1,6",6,1,1,19,-2.353209018005906,-5.158428123661753,-12.764052247575165,-1.2695924768044846,12,0.75
EQ,"1,12",1,0,0,64,-0.0726066722983465,-0.6579840918862789,-13.517824337906255,-0.6713620760449919,33,0.6363636363636364
EQ,"1,12",1,0,1,44,-2.400603413298865,-1.8379663623496107,-11.888000686156197,1.2645420084935903,33,0.8484848484848485
EQ,"1,12",1,1,0,38,-1.359830611113425,-3.0033574040832653,-15.1472867946781,-4.287873240391548,17,0.6470588235294118
EQ,"1,12",1,1,1,63,-5.33541294923216,-4.657552584050561,-15.554139208255313,-0.2813402246729035,44,0.6818181818181818
EQ,"1,12",12,0,0,64,-0.0726066722983465,-3.296767661471079,-14.585395837090722,-3.52947385883627,33,0.696969696969697
