scenario,definition,projection,h,q,model,info,reference_model,reference_info,contrast,block_days,n,difference_bp,difference_lo,difference_hi,improvement_pct,improvement_lo,improvement_hi,p_centered_boot,winning_months,months
FX_KST_delay1,EQ,sequential,1,0.1,interaction,base,linear,base,algorithm_vs_linear,1,637,0.1424648983124827,-0.03441202118892196,0.4490344975158674,-7.02872913623529,-15.483410868653177,2.0680105619588747,0.274,1,4
FX_KST_delay1,EQ,sequential,1,0.1,interaction,base,linear,base,algorithm_vs_linear,5,637,0.1424648983124827,-0.0293094983207235,0.42855673514461173,-7.02872913623529,-15.413116767545166,1.8399236940892412,0.2625,1,4
FX_KST_delay1,EQ,sequential,1,0.1,interaction,base,linear,base,algorithm_vs_linear,10,637,0.1424648983124827,-0.03267957740724115,0.36392321857828136,-7.02872913623529,-13.836089619301303,1.960404521759399,0.2505,1,4
FX_KST_delay1,EQ,sequential,1,0.1,spline,base,linear,base,algorithm_vs_linear,1,637,0.5343930678622176,-0.028581046457369797,1.5748755962728056,-26.365119905162082,-54.89234149731413,1.7394372771230364,0.163,1,4
FX_KST_delay1,EQ,sequential,1,0.1,spline,base,linear,base,algorithm_vs_linear,5,637,0.5343930678622176,-0.005215590886135558,1.4608961461146466,-26.365119905162082,-52.75908011269752,0.31107121746849814,0.1275,1,4
FX_KST_delay1,EQ,sequential,1,0.1,spline,base,linear,base,algorithm_vs_linear,10,637,0.5343930678622176,0.0016177335836339815,1.3496457071935781,-26.365119905162082,-48.91799060720039,-0.10157030608050469,0.0905,1,4
FX_KST_delay1,EQ,sequential,1,0.1,boosting,base,linear,base,algorithm_vs_linear,1,637,0.451758532160831,0.03672079616959334,1.233242539099315,-22.288215519425947,-42.12191367236367,-2.2998858717068273,0.095,0,4
FX_KST_delay1,EQ,sequential,1,0.1,boosting,base,linear,base,algorithm_vs_linear,5,637,0.451758532160831,0.03893790521082111,1.1331373781726166,-22.288215519425947,-40.903659396066004,-2.3265593069370922,0.0785,0,4
FX_KST_delay1,EQ,sequential,1,0.1,boosting,base,linear,base,algorithm_vs_linear,10,637,0.451758532160831,0.04841715720913681,1.0398018313979323,-22.288215519425947,-38.22859140121695,-2.9530642686993938,0.039,0,4
FX_KST_delay1,EQ,sequential,1,0.1,spline,base,interaction,base,algorithm_vs_interaction,1,637,0.391928169549735,-0.005219094635771773,1.1343175795251041,-18.066542436763665,-33.845557476401936,0.32743464350230816,0.1395,1,4
FX_KST_delay1,EQ,sequential,1,0.1,spline,base,interaction,base,algorithm_vs_interaction,5,637,0.391928169549735,0.008581437046840496,1.0376626615829587,-18.066542436763665,-32.63759083042207,-0.5138727164537903,0.1065,1,4
FX_KST_delay1,EQ,sequential,1,0.1,spline,base,interaction,base,algorithm_vs_interaction,10,637,0.391928169549735,0.015065167784290831,0.968136798837581,-18.066542436763665,-30.997221464582765,-0.919265108568667,0.0595,1,4
FX_KST_delay1,EQ,sequential,1,0.1,boosting,base,interaction,base,algorithm_vs_interaction,1,637,0.30929363384834835,0.03561658036646013,0.7976100540661217,-14.257374170786496,-24.00497451803061,-2.1437608597353655,0.0855,0,4
FX_KST_delay1,EQ,sequential,1,0.1,boosting,base,interaction,base,algorithm_vs_interaction,5,637,0.30929363384834835,0.029156453242317606,0.7350264089731995,-14.257374170786496,-23.40765290430675,-1.7174309198510107,0.068,0,4
FX_KST_delay1,EQ,sequential,1,0.1,boosting,base,interaction,base,algorithm_vs_interaction,10,637,0.30929363384834835,0.03147841305760611,0.664232240381445,-14.257374170786496,-22.401145811872333,-1.8612296560084316,0.041,0,4
FX_KST_delay1,EQ,sequential,1,0.1,interaction,full,linear,full,algorithm_vs_linear,1,637,0.15081364245618073,-0.007833935623849056,0.3832543281380729,-7.326014502946521,-13.468122386831139,0.4704670289195523,0.1285,0,4
FX_KST_delay1,EQ,sequential,1,0.1,interaction,full,linear,full,algorithm_vs_linear,5,637,0.15081364245618073,-0.010834418685991167,0.38462050743172765,-7.326014502946521,-13.381080935187839,0.6709169247530928,0.1185,0,4
FX_KST_delay1,EQ,sequential,1,0.1,interaction,full,linear,full,algorithm_vs_linear,10,637,0.15081364245618073,-0.01029298659595548,0.3361147354658023,-7.326014502946521,-12.878841668851422,0.629017830048683,0.1035,0,4
FX_KST_delay1,EQ,sequential,1,0.1,spline,full,linear,full,algorithm_vs_linear,1,637,0.5026829955712147,-0.026758162539741958,1.4781402194454947,-24.418632531929795,-49.723498393272,1.6547926030908193,0.164,1,4
FX_KST_delay1,EQ,sequential,1,0.1,spline,full,linear,full,algorithm_vs_linear,5,637,0.5026829955712147,-0.008868425911471342,1.3841941100141744,-24.418632531929795,-48.48064845810308,0.5613812571990927,0.1335,1,4
FX_KST_delay1,EQ,sequential,1,0.1,spline,full,linear,full,algorithm_vs_linear,10,637,0.5026829955712147,-0.0034888721816611766,1.2692145997775324,-24.418632531929795,-44.95648070691764,0.20902338224133765,0.101,1,4
FX_KST_delay1,EQ,sequential,1,0.1,boosting,full,linear,full,algorithm_vs_linear,1,637,0.39110109429242124,0.020121458087445046,1.0895913026220616,-18.99836276242073,-36.26344926686465,-1.1844098253285846,0.104,1,4
FX_KST_delay1,EQ,sequential,1,0.1,boosting,full,linear,full,algorithm_vs_linear,5,637,0.39110109429242124,0.029455672862028635,1.0077210985141536,-18.99836276242073,-35.11610046759291,-1.780110311091619,0.0835,1,4
FX_KST_delay1,EQ,sequential,1,0.1,boosting,full,linear,full,algorithm_vs_linear,10,637,0.39110109429242124,0.036637174159890394,0.9175507555060561,-18.99836276242073,-32.719881970723925,-2.1864372964519094,0.043,1,4
FX_KST_delay1,EQ,sequential,1,0.1,spline,full,interaction,full,algorithm_vs_interaction,1,637,0.35186935311503387,-0.058517528842797574,1.099742888951836,-15.925885357938085,-32.58666965210431,3.542422797072193,0.261,1,4
FX_KST_delay1,EQ,sequential,1,0.1,spline,full,interaction,full,algorithm_vs_interaction,5,637,0.35186935311503387,-0.05749362214212107,1.017516658392531,-15.925885357938085,-31.68163260940789,3.32112110920283,0.245,1,4
FX_KST_delay1,EQ,sequential,1,0.1,spline,full,interaction,full,algorithm_vs_interaction,10,637,0.35186935311503387,-0.05128508554456163,0.9287066876245959,-15.925885357938085,-29.605460995295434,2.9813418720053275,0.2295,1,4
FX_KST_delay1,EQ,sequential,1,0.1,boosting,full,interaction,full,algorithm_vs_interaction,1,637,0.24028745183624056,-0.04009591021731104,0.715167886861323,-10.875600210752022,-21.463399032561636,2.2629741522189653,0.222,1,4
FX_KST_delay1,EQ,sequential,1,0.1,boosting,full,interaction,full,algorithm_vs_interaction,5,637,0.24028745183624056,-0.03411055050636422,0.6468718776158157,-10.875600210752022,-20.58317731351362,1.9744437487141675,0.178,1,4
FX_KST_delay1,EQ,sequential,1,0.1,boosting,full,interaction,full,algorithm_vs_interaction,10,637,0.24028745183624056,-0.037185478592061824,0.5767592441681205,-10.875600210752022,-19.410209045658565,2.147031910908243,0.147,1,4
FX_KST_delay1,EQ,sequential,1,0.1,linear,full,linear,base,position_bundle,1,637,0.031710072291003116,-0.008928914998711289,0.10296775078548098,-1.5644661363182433,-3.495196755671222,0.5492291932256637,0.321,0,4
FX_KST_delay1,EQ,sequential,1,0.1,linear,full,linear,base,position_bundle,5,637,0.031710072291003116,-0.005083048026848525,0.08488013832337286,-1.5644661363182433,-3.107655745692568,0.30715601351304594,0.171,0,4
FX_KST_delay1,EQ,sequential,1,0.1,linear,full,linear,base,position_bundle,10,637,0.031710072291003116,-0.0005126100531973408,0.07378776802932964,-1.5644661363182433,-2.801798341888223,0.0323263699702138,0.0835,0,4
FX_KST_delay1,EQ,sequential,1,0.1,interaction,full,interaction,base,position_bundle,1,637,0.04005881643470112,0.0018099728955424678,0.09436605644962974,-1.846573845190802,-5.000286151966747,-0.07766100093526129,0.0855,2,4
FX_KST_delay1,EQ,sequential,1,0.1,interaction,full,interaction,base,position_bundle,5,637,0.04005881643470112,-0.003356564629846305,0.08926959653951103,-1.846573845190802,-4.963746855489568,0.14511951059340647,0.0975,2,4
FX_KST_delay1,EQ,sequential,1,0.1,interaction,full,interaction,base,position_bundle,10,637,0.04005881643470112,-0.0024050233131273375,0.08807873887006477,-1.846573845190802,-4.780121144677356,0.11148542141798586,0.0945,2,4
FX_KST_delay1,EQ,sequential,1,0.1,spline,full,spline,base,position_bundle,1,637,0.0,0.0,0.0,0.0,-0.0,0.0,1.0,0,4
FX_KST_delay1,EQ,sequential,1,0.1,spline,full,spline,base,position_bundle,5,637,0.0,0.0,0.0,0.0,-0.0,0.0,1.0,0,4
FX_KST_delay1,EQ,sequential,1,0.1,spline,full,spline,base,position_bundle,10,637,0.0,0.0,0.0,0.0,-0.0,0.0,1.0,0,4
FX_KST_delay1,EQ,sequential,1,0.1,boosting,full,boosting,base,position_bundle,1,637,-0.02894736557740665,-0.06267508666357845,0.002663748630766015,1.1678669630984517,-0.12702347276454973,2.780878130321831,0.0855,3,4
FX_KST_delay1,EQ,sequential,1,0.1,boosting,full,boosting,base,position_bundle,5,637,-0.02894736557740665,-0.06987048387308936,0.004659892526684078,1.1678669630984517,-0.25103337052032537,2.9179052689130813,0.134,3,4
FX_KST_delay1,EQ,sequential,1,0.1,boosting,full,boosting,base,position_bundle,10,637,-0.02894736557740665,-0.06531857471712611,0.007691600897378691,1.1678669630984517,-0.454861691492273,2.5395230118948238,0.1315,3,4
FX_KST_delay1,EQ,sequential,1,0.1,boosting,full,persistence,base,vs_persistence,1,637,0.2912518799343908,-0.5400204395848659,1.8371080033034342,-13.493544851036244,-83.27519140524404,24.67056424815077,0.64,2,4
FX_KST_delay1,EQ,sequential,1,0.1,boosting,full,persistence,base,vs_persistence,5,637,0.2912518799343908,-0.5345300864229007,1.6791963436952497,-13.493544851036244,-77.06106357025067,23.632751195625303,0.5895,2,4
