definition,fold,info,variant,alpha,validation_loss_bp
EQ,2025-12,base,weak_penalty,0.0,2.0119514114076416
EQ,2025-12,base,weak_penalty,0.001,2.800412805382344
EQ,2025-12,base,weak_penalty,0.01,2.5779353128146187
EQ,2025-12,base,scaled_basis,0.0,2.011951411407611
EQ,2025-12,base,scaled_basis,0.001,1.9254442599731463
EQ,2025-12,base,scaled_basis,0.005,2.043997458716675
EQ,2025-12,base,scaled_basis,0.01,2.2779860098568006
EQ,2025-12,base,scaled_basis,0.05,2.5779353128146187
EQ,2025-12,full,weak_penalty,0.0,2.2252063076033086
EQ,2025-12,full,weak_penalty,0.001,2.7482789047148803
EQ,2025-12,full,weak_penalty,0.01,2.5779353128146187
EQ,2025-12,full,scaled_basis,0.0,2.225206307603315
EQ,2025-12,full,scaled_basis,0.001,1.9547861833790137
EQ,2025-12,full,scaled_basis,0.005,2.1789031576867965
EQ,2025-12,full,scaled_basis,0.01,2.4782053731474347
EQ,2025-12,full,scaled_basis,0.05,2.5779353128146187
EQ,2026-01,base,weak_penalty,0.0,2.006531446239853
EQ,2026-01,base,weak_penalty,0.001,2.4922111601241093
EQ,2026-01,base,weak_penalty,0.01,3.476643377856243
EQ,2026-01,base,scaled_basis,0.0,2.006531446239869
EQ,2026-01,base,scaled_basis,0.001,2.0533064075417613
EQ,2026-01,base,scaled_basis,0.005,2.0643613275329447
EQ,2026-01,base,scaled_basis,0.01,2.3594888308787394
EQ,2026-01,base,scaled_basis,0.05,2.7267894597900932
EQ,2026-01,full,weak_penalty,0.0,1.9595749901792436
EQ,2026-01,full,weak_penalty,0.001,2.4774064747330957
EQ,2026-01,full,weak_penalty,0.01,3.476643377856243
EQ,2026-01,full,scaled_basis,0.0,1.959574990179253
EQ,2026-01,full,scaled_basis,0.001,2.0042793678903346
EQ,2026-01,full,scaled_basis,0.005,2.0467891258111677
EQ,2026-01,full,scaled_basis,0.01,2.320850469618462
EQ,2026-01,full,scaled_basis,0.05,2.7267894597900932
EQ,2026-02,base,weak_penalty,0.0,1.3488188006433683
EQ,2026-02,base,weak_penalty,0.001,1.1340067891451033
EQ,2026-02,base,weak_penalty,0.01,1.3433669585866128
EQ,2026-02,base,scaled_basis,0.0,1.348818800643387
EQ,2026-02,base,scaled_basis,0.001,1.2691635083156525
EQ,2026-02,base,scaled_basis,0.005,1.2398963694513825
EQ,2026-02,base,scaled_basis,0.01,1.222634363392646
EQ,2026-02,base,scaled_basis,0.05,1.328250593802804
EQ,2026-02,full,weak_penalty,0.0,1.268843930010143
EQ,2026-02,full,weak_penalty,0.001,1.0995736380809042
EQ,2026-02,full,weak_penalty,0.01,1.3433669585866128
EQ,2026-02,full,scaled_basis,0.0,1.2688439300186027
EQ,2026-02,full,scaled_basis,0.001,1.185728730989661
EQ,2026-02,full,scaled_basis,0.005,1.1768041581834168
EQ,2026-02,full,scaled_basis,0.01,1.2135911694485604
EQ,2026-02,full,scaled_basis,0.05,1.328250593802804
EQ,2026-03,base,weak_penalty,0.0,2.624920059231697
EQ,2026-03,base,weak_penalty,0.001,2.2273166669134343
EQ,2026-03,base,weak_penalty,0.01,2.1613192229116067
EQ,2026-03,base,scaled_basis,0.0,2.62492005923172
EQ,2026-03,base,scaled_basis,0.001,2.4698101083743227
EQ,2026-03,base,scaled_basis,0.005,2.363183145521518
EQ,2026-03,base,scaled_basis,0.01,2.2636138736324853
EQ,2026-03,base,scaled_basis,0.05,2.1796065157385254
EQ,2026-03,full,weak_penalty,0.0,3.956214284260121
