definition,variant,info,reference,improvement_pct,improvement_lo,improvement_hi,exploratory
CAP,scaled_basis,base,linear,-1.7034137930208137,-5.661149163304769,2.2790228903555065,True
CAP,scaled_basis,full,linear,-4.108786982228629,-7.636492943289891,-0.3793487637699457,True
CAP,scaled_basis,full,same_variant_base,-2.6471726438021204,-7.333936059217577,1.1028325595238602,True
CAP,weak_penalty,base,linear,-8.917399049492026,-13.070645814780809,-4.938480686881099,True
CAP,weak_penalty,full,linear,-8.30230873204889,-12.304524264191814,-4.144693827516537,True
CAP,weak_penalty,full,same_variant_base,0.29071801846907164,-2.030650126956774,2.470939575639168,True
EQ,scaled_basis,base,linear,-1.6867410030514174,-11.500072968539392,7.689373026312808,True
EQ,scaled_basis,full,linear,-15.319762408974281,-38.78511521677,2.2008983092101237,True
EQ,scaled_basis,full,same_variant_base,-14.34707922705114,-29.116817384593553,-1.9496393998469392,True
EQ,weak_penalty,base,linear,-2.942714648306888,-14.892893943829185,8.47067001796603,True
EQ,weak_penalty,full,linear,-2.0114190543938815,-13.996921500240962,9.123616191490681,True
EQ,weak_penalty,full,same_variant_base,0.08312606231818398,-1.8315966916579567,2.2244743323213094,True
PCA,scaled_basis,base,linear,-0.4279180283971673,-9.740865374432348,8.2719875641722,True
PCA,scaled_basis,full,linear,-10.414726496724214,-28.991951519804303,4.3186602390710815,True
PCA,scaled_basis,full,same_variant_base,-10.959403615658214,-22.116508487056514,-1.2097723634757345,True
PCA,weak_penalty,base,linear,-3.180758016359153,-15.06127579121555,8.210040986435448,True
PCA,weak_penalty,full,linear,-1.4490748524448094,-12.87607074958278,9.239207251835307,True
PCA,weak_penalty,full,same_variant_base,0.7704666343041344,-1.1820478020626426,3.018123474037787,True
