mode,definition,month,window,band,train_n,forecast_n,inner_eligible_n,smallest_threshold_regime,residual_fit_end,train_last_label,features_R,features_B,features_F
available_macro,EQ,2025-08,all,"[0.2, 0.8]",592,315,315,119,2025-07-31T17:00:00+00:00,2025-07-31T17:00:00+00:00,5,15,23
available_macro,EQ,2025-08,all,"[0.35, 0.65]",592,315,315,178,2025-07-31T17:00:00+00:00,2025-07-31T17:00:00+00:00,5,15,23
available_macro,EQ,2025-08,90,"[0.2, 0.8]",592,315,315,119,2025-07-31T17:00:00+00:00,2025-07-31T17:00:00+00:00,5,15,23
available_macro,EQ,2025-08,90,"[0.35, 0.65]",592,315,315,178,2025-07-31T17:00:00+00:00,2025-07-31T17:00:00+00:00,5,15,23
available_macro,EQ,2025-09,all,"[0.2, 0.8]",907,330,330,182,2025-08-29T17:00:00+00:00,2025-08-29T17:00:00+00:00,5,15,23
available_macro,EQ,2025-09,all,"[0.35, 0.65]",907,330,330,271,2025-08-29T17:00:00+00:00,2025-08-29T17:00:00+00:00,5,15,23
available_macro,EQ,2025-09,90,"[0.2, 0.8]",907,330,330,182,2025-08-29T17:00:00+00:00,2025-08-29T17:00:00+00:00,5,15,23
available_macro,EQ,2025-09,90,"[0.35, 0.65]",907,330,330,271,2025-08-29T17:00:00+00:00,2025-08-29T17:00:00+00:00,5,15,23
available_macro,EQ,2025-10,all,"[0.2, 0.8]",1237,345,345,248,2025-09-30T17:00:00+00:00,2025-09-30T17:00:00+00:00,5,15,23
available_macro,EQ,2025-10,all,"[0.35, 0.65]",1237,345,345,371,2025-09-30T17:00:00+00:00,2025-09-30T17:00:00+00:00,5,15,23
available_macro,EQ,2025-10,90,"[0.2, 0.8]",945,345,345,189,2025-09-30T17:00:00+00:00,2025-09-30T17:00:00+00:00,5,15,23
available_macro,EQ,2025-10,90,"[0.35, 0.65]",945,345,345,283,2025-09-30T17:00:00+00:00,2025-09-30T17:00:00+00:00,5,15,23
available_macro,EQ,2025-11,all,"[0.2, 0.8]",1582,280,280,317,2025-10-31T17:00:00+00:00,2025-10-31T17:00:00+00:00,5,15,23
available_macro,EQ,2025-11,all,"[0.35, 0.65]",1582,280,280,474,2025-10-31T17:00:00+00:00,2025-10-31T17:00:00+00:00,5,15,23
available_macro,EQ,2025-11,90,"[0.2, 0.8]",975,280,280,195,2025-10-31T17:00:00+00:00,2025-10-31T17:00:00+00:00,5,15,23
