sample,horizon,variant,information,strategy,calibration,n,loss_bp,below_rate
native,1,original,B,boosting,raw,1088,1.8361912818671613,0.19669117647058823
native,1,original,B,linear,raw,1088,1.8069676087855906,0.16544117647058823
native,1,original,B,ml_selected,raw,1088,1.8217146235692454,0.1957720588235294
native,1,original,B,qrf,raw,1088,1.793986951309742,0.18658088235294118
native,1,original,B,threshold,raw,1088,1.8351964894681685,0.18841911764705882
native,1,original,F,boosting,raw,1088,1.820639180645043,0.20036764705882354
native,1,original,F,linear,raw,1088,1.8485449742256312,0.16636029411764705
native,1,original,F,ml_selected,raw,1088,1.8263273323533773,0.20036764705882354
native,1,original,F,qrf,raw,1088,1.7964652129060363,0.19393382352941177
native,1,original,F,threshold,raw,1088,1.8742124404565836,0.19852941176470587
native,1,original,R,boosting,raw,1088,1.838402738699914,0.19761029411764705
native,1,original,R,linear,raw,1088,1.8614394077153253,0.16268382352941177
native,1,original,R,ml_selected,raw,1088,1.833039173613614,0.1957720588235294
native,1,original,R,qrf,raw,1088,1.815814528815257,0.19117647058823528
native,1,original,R,threshold,raw,1088,1.8447171864739869,0.203125
native,1,own_scale,B,boosting,raw,1088,1.7610045858232977,0.1792279411764706
native,1,own_scale,B,linear,raw,1088,1.7187995617803529,0.13419117647058823
native,1,own_scale,B,ml_selected,raw,1088,1.733187362538643,0.18474264705882354
native,1,own_scale,B,qrf,raw,1088,1.7549528165234582,0.18566176470588236
native,1,own_scale,B,threshold,raw,1088,1.768395580920698,0.16727941176470587
native,1,own_scale,F,boosting,raw,1088,1.7310942615188762,0.17647058823529413
native,1,own_scale,F,linear,raw,1088,1.7071130460737378,0.13143382352941177
native,1,own_scale,F,ml_selected,raw,1088,1.7536713769977865,0.18658088235294118
native,1,own_scale,F,qrf,raw,1088,1.7536713769977865,0.18658088235294118
native,1,own_scale,F,threshold,raw,1088,1.8291656358244113,0.1957720588235294
native,1,own_scale,R,boosting,raw,1088,1.7659870450096586,0.17279411764705882
native,1,own_scale,R,linear,raw,1088,1.7377749100711692,0.1323529411764706
native,1,own_scale,R,ml_selected,raw,1088,1.7139869425635668,0.16911764705882354
