sample,horizon,calibration,comparison,n,fold,improvement_pct
native,1,raw,original__nonlinear_R,1088,2025-12,18.5521955069359
native,1,raw,original__nonlinear_R,1088,2026-01,-8.707064213845438
native,1,raw,original__nonlinear_R,1088,2026-02,-6.555384516386664
native,1,raw,original__nonlinear_R,1088,2026-03,-3.20772612760285
native,1,raw,original__nonlinear_F,1088,2025-12,18.831190757773918
native,1,raw,original__nonlinear_F,1088,2026-01,-12.178497878734241
native,1,raw,original__nonlinear_F,1088,2026-02,-9.028056202513568
native,1,raw,original__nonlinear_F,1088,2026-03,0.4855944529265743
native,1,raw,original__market_B_vs_R,1088,2025-12,-0.10625666321739669
native,1,raw,original__market_B_vs_R,1088,2026-01,-0.7288655319821702
native,1,raw,original__market_B_vs_R,1088,2026-02,-0.9504300622958262
native,1,raw,original__market_B_vs_R,1088,2026-03,5.231707106383688
native,1,raw,original__position_F_vs_B,1088,2025-12,-1.2134579097888398
native,1,raw,original__position_F_vs_B,1088,2026-01,0.6184045423429096
native,1,raw,original__position_F_vs_B,1088,2026-02,1.7656420807504292
native,1,raw,original__position_F_vs_B,1088,2026-03,-3.0888959952682926
native,1,raw,original__total_F_vs_R,1088,2025-12,-1.3210039528907203
native,1,raw,original__total_F_vs_R,1088,2026-01,-0.10595365208192487
native,1,raw,original__total_F_vs_R,1088,2026-02,0.8319932115825934
native,1,raw,original__total_F_vs_R,1088,2026-03,2.3044131024086423
native,1,raw,original__ml_vs_threshold_F,1088,2025-12,5.4639834730999866
native,1,raw,original__ml_vs_threshold_F,1088,2026-01,-3.3667955106372327
native,1,raw,original__ml_vs_threshold_F,1088,2026-02,-3.237466678970513
native,1,raw,original__ml_vs_threshold_F,1088,2026-03,11.940662402852364
native,1,raw,own_scale__nonlinear_R,1088,2025-12,14.502825076694803
native,1,raw,own_scale__nonlinear_R,1088,2026-01,-5.346702697863903
native,1,raw,own_scale__nonlinear_R,1088,2026-02,-2.902910855380747
native,1,raw,own_scale__nonlinear_R,1088,2026-03,-6.0054881339287824
native,1,raw,own_scale__nonlinear_F,1088,2025-12,10.324304158617913
native,1,raw,own_scale__nonlinear_F,1088,2026-01,-5.394519136093501
native,1,raw,own_scale__nonlinear_F,1088,2026-02,-11.930931236447062
native,1,raw,own_scale__nonlinear_F,1088,2026-03,-7.1979041241486685
native,1,raw,own_scale__market_B_vs_R,1088,2025-12,-0.8712734046632864
native,1,raw,own_scale__market_B_vs_R,1088,2026-01,0.9606528038760387
native,1,raw,own_scale__market_B_vs_R,1088,2026-02,-6.846221038103417
native,1,raw,own_scale__market_B_vs_R,1088,2026-03,4.254193689890617
native,1,raw,own_scale__position_F_vs_B,1088,2025-12,-1.4229654190267116
native,1,raw,own_scale__position_F_vs_B,1088,2026-01,1.3552802697742505
