mode,definition,fold,candidate,strategy,window,form,alpha,n,loss_sum,valid,train_n,first_origin,last_label,train_last_label,residualizer_fit_end,warnings
available_macro,CAP,2025-08,0,persistence,all,change,,315,421.06977506999044,True,592,2025-08-01T02:00:00+00:00,2025-08-29T17:00:00+00:00,2025-07-31T17:00:00+00:00,2025-07-31T17:00:00+00:00,[]
available_macro,CAP,2025-08,1,persistence,90,change,,315,421.06977506999044,True,592,2025-08-01T02:00:00+00:00,2025-08-29T17:00:00+00:00,2025-07-31T17:00:00+00:00,2025-07-31T17:00:00+00:00,[]
available_macro,CAP,2025-08,2,ar_quantile,all,level,0.0,315,353.9916091595301,True,592,2025-08-01T02:00:00+00:00,2025-08-29T17:00:00+00:00,2025-07-31T17:00:00+00:00,2025-07-31T17:00:00+00:00,[]
available_macro,CAP,2025-08,3,ar_quantile,all,level,0.01,315,361.73329534511777,True,592,2025-08-01T02:00:00+00:00,2025-08-29T17:00:00+00:00,2025-07-31T17:00:00+00:00,2025-07-31T17:00:00+00:00,[]
available_macro,CAP,2025-08,4,ar_quantile,all,level,0.05,315,367.9928663110127,True,592,2025-08-01T02:00:00+00:00,2025-08-29T17:00:00+00:00,2025-07-31T17:00:00+00:00,2025-07-31T17:00:00+00:00,[]
available_macro,CAP,2025-08,5,ar_quantile,all,change,0.0,315,353.9916091595301,True,592,2025-08-01T02:00:00+00:00,2025-08-29T17:00:00+00:00,2025-07-31T17:00:00+00:00,2025-07-31T17:00:00+00:00,[]
available_macro,CAP,2025-08,6,ar_quantile,all,change,0.01,315,353.0393930481893,True,592,2025-08-01T02:00:00+00:00,2025-08-29T17:00:00+00:00,2025-07-31T17:00:00+00:00,2025-07-31T17:00:00+00:00,[]
available_macro,CAP,2025-08,7,ar_quantile,all,change,0.05,315,356.0151424835027,True,592,2025-08-01T02:00:00+00:00,2025-08-29T17:00:00+00:00,2025-07-31T17:00:00+00:00,2025-07-31T17:00:00+00:00,[]
available_macro,CAP,2025-08,8,ar_quantile,90,level,0.0,315,353.9916091595301,True,592,2025-08-01T02:00:00+00:00,2025-08-29T17:00:00+00:00,2025-07-31T17:00:00+00:00,2025-07-31T17:00:00+00:00,[]
available_macro,CAP,2025-08,9,ar_quantile,90,level,0.01,315,361.73329534511777,True,592,2025-08-01T02:00:00+00:00,2025-08-29T17:00:00+00:00,2025-07-31T17:00:00+00:00,2025-07-31T17:00:00+00:00,[]
available_macro,CAP,2025-08,10,ar_quantile,90,level,0.05,315,367.9928663110127,True,592,2025-08-01T02:00:00+00:00,2025-08-29T17:00:00+00:00,2025-07-31T17:00:00+00:00,2025-07-31T17:00:00+00:00,[]
available_macro,CAP,2025-08,11,ar_quantile,90,change,0.0,315,353.9916091595301,True,592,2025-08-01T02:00:00+00:00,2025-08-29T17:00:00+00:00,2025-07-31T17:00:00+00:00,2025-07-31T17:00:00+00:00,[]
available_macro,CAP,2025-08,12,ar_quantile,90,change,0.01,315,353.0393930481893,True,592,2025-08-01T02:00:00+00:00,2025-08-29T17:00:00+00:00,2025-07-31T17:00:00+00:00,2025-07-31T17:00:00+00:00,[]
available_macro,CAP,2025-08,13,ar_quantile,90,change,0.05,315,356.0151424835027,True,592,2025-08-01T02:00:00+00:00,2025-08-29T17:00:00+00:00,2025-07-31T17:00:00+00:00,2025-07-31T17:00:00+00:00,[]
