mode,definition,strategy,calibration,n,days,seeds,loss_bp,below_rate,below_lo,below_hi
available_macro,CAP,ar_quantile,raw,1088,78,1,1.3275162443195034,0.15073529411764705,0.13135660759089304,0.16994141236967727
available_macro,CAP,dynamics_vol,raw,1088,78,1,1.2919856172492772,0.15073529411764705,0.13409961685823754,0.16695383088971502
available_macro,CAP,linear,raw,1088,78,1,1.3349464699522589,0.16268382352941177,0.14614055875619242,0.1792478987200502
available_macro,CAP,persistence,raw,1088,78,1,1.4510316935237673,0.14338235294117646,0.12945261537074348,0.15824328263812715
available_macro,CAP,selected,raw,1088,78,1,1.2974799649411848,0.17371323529411764,0.1567594951077732,0.18916760785686132
available_macro,CAP,threshold,raw,1088,78,1,1.349511554967251,0.17647058823529413,0.15458577951728636,0.19698460183239358
available_macro,CAP,ar_quantile,calibrated,1088,78,1,1.3869986744559895,0.0900735294117647,0.07271086211706138,0.10845588235294118
available_macro,CAP,dynamics_vol,calibrated,1088,78,1,1.3251568283041468,0.09283088235294118,0.07624988185958267,0.110229607354203
available_macro,CAP,linear,calibrated,1088,78,1,1.4000119239049227,0.10018382352941177,0.08211202595564801,0.12020338845068383
available_macro,CAP,persistence,calibrated,1088,78,1,1.45306441588974,0.0974264705882353,0.08064068100358422,0.11367673217927025
available_macro,CAP,selected,calibrated,1088,78,1,1.3073431034704341,0.10294117647058823,0.08671533391634495,0.12282619962732401
available_macro,CAP,threshold,calibrated,1088,78,1,1.3567482183999522,0.10202205882352941,0.08604725382635785,0.11830423568856677
available_macro,EQ,ar_quantile,raw,1088,78,1,1.9979323967636555,0.15165441176470587,0.12828151251998945,0.1798682727762684
available_macro,EQ,dynamics_vol,raw,1088,78,1,1.9042946805380923,0.15349264705882354,0.13152710747216015,0.17938385785282993
available_macro,EQ,linear,raw,1088,78,4,1.9808328537386184,0.16084558823529413,0.13753023651786575,0.18750561041292638
available_macro,EQ,persistence,raw,1088,78,1,2.1284130591218258,0.13511029411764705,0.1176980463718334,0.15211621251093083
available_macro,EQ,selected,raw,1088,78,4,1.7791993951130674,0.18520220588235295,0.1630707962340798,0.20849200977983823
available_macro,EQ,threshold,raw,1088,78,4,1.892331504863302,0.19301470588235295,0.17481178846860082,0.21160441512955222
available_macro,EQ,ar_quantile,calibrated,1088,78,1,1.9080627250491262,0.08915441176470588,0.0756041960455961,0.10232891955046178
