mode,definition,strategy,calibration,fold,n,loss_bp,below_rate
available_macro,CAP,ar_quantile,raw,2025-12,313,1.2843709851994343,0.11501597444089456
available_macro,CAP,ar_quantile,raw,2026-01,294,1.2828779355037008,0.1564625850340136
available_macro,CAP,ar_quantile,raw,2026-02,280,1.3312658532673498,0.14285714285714285
available_macro,CAP,ar_quantile,raw,2026-03,201,1.4547711616878163,0.208955223880597
available_macro,CAP,dynamics_vol,raw,2025-12,313,1.269952716885192,0.12779552715654952
available_macro,CAP,dynamics_vol,raw,2026-01,294,1.270449842189984,0.14285714285714285
available_macro,CAP,dynamics_vol,raw,2026-02,280,1.3215568810531988,0.14642857142857144
available_macro,CAP,dynamics_vol,raw,2026-03,201,1.3166018451910326,0.20398009950248755
available_macro,CAP,linear,raw,2025-12,313,1.269952716885192,0.12779552715654952
available_macro,CAP,linear,raw,2026-01,294,1.270449842189984,0.14285714285714285
available_macro,CAP,linear,raw,2026-02,280,1.3215568810531988,0.14642857142857144
available_macro,CAP,linear,raw,2026-03,201,1.549146162309659,0.26865671641791045
available_macro,CAP,persistence,raw,2025-12,313,1.4271102226998236,0.13099041533546327
available_macro,CAP,persistence,raw,2026-01,294,1.3795281332399782,0.13945578231292516
available_macro,CAP,persistence,raw,2026-02,280,1.4801556975698367,0.16071428571428573
available_macro,CAP,persistence,raw,2026-03,201,1.552299086351772,0.14427860696517414
available_macro,CAP,selected,raw,2025-12,313,1.1585813659191755,0.14057507987220447
available_macro,CAP,selected,raw,2026-01,294,1.2922924277261385,0.17346938775510204
available_macro,CAP,selected,raw,2026-02,280,1.2775352926699322,0.14285714285714285
available_macro,CAP,selected,raw,2026-03,201,1.549146162309659,0.26865671641791045
available_macro,CAP,threshold,raw,2025-12,313,1.2547620213584074,0.16293929712460065
available_macro,CAP,threshold,raw,2026-01,294,1.341114883285754,0.1870748299319728
available_macro,CAP,threshold,raw,2026-02,280,1.4110855898105938,0.14285714285714285
available_macro,CAP,threshold,raw,2026-03,201,1.4235637725682078,0.22885572139303484
available_macro,CAP,ar_quantile,calibrated,2025-12,313,1.6295024573111647,0.07348242811501597
available_macro,CAP,ar_quantile,calibrated,2026-01,294,1.265913451276676,0.09863945578231292
available_macro,CAP,ar_quantile,calibrated,2026-02,280,1.3023356952269804,0.08928571428571429
available_macro,CAP,ar_quantile,calibrated,2026-03,201,1.304416613586193,0.1044776119402985
available_macro,CAP,dynamics_vol,calibrated,2025-12,313,1.4592193564467733,0.08306709265175719
available_macro,CAP,dynamics_vol,calibrated,2026-01,294,1.2658689789010396,0.10204081632653061
available_macro,CAP,dynamics_vol,calibrated,2026-02,280,1.2887825993203534,0.1
available_macro,CAP,dynamics_vol,calibrated,2026-03,201,1.2537829005993395,0.0845771144278607
available_macro,CAP,linear,calibrated,2025-12,313,1.6925182330994613,0.08306709265175719
available_macro,CAP,linear,calibrated,2026-01,294,1.265868978901039,0.10204081632653061
available_macro,CAP,linear,calibrated,2026-02,280,1.2887825993203534,0.1
available_macro,CAP,linear,calibrated,2026-03,201,1.2956724310538315,0.12437810945273632
available_macro,CAP,persistence,calibrated,2025-12,313,1.4498275259080435,0.10543130990415335
available_macro,CAP,persistence,calibrated,2026-01,294,1.411920700283312,0.08163265306122448
available_macro,CAP,persistence,calibrated,2026-02,280,1.4397346699358724,0.09642857142857143
available_macro,CAP,persistence,calibrated,2026-03,201,1.536854106534735,0.10945273631840796
available_macro,CAP,selected,calibrated,2025-12,313,1.4120527953041986,0.0926517571884984
available_macro,CAP,selected,calibrated,2026-01,294,1.2259465244150378,0.10884353741496598
available_macro,CAP,selected,calibrated,2026-02,280,1.287614490494797,0.09285714285714286
available_macro,CAP,selected,calibrated,2026-03,201,1.2908280404430532,0.12437810945273632
available_macro,CAP,threshold,calibrated,2025-12,313,1.462808904937172,0.0926517571884984
available_macro,CAP,threshold,calibrated,2026-01,294,1.233008689325995,0.11564625850340136
available_macro,CAP,threshold,calibrated,2026-02,280,1.421372485523462,0.11071428571428571
available_macro,CAP,threshold,calibrated,2026-03,201,1.282557332166177,0.0845771144278607
available_macro,EQ,ar_quantile,raw,2025-12,313,2.137762409362687,0.19169329073482427
available_macro,EQ,ar_quantile,raw,2026-01,294,1.6410893464682914,0.10884353741496598
available_macro,EQ,ar_quantile,raw,2026-02,280,2.353403397527722,0.16428571428571428
available_macro,EQ,ar_quantile,raw,2026-03,201,1.806953205865155,0.13432835820895522
available_macro,EQ,dynamics_vol,raw,2025-12,313,2.1345053160002885,0.19169329073482427
available_macro,EQ,dynamics_vol,raw,2026-01,294,1.6214477935344511,0.11564625850340136
available_macro,EQ,dynamics_vol,raw,2026-02,280,1.9488554965524425,0.15357142857142858
available_macro,EQ,dynamics_vol,raw,2026-03,201,1.8974490456892632,0.14925373134328357
available_macro,EQ,linear,raw,2025-12,313,2.1345053160002885,0.19169329073482427
available_macro,EQ,linear,raw,2026-01,294,1.6214477935344511,0.11564625850340136
available_macro,EQ,linear,raw,2026-02,280,2.271730416009369,0.18928571428571428
available_macro,EQ,linear,raw,2026-03,201,1.8619692197899245,0.13930348258706468
available_macro,EQ,persistence,raw,2025-12,313,2.1117458672684855,0.14376996805111822
available_macro,EQ,persistence,raw,2026-01,294,1.7554793700666778,0.09523809523809523
available_macro,EQ,persistence,raw,2026-02,280,2.5625881266808017,0.18214285714285713
available_macro,EQ,persistence,raw,2026-03,201,2.0950315502451864,0.11442786069651742
available_macro,EQ,selected,raw,2025-12,313,1.671774386480536,0.17971246006389777
available_macro,EQ,selected,raw,2026-01,294,1.5741117824312987,0.20748299319727892
available_macro,EQ,selected,raw,2026-02,280,2.1098695424102103,0.21160714285714285
available_macro,EQ,selected,raw,2026-03,201,1.785826980124123,0.12437810945273632
available_macro,EQ,threshold,raw,2025-12,313,1.7686911431897678,0.14696485623003194
available_macro,EQ,threshold,raw,2026-01,294,1.5228408452202724,0.20748299319727892
available_macro,EQ,threshold,raw,2026-02,280,1.9953987297792302,0.18214285714285713
available_macro,EQ,threshold,raw,2026-03,201,2.481738789253388,0.25870646766169153
available_macro,EQ,ar_quantile,calibrated,2025-12,313,1.914212091480325,0.08626198083067092
available_macro,EQ,ar_quantile,calibrated,2026-01,294,1.639490492101136,0.09183673469387756
available_macro,EQ,ar_quantile,calibrated,2026-02,280,2.226697789246878,0.09285714285714286
available_macro,EQ,ar_quantile,calibrated,2026-03,201,1.847454102254965,0.0845771144278607
available_macro,EQ,dynamics_vol,calibrated,2025-12,313,1.9116635237659227,0.08626198083067092
available_macro,EQ,dynamics_vol,calibrated,2026-01,294,1.6304526901820429,0.0782312925170068
