mode,definition,fold,candidate,strategy,window,form,alpha,inner_score,inner_months,train_n,test_n,features,train_last_label,first_origin,coefficients
available_macro,EQ,2025-11,1,persistence,90,change,,1.504579337061329,"['2025-08', '2025-09', '2025-10']",975,280,['e_now'],2025-10-31T17:00:00+00:00,2025-11-03T03:00:00+00:00,"{'intercept': -10.351491604867727, 'e_now': 1.0}"
available_macro,EQ,2025-11,6,ar_quantile,all,change,0.01,1.2840224188545633,"['2025-08', '2025-09', '2025-10']",1582,280,['e_now'],2025-10-31T17:00:00+00:00,2025-11-03T03:00:00+00:00,"{'e_now': 0.17036813711923116, 'intercept': -7.7218201741757655}"
available_macro,EQ,2025-11,18,dynamics_vol,all,change,0.01,1.2862131945871587,"['2025-08', '2025-09', '2025-10']",1582,280,"['e_now', 'e_change1', 'btc_vol24', 'downside24']",2025-10-31T17:00:00+00:00,2025-11-03T03:00:00+00:00,"{'e_now': 0.16961530199000274, 'e_change1': -0.012716786232098763, 'btc_vol24': 0.0, 'downside24': -0.0004237634963290668, 'intercept': -7.498767244915391}"
available_macro,EQ,2025-12,1,persistence,90,change,,1.5661472666282479,"['2025-09', '2025-10', '2025-11']",940,313,['e_now'],2025-11-28T17:00:00+00:00,2025-12-01T03:00:00+00:00,"{'intercept': -10.855000158658978, 'e_now': 1.0}"
available_macro,EQ,2025-12,7,ar_quantile,all,change,0.05,1.40955926732217,"['2025-09', '2025-10', '2025-11']",1862,313,['e_now'],2025-11-28T17:00:00+00:00,2025-12-01T03:00:00+00:00,"{'e_now': 0.6089716815031213, 'intercept': -8.695269305942354}"
available_macro,EQ,2025-12,19,dynamics_vol,all,change,0.05,1.40955926732217,"['2025-09', '2025-10', '2025-11']",1862,313,"['e_now', 'e_change1', 'btc_vol24', 'downside24']",2025-11-28T17:00:00+00:00,2025-12-01T03:00:00+00:00,"{'e_now': 0.6099349601782922, 'e_change1': -0.0028352042014030913, 'btc_vol24': 0.0, 'downside24': 0.0, 'intercept': -8.691368432947954}"
available_macro,EQ,2026-01,1,persistence,90,change,,1.764961683902363,"['2025-10', '2025-11', '2025-12']",908,294,['e_now'],2025-12-31T17:00:00+00:00,2026-01-02T03:00:00+00:00,"{'intercept': -12.139756113592062, 'e_now': 1.0}"
available_macro,EQ,2026-01,13,ar_quantile,90,change,0.05,1.6823155005286454,"['2025-10', '2025-11', '2025-12']",908,294,['e_now'],2025-12-31T17:00:00+00:00,2026-01-02T03:00:00+00:00,"{'e_now': 0.8685875275234272, 'intercept': -11.32376114558225}"
available_macro,EQ,2026-01,25,dynamics_vol,90,change,0.05,1.6434404482093337,"['2025-10', '2025-11', '2025-12']",908,294,"['e_now', 'e_change1', 'btc_vol24', 'downside24']",2025-12-31T17:00:00+00:00,2026-01-02T03:00:00+00:00,"{'e_now': 0.9841079759788164, 'e_change1': -0.19144815647833455, 'btc_vol24': 0.0, 'downside24': 0.0, 'intercept': -10.938910011479532}"
available_macro,EQ,2026-02,1,persistence,90,change,,1.9023740483728127,"['2025-11', '2025-12', '2026-01']",887,280,['e_now'],2026-01-30T17:00:00+00:00,2026-02-02T03:00:00+00:00,"{'intercept': -13.15240515189682, 'e_now': 1.0}"
available_macro,EQ,2026-02,13,ar_quantile,90,change,0.05,1.815811849574267,"['2025-11', '2025-12', '2026-01']",887,280,['e_now'],2026-01-30T17:00:00+00:00,2026-02-02T03:00:00+00:00,"{'e_now': 0.8240739535730061, 'intercept': -12.27255840953123}"
available_macro,EQ,2026-02,24,dynamics_vol,90,change,0.01,1.7375447996551754,"['2025-11', '2025-12', '2026-01']",887,280,"['e_now', 'e_change1', 'btc_vol24', 'downside24']",2026-01-30T17:00:00+00:00,2026-02-02T03:00:00+00:00,"{'e_now': 0.7552226628736898, 'e_change1': -0.3770594517309745, 'btc_vol24': 0.0, 'downside24': -0.00038112050483456313, 'intercept': -10.306937477450138}"
available_macro,EQ,2026-03,1,persistence,90,change,,2.1359775273114585,"['2025-12', '2026-01', '2026-02']",887,201,['e_now'],2026-02-27T17:00:00+00:00,2026-03-02T03:00:00+00:00,"{'intercept': -14.945704892643123, 'e_now': 1.0}"
available_macro,EQ,2026-03,8,ar_quantile,90,level,0.0,1.9901101242409989,"['2025-12', '2026-01', '2026-02']",887,201,['e_now'],2026-02-27T17:00:00+00:00,2026-03-02T03:00:00+00:00,"{'e_now': 0.522238539770547, 'intercept': -13.08374553362616}"
available_macro,EQ,2026-03,20,dynamics_vol,90,level,0.0,1.7728541655544434,"['2025-12', '2026-01', '2026-02']",887,201,"['e_now', 'e_change1', 'btc_vol24', 'downside24']",2026-02-27T17:00:00+00:00,2026-03-02T03:00:00+00:00,"{'e_now': 0.6024621348078787, 'e_change1': -0.37809181730966135, 'btc_vol24': -0.00685325923260682, 'downside24': -0.0009803506411513935, 'intercept': -10.071533297339236}"
available_macro,CAP,2025-11,1,persistence,90,change,,1.2931862205908642,"['2025-08', '2025-09', '2025-10']",975,280,['e_now'],2025-10-31T17:00:00+00:00,2025-11-03T03:00:00+00:00,"{'intercept': -8.763726878493811, 'e_now': 1.0}"
available_macro,CAP,2025-11,6,ar_quantile,all,change,0.01,1.1145813106736826,"['2025-08', '2025-09', '2025-10']",1582,280,['e_now'],2025-10-31T17:00:00+00:00,2025-11-03T03:00:00+00:00,"{'e_now': 0.24655414655999974, 'intercept': -7.134901212016056}"
available_macro,CAP,2025-11,19,dynamics_vol,all,change,0.05,1.1152285177871175,"['2025-08', '2025-09', '2025-10']",1582,280,"['e_now', 'e_change1', 'btc_vol24', 'downside24']",2025-10-31T17:00:00+00:00,2025-11-03T03:00:00+00:00,"{'e_now': 0.5279540248751079, 'e_change1': 0.0, 'btc_vol24': 0.0, 'downside24': 0.0, 'intercept': -7.559313470799645}"
available_macro,CAP,2025-12,1,persistence,90,change,,1.3277662712762597,"['2025-09', '2025-10', '2025-11']",940,313,['e_now'],2025-11-28T17:00:00+00:00,2025-12-01T03:00:00+00:00,"{'intercept': -8.615622215287278, 'e_now': 1.0}"
available_macro,CAP,2025-12,7,ar_quantile,all,change,0.05,1.3386263140836838,"['2025-09', '2025-10', '2025-11']",1862,313,['e_now'],2025-11-28T17:00:00+00:00,2025-12-01T03:00:00+00:00,"{'e_now': 0.7759223222269345, 'intercept': -8.100086365501932}"
available_macro,CAP,2025-12,19,dynamics_vol,all,change,0.05,1.3383359254596459,"['2025-09', '2025-10', '2025-11']",1862,313,"['e_now', 'e_change1', 'btc_vol24', 'downside24']",2025-11-28T17:00:00+00:00,2025-12-01T03:00:00+00:00,"{'e_now': 0.7979605156970361, 'e_change1': -0.03959098603271322, 'btc_vol24': 0.0, 'downside24': 0.0, 'intercept': -8.077858866299367}"
available_macro,CAP,2026-01,0,persistence,all,change,,1.3894319215351143,"['2025-10', '2025-11', '2025-12']",2175,294,['e_now'],2025-12-31T17:00:00+00:00,2026-01-02T03:00:00+00:00,"{'intercept': -8.989143263979138, 'e_now': 1.0}"
available_macro,CAP,2026-01,7,ar_quantile,all,change,0.05,1.4194346013860764,"['2025-10', '2025-11', '2025-12']",2175,294,['e_now'],2025-12-31T17:00:00+00:00,2026-01-02T03:00:00+00:00,"{'e_now': 0.7613295193721181, 'intercept': -8.160703910529605}"
available_macro,CAP,2026-01,19,dynamics_vol,all,change,0.05,1.4146233881852686,"['2025-10', '2025-11', '2025-12']",2175,294,"['e_now', 'e_change1', 'btc_vol24', 'downside24']",2025-12-31T17:00:00+00:00,2026-01-02T03:00:00+00:00,"{'e_now': 0.793749746277447, 'e_change1': -0.05193390642370238, 'btc_vol24': 0.0, 'downside24': 0.0, 'intercept': -8.158213232662058}"
available_macro,CAP,2026-02,0,persistence,all,change,,1.4195360567467479,"['2025-11', '2025-12', '2026-01']",2469,280,['e_now'],2026-01-30T17:00:00+00:00,2026-02-02T03:00:00+00:00,"{'intercept': -9.112372429512282, 'e_now': 1.0}"
available_macro,CAP,2026-02,7,ar_quantile,all,change,0.05,1.4757087039816201,"['2025-11', '2025-12', '2026-01']",2469,280,['e_now'],2026-01-30T17:00:00+00:00,2026-02-02T03:00:00+00:00,"{'e_now': 0.761509124513318, 'intercept': -8.389126339890835}"
available_macro,CAP,2026-02,19,dynamics_vol,all,change,0.05,1.4665015141094775,"['2025-11', '2025-12', '2026-01']",2469,280,"['e_now', 'e_change1', 'btc_vol24', 'downside24']",2026-01-30T17:00:00+00:00,2026-02-02T03:00:00+00:00,"{'e_now': 0.7740236520158474, 'e_change1': -0.03990994318677965, 'btc_vol24': 0.0, 'downside24': 0.0, 'intercept': -8.284678576990368}"
