mode,definition,removed_group,procedure,calibration,loss_bp,n
available_macro,CAP,fx_macro,fixed_full_spec,raw,1.2550255407786322,1088
available_macro,CAP,fx_macro,fixed_full_spec,calibrated,1.3045734068096884,1088
available_macro,CAP,fx_macro,retuned,raw,1.2550255407786328,1088
available_macro,CAP,fx_macro,retuned,calibrated,1.3045734068096886,1088
available_macro,CAP,global_btc,fixed_full_spec,raw,1.2869020459216083,1088
available_macro,CAP,global_btc,fixed_full_spec,calibrated,1.3065079457816455,1088
available_macro,CAP,global_btc,retuned,raw,1.2869020459216083,1088
available_macro,CAP,global_btc,retuned,calibrated,1.3065079457816455,1088
available_macro,CAP,local_volume,fixed_full_spec,raw,1.2934332682511709,1088
available_macro,CAP,local_volume,fixed_full_spec,calibrated,1.3075871013294473,1088
available_macro,CAP,local_volume,retuned,raw,1.2934332682511709,1088
available_macro,CAP,local_volume,retuned,calibrated,1.3075871013294473,1088
available_macro,CAP,none,full,raw,1.2974799649411848,1088
available_macro,CAP,none,full,calibrated,1.3073431034704341,1088
available_macro,EQ,fx_macro,fixed_full_spec,raw,1.7695264991984345,1088
available_macro,EQ,fx_macro,fixed_full_spec,calibrated,1.6819539245307162,1088
available_macro,EQ,fx_macro,retuned,raw,1.8142892085560622,1088
available_macro,EQ,fx_macro,retuned,calibrated,1.7049554463209635,1088
available_macro,EQ,global_btc,fixed_full_spec,raw,1.7899683686349552,1088
available_macro,EQ,global_btc,fixed_full_spec,calibrated,1.6959645727827952,1088
available_macro,EQ,global_btc,retuned,raw,1.7899683686349552,1088
available_macro,EQ,global_btc,retuned,calibrated,1.6959645727827952,1088
available_macro,EQ,local_volume,fixed_full_spec,raw,1.7770984166319737,1088
available_macro,EQ,local_volume,fixed_full_spec,calibrated,1.6920045128544587,1088
available_macro,EQ,local_volume,retuned,raw,1.7770984166319737,1088
available_macro,EQ,local_volume,retuned,calibrated,1.6966621021294253,1088
available_macro,EQ,none,full,raw,1.7791993951130674,1088
available_macro,EQ,none,full,calibrated,1.6914307529067192,1088
available_macro,PCA,fx_macro,fixed_full_spec,raw,1.696137364084543,1088
available_macro,PCA,fx_macro,fixed_full_spec,calibrated,1.6340230134525828,1088
available_macro,PCA,fx_macro,retuned,raw,1.7807968544829045,1088
available_macro,PCA,fx_macro,retuned,calibrated,1.6895966813829666,1088
available_macro,PCA,global_btc,fixed_full_spec,raw,1.7110720150874947,1088
available_macro,PCA,global_btc,fixed_full_spec,calibrated,1.6619663127570323,1088
available_macro,PCA,global_btc,retuned,raw,1.7685259670980944,1088
available_macro,PCA,global_btc,retuned,calibrated,1.6859419735164032,1088
available_macro,PCA,local_volume,fixed_full_spec,raw,1.707882318037586,1088
available_macro,PCA,local_volume,fixed_full_spec,calibrated,1.6426879968009425,1088
available_macro,PCA,local_volume,retuned,raw,1.7618427646412484,1088
available_macro,PCA,local_volume,retuned,calibrated,1.6687439482669628,1088
available_macro,PCA,none,full,raw,1.7014485007502984,1088
available_macro,PCA,none,full,calibrated,1.646733782555868,1088
strict,EQ,fx_macro,fixed_full_spec,raw,1.9078216520604503,467
strict,EQ,fx_macro,fixed_full_spec,calibrated,1.860277845997085,467
strict,EQ,fx_macro,retuned,raw,1.9078216520604512,467
strict,EQ,fx_macro,retuned,calibrated,1.8602778459970857,467
strict,EQ,global_btc,fixed_full_spec,raw,1.9160052576592232,467
strict,EQ,global_btc,fixed_full_spec,calibrated,1.8029448841265419,467
strict,EQ,global_btc,retuned,raw,1.8121461606649731,467
strict,EQ,global_btc,retuned,calibrated,1.8080806140680878,467
strict,EQ,local_volume,fixed_full_spec,raw,1.9576626693149977,467
strict,EQ,local_volume,fixed_full_spec,calibrated,1.9033155377198252,467
strict,EQ,local_volume,retuned,raw,1.9801742528549842,467
strict,EQ,local_volume,retuned,calibrated,1.9125014218925902,467
strict,EQ,none,full,raw,1.941325732604377,467
strict,EQ,none,full,calibrated,1.8818482685609634,467
