mode,definition,fold,removed_group,procedure,seed,candidate,kind,window,form,params,inner_score,inner_months,train_n,test_n,features,interaction_pairs,train_last_label,first_origin
available_macro,EQ,2025-11,fx_macro,retuned,20260925,52,qrf,all,change,"{'max_depth': None, 'min_samples_leaf': 20, 'max_features': 0.7}",1.235794561875183,"['2025-08', '2025-09', '2025-10']",1582,280,"['e_now', 'e_change1', 'downside24', 'btc_vol24', 'btc_ret1', 'local_volume_surprise', 'hour_sin', 'hour_cos', 'weekend', 'account_log', 'funding_bp', 'oi_ret1', 'oi_surprise', 'account_change1', 'account_change24', 'funding_change8', 'oi_change24']",[],2025-10-31T17:00:00+00:00,2025-11-03T03:00:00+00:00
available_macro,EQ,2025-11,global_btc,retuned,20260925,52,qrf,all,change,"{'max_depth': None, 'min_samples_leaf': 20, 'max_features': 0.7}",1.2331227779247735,"['2025-08', '2025-09', '2025-10']",1582,280,"['e_now', 'e_change1', 'dxy_ret1', 'fx_ret1', 'vix_ret1', 'local_volume_surprise', 'vix_known_log', 'vix_known_age_hours', 'dxy_known_age_hours', 'hour_sin', 'hour_cos', 'weekend', 'account_log', 'funding_bp', 'oi_ret1', 'oi_surprise', 'account_change1', 'account_change24', 'funding_change8', 'oi_change24']",[],2025-10-31T17:00:00+00:00,2025-11-03T03:00:00+00:00
available_macro,EQ,2026-01,fx_macro,retuned,20260925,40,boosting,all,change,"{'max_depth': 2, 'n_estimators': 150, 'min_samples_leaf': 20}",1.520047445261505,"['2025-10', '2025-11', '2025-12']",2175,294,"['e_now', 'e_change1', 'downside24', 'btc_vol24', 'btc_ret1', 'local_volume_surprise', 'hour_sin', 'hour_cos', 'weekend', 'account_log', 'funding_bp', 'oi_ret1', 'oi_surprise', 'account_change1', 'account_change24', 'funding_change8', 'oi_change24']",[],2025-12-31T17:00:00+00:00,2026-01-02T03:00:00+00:00
available_macro,EQ,2026-01,global_btc,retuned,20260925,40,boosting,all,change,"{'max_depth': 2, 'n_estimators': 150, 'min_samples_leaf': 20}",1.528550294304099,"['2025-10', '2025-11', '2025-12']",2175,294,"['e_now', 'e_change1', 'dxy_ret1', 'fx_ret1', 'vix_ret1', 'local_volume_surprise', 'vix_known_log', 'vix_known_age_hours', 'dxy_known_age_hours', 'hour_sin', 'hour_cos', 'weekend', 'account_log', 'funding_bp', 'oi_ret1', 'oi_surprise', 'account_change1', 'account_change24', 'funding_change8', 'oi_change24']",[],2025-12-31T17:00:00+00:00,2026-01-02T03:00:00+00:00
available_macro,EQ,2025-12,global_btc,retuned,20260925,52,qrf,all,change,"{'max_depth': None, 'min_samples_leaf': 20, 'max_features': 0.7}",1.3528649695236885,"['2025-09', '2025-10', '2025-11']",1862,313,"['e_now', 'e_change1', 'dxy_ret1', 'fx_ret1', 'vix_ret1', 'local_volume_surprise', 'vix_known_log', 'vix_known_age_hours', 'dxy_known_age_hours', 'hour_sin', 'hour_cos', 'weekend', 'account_log', 'funding_bp', 'oi_ret1', 'oi_surprise', 'account_change1', 'account_change24', 'funding_change8', 'oi_change24']",[],2025-11-28T17:00:00+00:00,2025-12-01T03:00:00+00:00
available_macro,EQ,2026-01,local_volume,retuned,20260925,40,boosting,all,change,"{'max_depth': 2, 'n_estimators': 150, 'min_samples_leaf': 20}",1.5110424909441833,"['2025-10', '2025-11', '2025-12']",2175,294,"['e_now', 'e_change1', 'downside24', 'btc_vol24', 'btc_ret1', 'dxy_ret1', 'fx_ret1', 'vix_ret1', 'vix_known_log', 'vix_known_age_hours', 'dxy_known_age_hours', 'hour_sin', 'hour_cos', 'weekend', 'account_log', 'funding_bp', 'oi_ret1', 'oi_surprise', 'account_change1', 'account_change24', 'funding_change8', 'oi_change24']",[],2025-12-31T17:00:00+00:00,2026-01-02T03:00:00+00:00
available_macro,CAP,2025-11,global_btc,retuned,20260925,68,threshold,all,change,"{'band': [0.2, 0.8], 'alpha': 0.01}",1.0866648907440437,"['2025-08', '2025-09', '2025-10']",1582,280,"['e_now', 'e_change1', 'dxy_ret1', 'fx_ret1', 'vix_ret1', 'local_volume_surprise', 'vix_known_log', 'vix_known_age_hours', 'dxy_known_age_hours', 'hour_sin', 'hour_cos', 'weekend', 'account_log', 'funding_bp', 'oi_ret1', 'oi_surprise', 'account_change1', 'account_change24', 'funding_change8', 'oi_change24']",[],2025-10-31T17:00:00+00:00,2025-11-03T03:00:00+00:00
available_macro,EQ,2025-12,local_volume,retuned,20260925,52,qrf,all,change,"{'max_depth': None, 'min_samples_leaf': 20, 'max_features': 0.7}",1.354869715867477,"['2025-09', '2025-10', '2025-11']",1862,313,"['e_now', 'e_change1', 'downside24', 'btc_vol24', 'btc_ret1', 'dxy_ret1', 'fx_ret1', 'vix_ret1', 'vix_known_log', 'vix_known_age_hours', 'dxy_known_age_hours', 'hour_sin', 'hour_cos', 'weekend', 'account_log', 'funding_bp', 'oi_ret1', 'oi_surprise', 'account_change1', 'account_change24', 'funding_change8', 'oi_change24']",[],2025-11-28T17:00:00+00:00,2025-12-01T03:00:00+00:00
available_macro,CAP,2025-11,local_volume,retuned,20260925,68,threshold,all,change,"{'band': [0.2, 0.8], 'alpha': 0.01}",1.0847051567681958,"['2025-08', '2025-09', '2025-10']",1582,280,"['e_now', 'e_change1', 'downside24', 'btc_vol24', 'btc_ret1', 'dxy_ret1', 'fx_ret1', 'vix_ret1', 'vix_known_log', 'vix_known_age_hours', 'dxy_known_age_hours', 'hour_sin', 'hour_cos', 'weekend', 'account_log', 'funding_bp', 'oi_ret1', 'oi_surprise', 'account_change1', 'account_change24', 'funding_change8', 'oi_change24']",[],2025-10-31T17:00:00+00:00,2025-11-03T03:00:00+00:00
available_macro,CAP,2025-11,fx_macro,retuned,20260925,68,threshold,all,change,"{'band': [0.2, 0.8], 'alpha': 0.01}",1.0760465088051046,"['2025-08', '2025-09', '2025-10']",1582,280,"['e_now', 'e_change1', 'downside24', 'btc_vol24', 'btc_ret1', 'local_volume_surprise', 'hour_sin', 'hour_cos', 'weekend', 'account_log', 'funding_bp', 'oi_ret1', 'oi_surprise', 'account_change1', 'account_change24', 'funding_change8', 'oi_change24']",[],2025-10-31T17:00:00+00:00,2025-11-03T03:00:00+00:00
