mode,definition,removed_group,procedure,calibration,n,days,seeds,loss_bp,below_rate,below_lo,below_hi
available_macro,CAP,fx_macro,fixed_full_spec,raw,1088,78,1,1.2550255407786322,0.16176470588235295,0.1441326646738388,0.17891017694319122
available_macro,CAP,fx_macro,retuned,raw,1088,78,1,1.2550255407786328,0.16176470588235295,0.1441326646738388,0.17891017694319122
available_macro,CAP,global_btc,fixed_full_spec,raw,1088,78,1,1.2869020459216083,0.16819852941176472,0.15177590928045587,0.1838052039962868
available_macro,CAP,global_btc,retuned,raw,1088,78,1,1.2869020459216083,0.16819852941176472,0.15177590928045587,0.1838052039962868
available_macro,CAP,local_volume,fixed_full_spec,raw,1088,78,1,1.2934332682511709,0.171875,0.1553119495925551,0.1877145243295828
available_macro,CAP,local_volume,retuned,raw,1088,78,1,1.2934332682511709,0.171875,0.1553119495925551,0.1877145243295828
available_macro,CAP,none,full,raw,1088,78,1,1.2974799649411848,0.17371323529411764,0.1567594951077732,0.18916760785686132
available_macro,CAP,fx_macro,fixed_full_spec,calibrated,1088,78,1,1.3045734068096884,0.09834558823529412,0.08273136354729446,0.11618688230008985
available_macro,CAP,fx_macro,retuned,calibrated,1088,78,1,1.3045734068096886,0.09834558823529412,0.08273136354729446,0.11618688230008985
available_macro,CAP,global_btc,fixed_full_spec,calibrated,1088,78,1,1.3065079457816455,0.09650735294117647,0.08053882560981954,0.11603386372263697
available_macro,CAP,global_btc,retuned,calibrated,1088,78,1,1.3065079457816455,0.09650735294117647,0.08053882560981954,0.11603386372263697
available_macro,CAP,local_volume,fixed_full_spec,calibrated,1088,78,1,1.3075871013294473,0.09926470588235294,0.08341768823435619,0.11811511525787588
available_macro,CAP,local_volume,retuned,calibrated,1088,78,1,1.3075871013294473,0.09926470588235294,0.08341768823435619,0.11811511525787588
available_macro,CAP,none,full,calibrated,1088,78,1,1.3073431034704341,0.10294117647058823,0.08671533391634495,0.12282619962732401
available_macro,EQ,fx_macro,fixed_full_spec,raw,1088,78,4,1.7695264991984345,0.18428308823529413,0.16192206266897133,0.2070327765043861
available_macro,EQ,fx_macro,retuned,raw,1088,78,4,1.8142892085560622,0.1870404411764706,0.1655054794712951,0.20922776444289112
available_macro,EQ,global_btc,fixed_full_spec,raw,1088,78,4,1.7899683686349552,0.18451286764705882,0.16208983936054888,0.2078444162468045
available_macro,EQ,global_btc,retuned,raw,1088,78,4,1.7899683686349552,0.18451286764705882,0.16208983936054888,0.2078444162468045
available_macro,EQ,local_volume,fixed_full_spec,raw,1088,78,4,1.7770984166319737,0.1840533088235294,0.16129802924076608,0.20695449727006418
available_macro,EQ,local_volume,retuned,raw,1088,78,4,1.7770984166319737,0.1840533088235294,0.16129802924076608,0.20695449727006418
available_macro,EQ,none,full,raw,1088,78,4,1.7791993951130674,0.18520220588235295,0.1630707962340798,0.20849200977983823
available_macro,EQ,fx_macro,fixed_full_spec,calibrated,1088,78,4,1.6819539245307162,0.10202205882352941,0.08731338960017165,0.11774759022775122
available_macro,EQ,fx_macro,retuned,calibrated,1088,78,4,1.7049554463209635,0.0978860294117647,0.0832499063125491,0.11365929735785332
available_macro,EQ,global_btc,fixed_full_spec,calibrated,1088,78,4,1.6959645727827952,0.10454963235294118,0.0896010237430793,0.11990081907202342
available_macro,EQ,global_btc,retuned,calibrated,1088,78,4,1.6959645727827952,0.10454963235294118,0.0896010237430793,0.11990081907202342
available_macro,EQ,local_volume,fixed_full_spec,calibrated,1088,78,4,1.6920045128544587,0.10087316176470588,0.08681966537779974,0.11580724815831162
available_macro,EQ,local_volume,retuned,calibrated,1088,78,4,1.6966621021294253,0.09949448529411764,0.08501235319625158,0.11481321097893532
available_macro,EQ,none,full,calibrated,1088,78,4,1.6914307529067192,0.10087316176470588,0.08637372776742078,0.1159271337307209
available_macro,PCA,fx_macro,fixed_full_spec,raw,1088,78,1,1.696137364084543,0.17371323529411764,0.15161907887539655,0.19667238088478317
available_macro,PCA,fx_macro,retuned,raw,1088,78,1,1.7807968544829045,0.18290441176470587,0.16069702003711284,0.20588371082505022
available_macro,PCA,global_btc,fixed_full_spec,raw,1088,78,1,1.7110720150874947,0.17279411764705882,0.15245355112957923,0.19442543230432258
available_macro,PCA,global_btc,retuned,raw,1088,78,1,1.7685259670980944,0.1801470588235294,0.15880555739195462,0.20186702834189513
