mode,definition,removed_group,procedure,calibration,fold,n,loss_bp,below_rate
available_macro,CAP,fx_macro,fixed_full_spec,raw,2025-12,313,1.160771694913654,0.14057507987220447
available_macro,CAP,fx_macro,fixed_full_spec,raw,2026-01,294,1.2922924277261385,0.17346938775510204
available_macro,CAP,fx_macro,fixed_full_spec,raw,2026-02,280,1.2775352926699322,0.14285714285714285
available_macro,CAP,fx_macro,fixed_full_spec,raw,2026-03,201,1.3159322993040419,0.20398009950248755
available_macro,CAP,fx_macro,retuned,raw,2025-12,313,1.160771694913654,0.14057507987220447
available_macro,CAP,fx_macro,retuned,raw,2026-01,294,1.2922924277261385,0.17346938775510204
available_macro,CAP,fx_macro,retuned,raw,2026-02,280,1.2775352926699322,0.14285714285714285
available_macro,CAP,fx_macro,retuned,raw,2026-03,201,1.3159322993040459,0.20398009950248755
available_macro,CAP,global_btc,fixed_full_spec,raw,2025-12,313,1.1585813659191755,0.14057507987220447
available_macro,CAP,global_btc,fixed_full_spec,raw,2026-01,294,1.2891673164365527,0.17006802721088435
available_macro,CAP,global_btc,fixed_full_spec,raw,2026-02,280,1.2762942905701071,0.14642857142857144
available_macro,CAP,global_btc,fixed_full_spec,raw,2026-03,201,1.4981883882489135,0.23880597014925373
available_macro,CAP,global_btc,retuned,raw,2025-12,313,1.1585813659191755,0.14057507987220447
available_macro,CAP,global_btc,retuned,raw,2026-01,294,1.2891673164365527,0.17006802721088435
available_macro,CAP,global_btc,retuned,raw,2026-02,280,1.2762942905701071,0.14642857142857144
available_macro,CAP,global_btc,retuned,raw,2026-03,201,1.4981883882489135,0.23880597014925373
available_macro,CAP,local_volume,fixed_full_spec,raw,2025-12,313,1.1585813659191755,0.14057507987220447
available_macro,CAP,local_volume,fixed_full_spec,raw,2026-01,294,1.2922924277261385,0.17346938775510204
available_macro,CAP,local_volume,fixed_full_spec,raw,2026-02,280,1.2796028036901237,0.1357142857142857
available_macro,CAP,local_volume,fixed_full_spec,raw,2026-03,201,1.5243615399992667,0.26865671641791045
available_macro,CAP,local_volume,retuned,raw,2025-12,313,1.1585813659191755,0.14057507987220447
available_macro,CAP,local_volume,retuned,raw,2026-01,294,1.2922924277261385,0.17346938775510204
available_macro,CAP,local_volume,retuned,raw,2026-02,280,1.2796028036901237,0.1357142857142857
available_macro,CAP,local_volume,retuned,raw,2026-03,201,1.5243615399992667,0.26865671641791045
available_macro,CAP,none,full,raw,2025-12,313,1.1585813659191755,0.14057507987220447
available_macro,CAP,none,full,raw,2026-01,294,1.2922924277261385,0.17346938775510204
available_macro,CAP,none,full,raw,2026-02,280,1.2775352926699322,0.14285714285714285
available_macro,CAP,none,full,raw,2026-03,201,1.549146162309659,0.26865671641791045
available_macro,CAP,fx_macro,fixed_full_spec,calibrated,2025-12,313,1.4322848452993124,0.09584664536741214
available_macro,CAP,fx_macro,fixed_full_spec,calibrated,2026-01,294,1.2259429135718165,0.10884353741496598
available_macro,CAP,fx_macro,fixed_full_spec,calibrated,2026-02,280,1.287614490494797,0.09285714285714286
available_macro,CAP,fx_macro,fixed_full_spec,calibrated,2026-03,201,1.2443355029930292,0.0945273631840796
available_macro,CAP,fx_macro,retuned,calibrated,2025-12,313,1.4322848452993124,0.09584664536741214
available_macro,CAP,fx_macro,retuned,calibrated,2026-01,294,1.2259429135718165,0.10884353741496598
available_macro,CAP,fx_macro,retuned,calibrated,2026-02,280,1.287614490494797,0.09285714285714286
available_macro,CAP,fx_macro,retuned,calibrated,2026-03,201,1.2443355029930299,0.0945273631840796
available_macro,CAP,global_btc,fixed_full_spec,calibrated,2025-12,313,1.4198283084698038,0.0926517571884984
available_macro,CAP,global_btc,fixed_full_spec,calibrated,2026-01,294,1.2131195610426542,0.10884353741496598
available_macro,CAP,global_btc,fixed_full_spec,calibrated,2026-02,280,1.2836839116808298,0.09285714285714286
available_macro,CAP,global_btc,fixed_full_spec,calibrated,2026-03,201,1.298436508667707,0.08955223880597014
available_macro,CAP,global_btc,retuned,calibrated,2025-12,313,1.4198283084698038,0.0926517571884984
available_macro,CAP,global_btc,retuned,calibrated,2026-01,294,1.2131195610426542,0.10884353741496598
available_macro,CAP,global_btc,retuned,calibrated,2026-02,280,1.2836839116808298,0.09285714285714286
available_macro,CAP,global_btc,retuned,calibrated,2026-03,201,1.298436508667707,0.08955223880597014
available_macro,CAP,local_volume,fixed_full_spec,calibrated,2025-12,313,1.4119322427892942,0.0926517571884984
available_macro,CAP,local_volume,fixed_full_spec,calibrated,2026-01,294,1.2259465244150378,0.10884353741496598
available_macro,CAP,local_volume,fixed_full_spec,calibrated,2026-02,280,1.2948865336276627,0.08928571428571429
available_macro,CAP,local_volume,fixed_full_spec,calibrated,2026-03,201,1.2822063017891672,0.10945273631840796
