target,h,model,n,tail_loss,q10_loss,q50_loss,q90_loss,below10,above90,coverage80,width80
btc,6,update_linear_price_raw,1837,1.3014890387232811,1.2957735083164084,2.964125575064395,1.307204569130154,0.130647795318454,0.0974414806750136,0.7719107240065324,17.756337346707312
btc,6,update_linear_price_cal28,1837,1.2981945843306226,1.2824083103227897,2.962382148833135,1.3139808583384558,0.1115949918345128,0.0996189439303211,0.7887860642351661,18.59820347979868
btc,6,update_linear_local_raw,1837,1.3015352442217707,1.2958659193133868,2.964031775157508,1.307204569130154,0.1301034295046271,0.0974414806750136,0.7724550898203593,17.763135898361057
btc,6,update_linear_local_cal28,1837,1.2985673904265496,1.2832669012261226,2.960323954461433,1.3138678796269767,0.1121393576483396,0.0996189439303211,0.7882416984213392,18.58224871935398
btc,6,update_linear_full_raw,1837,1.303384216200587,1.295865919313387,2.959206770436737,1.310902513087787,0.1301034295046271,0.1066956995100707,0.7632008709853021,17.40325464228161
btc,6,update_linear_full_cal28,1837,1.3000558274857166,1.2832669012261226,2.9613859258760407,1.3168447537453107,0.1121393576483396,0.0979858464888405,0.7898747958628198,18.53911535157025
btc,6,update_lgbm_price_raw,1837,1.3382212996120892,1.3643902443172538,2.971365255402168,1.3120523549069243,0.1268372346216657,0.1137724550898203,0.7593903102885139,18.195222553866547
btc,6,update_lgbm_price_cal28,1837,1.3382657743373114,1.3607735525353746,2.9725634115793547,1.315757996139248,0.1007076755579749,0.1045182362547632,0.7947740881872618,19.56205732424266
btc,6,update_lgbm_local_raw,1837,1.3341387108012823,1.3594514158263444,2.9761849704910075,1.3088260057762209,0.1273816004354926,0.1132280892759934,0.7593903102885139,18.13738880713897
btc,6,update_lgbm_local_cal28,1837,1.3336289610606331,1.3528954012541703,2.981263831221091,1.3143625208670953,0.1028851388132825,0.1017964071856287,0.7953184540010887,19.43568607561669
btc,6,update_lgbm_full_raw,1837,1.3420462439815262,1.360783780718339,2.973766561981755,1.3233087072447138,0.1235710397387044,0.1268372346216657,0.7495917256396298,17.665552645994556
btc,6,update_lgbm_full_cal28,1837,1.337003229750709,1.356584910550021,2.9822115928002644,1.3174215489513972,0.1028851388132825,0.1007076755579749,0.7964071856287425,19.46864511236405
btc,6,update_threshold_local_raw,1837,1.320658942293454,1.3341133154567535,2.9664072223858917,1.3072045691301544,0.1371801850843767,0.0974414806750136,0.7653783342406096,17.633821479152644
btc,6,update_threshold_local_cal28,1837,1.3127058261998323,1.311543772772688,2.965421141297502,1.3138678796269767,0.1115949918345128,0.0996189439303211,0.7887860642351661,18.923408057482884
btc,6,update_qar_qar_raw,1837,1.322785410124298,1.3343981713692477,3.0030669932045013,1.3111726488793485,0.1399020141535111,0.0974414806750136,0.7626565051714752,17.79595232454943
btc,6,update_qar_qar_cal28,1837,1.3156202330919349,1.3134854695743072,2.9925662253005934,1.3177549966095623,0.1132280892759934,0.0985302123026674,0.7882416984213392,18.9083624246853
btc,6,hist7,1837,1.3342542852408472,1.2933421034953287,3.0870409434687955,1.3751664669863657,0.1175830157866086,0.1083287969515514,0.7740881872618399,18.74346582004117
btc,6,hist28,1837,1.3142417825745003,1.2953931112943258,3.039393034995095,1.3330904538546753,0.1192161132280892,0.0968971148611867,0.783886771910724,18.65261230301863
btc,6,delta28,1837,1.6771397185484336,1.683175577155496,3.840082528447601,1.6711038599413706,0.1012520413718018,0.0990745781164942,0.7996733805117039,24.291741053711004
mean5,12,update_linear_price_raw,1831,1.7341591244374035,1.7366451178119606,3.904410448882998,1.7316731310628468,0.1698525395958492,0.1250682687056253,0.7050791916985254,20.907795214175557
mean5,12,update_linear_price_cal28,1831,1.682579042595958,1.6415312115741771,3.8823992756487966,1.723626873617739,0.1103222282905516,0.099399235390497,0.7902785363189514,24.64157976089981
mean5,12,update_linear_local_raw,1831,1.7352024812895417,1.738731831516236,3.904454019479152,1.7316731310628468,0.1589295466957946,0.1250682687056253,0.71600218459858,21.33763444955901
mean5,12,update_linear_local_cal28,1831,1.689871471010973,1.656116068404207,3.883172242077936,1.723626873617739,0.1130529765155652,0.099399235390497,0.7875477880939378,24.801457508307845
mean5,12,update_linear_full_raw,1831,1.754205516523018,1.7684767487725463,3.9010067225643783,1.7399342842734895,0.1676679410158383,0.1299836155106499,0.7023484434735118,20.860652510153656
mean5,12,update_linear_full_cal28,1831,1.69497882438632,1.6623915638819216,3.89387038857214,1.7275660848907184,0.1103222282905516,0.099399235390497,0.7902785363189514,24.691472329915737
mean5,12,update_lgbm_price_raw,1831,1.7721530784654864,1.789505857293372,3.949591806675069,1.7548002996376006,0.1245221190606226,0.1409066084107045,0.7345712725286728,23.128697552710797
mean5,12,update_lgbm_price_cal28,1831,1.756182277969505,1.7890271903264825,3.9547843896263855,1.7233373656125277,0.1130529765155652,0.0999453850354997,0.787001638448935,25.69058009797124
mean5,12,update_lgbm_local_raw,1831,1.7622876280092137,1.7714516299157272,3.9640966629155656,1.7531236261026992,0.1288913162206444,0.1348989623156745,0.736209721463681,22.857388481178525
mean5,12,update_lgbm_local_cal28,1831,1.745244388858332,1.7599728788030573,3.973469503044028,1.730515898913607,0.1103222282905516,0.097214636810486,0.7924631348989624,25.59349941716381
mean5,12,update_lgbm_full_raw,1831,1.7848684398358048,1.7965559450224018,3.9752548624178186,1.7731809346492071,0.1343528126706717,0.1425450573457127,0.7231021299836156,22.298942495138373
mean5,12,update_lgbm_full_cal28,1831,1.7520572694070675,1.7708781596491787,3.991293958396328,1.733236379164957,0.1168760240305843,0.097214636810486,0.7859093391589296,25.296844458454004
mean5,12,update_threshold_local_raw,1831,1.7333717463654463,1.7350703616680456,3.907386485562014,1.7316731310628468,0.1660294920808301,0.1250682687056253,0.7089022392135446,21.133836101111417
mean5,12,update_threshold_local_cal28,1831,1.685936937580003,1.6482470015422668,3.880980103618132,1.723626873617739,0.1075914800655379,0.099399235390497,0.793009284543965,24.589706408426597
mean5,12,update_qar_qar_raw,1831,1.72577622743692,1.7261016572430063,3.9183441599433855,1.7254507976308333,0.1600218459858001,0.1234298197706171,0.7165483342435828,21.186678963226274
mean5,12,update_qar_qar_cal28,1831,1.681111437131509,1.6424486106948812,3.890105568665136,1.7197742635681363,0.1157837247405789,0.0999453850354997,0.7842708902239214,24.387033117585503
mean5,12,hist7,1831,1.7077422129711048,1.672383683382175,3.978284784687028,1.7431007425600344,0.1119606772255598,0.1010376843255052,0.787001638448935,24.823616061515565
mean5,12,hist28,1831,1.690119513962376,1.652000420483995,3.916643406548217,1.7282386074407567,0.1185144729655925,0.1004915346805024,0.780993992353905,24.22170779256432
mean5,12,delta28,1831,2.3192648818373875,2.3181807868193967,5.262952338776887,2.3203489768553798,0.1064991807755325,0.1097760786455488,0.7837247405789186,32.39092566035152
mean5,1,update_linear_price_raw,1839,1.6659556339836603,1.6220724314797923,3.7233753867156727,1.7098388364875283,0.1511691136487221,0.1430125067971723,0.7058183795541055,19.980006164987525
mean5,1,update_linear_price_cal28,1839,1.62109119698281,1.5719386729209324,3.719381358886965,1.6702437210446877,0.1044045676998368,0.0962479608482871,0.799347471451876,24.09476071389332
