target,h,model,month,nfit,last_training_target,first_prediction
btc,6,linear_price,2025-11,3450,2025-10-31 23:00:00+00:00,2025-11-01 00:00:00+00:00
btc,6,linear_price,2025-12,4170,2025-11-30 23:00:00+00:00,2025-12-01 00:00:00+00:00
btc,6,linear_price,2026-01,4911,2025-12-31 23:00:00+00:00,2026-01-01 22:00:00+00:00
btc,6,linear_price,2026-02,5628,2026-01-31 23:00:00+00:00,2026-02-01 00:00:00+00:00
btc,6,linear_price,2026-03,6300,2026-02-28 23:00:00+00:00,2026-03-01 00:00:00+00:00
btc,6,linear_local,2025-11,3450,2025-10-31 23:00:00+00:00,2025-11-01 00:00:00+00:00
btc,6,linear_local,2025-12,4170,2025-11-30 23:00:00+00:00,2025-12-01 00:00:00+00:00
btc,6,linear_local,2026-01,4911,2025-12-31 23:00:00+00:00,2026-01-01 22:00:00+00:00
btc,6,linear_local,2026-02,5628,2026-01-31 23:00:00+00:00,2026-02-01 00:00:00+00:00
btc,6,linear_local,2026-03,6300,2026-02-28 23:00:00+00:00,2026-03-01 00:00:00+00:00
btc,6,linear_full,2025-11,3450,2025-10-31 23:00:00+00:00,2025-11-01 00:00:00+00:00
btc,6,linear_full,2025-12,4170,2025-11-30 23:00:00+00:00,2025-12-01 00:00:00+00:00
btc,6,linear_full,2026-01,4911,2025-12-31 23:00:00+00:00,2026-01-01 22:00:00+00:00
btc,6,linear_full,2026-02,5628,2026-01-31 23:00:00+00:00,2026-02-01 00:00:00+00:00
btc,6,linear_full,2026-03,6300,2026-02-28 23:00:00+00:00,2026-03-01 00:00:00+00:00
btc,6,lgbm_price,2025-11,3450,2025-10-31 23:00:00+00:00,2025-11-01 00:00:00+00:00
btc,6,lgbm_price,2025-12,4170,2025-11-30 23:00:00+00:00,2025-12-01 00:00:00+00:00
btc,6,lgbm_price,2026-01,4911,2025-12-31 23:00:00+00:00,2026-01-01 22:00:00+00:00
btc,6,lgbm_price,2026-02,5628,2026-01-31 23:00:00+00:00,2026-02-01 00:00:00+00:00
btc,6,lgbm_price,2026-03,6300,2026-02-28 23:00:00+00:00,2026-03-01 00:00:00+00:00
btc,6,lgbm_local,2025-11,3450,2025-10-31 23:00:00+00:00,2025-11-01 00:00:00+00:00
btc,6,lgbm_local,2025-12,4170,2025-11-30 23:00:00+00:00,2025-12-01 00:00:00+00:00
btc,6,lgbm_local,2026-01,4911,2025-12-31 23:00:00+00:00,2026-01-01 22:00:00+00:00
btc,6,lgbm_local,2026-02,5628,2026-01-31 23:00:00+00:00,2026-02-01 00:00:00+00:00
btc,6,lgbm_local,2026-03,6300,2026-02-28 23:00:00+00:00,2026-03-01 00:00:00+00:00
btc,6,lgbm_full,2025-11,3450,2025-10-31 23:00:00+00:00,2025-11-01 00:00:00+00:00
btc,6,lgbm_full,2025-12,4170,2025-11-30 23:00:00+00:00,2025-12-01 00:00:00+00:00
btc,6,lgbm_full,2026-01,4911,2025-12-31 23:00:00+00:00,2026-01-01 22:00:00+00:00
btc,6,lgbm_full,2026-02,5628,2026-01-31 23:00:00+00:00,2026-02-01 00:00:00+00:00
btc,6,lgbm_full,2026-03,6300,2026-02-28 23:00:00+00:00,2026-03-01 00:00:00+00:00
btc,6,threshold_local,2025-11,3450,2025-10-31 23:00:00+00:00,2025-11-01 00:00:00+00:00
btc,6,threshold_local,2025-12,4170,2025-11-30 23:00:00+00:00,2025-12-01 00:00:00+00:00
btc,6,threshold_local,2026-01,4911,2025-12-31 23:00:00+00:00,2026-01-01 22:00:00+00:00
btc,6,threshold_local,2026-02,5628,2026-01-31 23:00:00+00:00,2026-02-01 00:00:00+00:00
btc,6,threshold_local,2026-03,6300,2026-02-28 23:00:00+00:00,2026-03-01 00:00:00+00:00
btc,6,qar_qar,2025-11,3450,2025-10-31 23:00:00+00:00,2025-11-01 00:00:00+00:00
btc,6,qar_qar,2025-12,4170,2025-11-30 23:00:00+00:00,2025-12-01 00:00:00+00:00
btc,6,qar_qar,2026-01,4911,2025-12-31 23:00:00+00:00,2026-01-01 22:00:00+00:00
btc,6,qar_qar,2026-02,5628,2026-01-31 23:00:00+00:00,2026-02-01 00:00:00+00:00
btc,6,qar_qar,2026-03,6300,2026-02-28 23:00:00+00:00,2026-03-01 00:00:00+00:00
