cell,comparison,candidate,reference,n,days,delta,relative_pct,ci_low,ci_high,p_centered_approx,block_days,B,holm_primary_p
btc_h6,primary_local_info,update_lgbm_local_cal28,update_lgbm_price_cal28,1837,78,0.004636813276678598,0.3464792543898596,-0.004215436994763226,0.013220227864334634,0.31,5,1999,
btc_h6,offshore_info,update_lgbm_full_cal28,update_lgbm_local_cal28,1837,78,-0.003374268690076253,-0.25301405327855975,-0.011994413121332391,0.005007075986543522,0.4585,5,1999,
mean5_h12,primary_local_info,update_lgbm_local_cal28,update_lgbm_price_cal28,1831,78,0.010937889111172988,0.6228219728887913,5.711890923751706e-05,0.023986240707385857,0.069,5,1999,
mean5_h12,offshore_info,update_lgbm_full_cal28,update_lgbm_local_cal28,1831,78,-0.006812880548735786,-0.39036828264450085,-0.017796259498218003,0.004098050441555043,0.2105,5,1999,
mean5_h1,primary_local_info,update_lgbm_local_cal28,update_lgbm_price_cal28,1839,78,-0.010053877010448343,-0.603536667093023,-0.02676949037206777,0.004917944020759163,0.206,5,1999,
mean5_h1,offshore_info,update_lgbm_full_cal28,update_lgbm_local_cal28,1839,78,0.002052334141870573,0.122463005471309,-0.005507334515555867,0.008887698621445754,0.5785,5,1999,
mean5_h6,primary_local_info,update_lgbm_local_cal28,update_lgbm_price_cal28,1837,78,-0.0025550258199274057,-0.14907079347887411,-0.008984660074427837,0.00411680269014202,0.4305,5,1999,0.4305
mean5_h6,offshore_info,update_lgbm_full_cal28,update_lgbm_local_cal28,1837,78,-0.00044933788317067137,-0.026177211428344532,-0.009652726913746024,0.009024145787854713,0.9275,5,1999,
median5_h6,primary_local_info,update_lgbm_local_cal28,update_lgbm_price_cal28,1837,78,0.002464486915083319,0.19029406522190492,-0.004647451376779213,0.009274397715848207,0.493,5,1999,
median5_h6,offshore_info,update_lgbm_full_cal28,update_lgbm_local_cal28,1837,78,-0.010692122665954176,-0.8271606843499782,-0.019074516492635113,-0.002452770153945945,0.0125,5,1999,
