target,h,model,month,n,tail_loss,q10_loss,q50_loss,q90_loss,below10,above90,coverage80,width80
mean5,12,update_linear_price_raw,2025-11,720,1.7837766251416054,2.2252434788460826,3.4813109736872954,1.342309771437128,0.20833333333333334,0.09861111111111111,0.6930555555555555,16.5708322718565
mean5,12,update_linear_price_raw,2025-12,736,2.0430557376902905,2.333401287390045,4.2062738117711005,1.7527101879905358,0.11956521739130435,0.1358695652173913,0.7445652173913043,23.384965622896367
mean5,12,update_linear_price_raw,2026-01,722,1.4604948806376123,1.4142702672846166,3.28779093587988,1.5067194939906081,0.15512465373961218,0.10664819944598337,0.7382271468144044,19.301909188002274
mean5,12,update_linear_price_raw,2026-02,672,1.8967322062828675,1.938520975370892,4.2235303636711,1.8549434371948434,0.17708333333333334,0.15178571428571427,0.6711309523809523,21.08051894218121
mean5,12,update_linear_price_raw,2026-03,437,1.9363020833007842,1.9588283347482083,4.432444100257476,1.9137758318533604,0.18306636155606407,0.11441647597254005,0.7025171624713958,23.29539101664079
mean5,12,update_linear_price_cal28,2025-11,720,1.701010439869561,2.0536144154900144,3.4840729746245453,1.3484064642491076,0.18472222222222223,0.09722222222222222,0.7180555555555556,17.57867086267628
mean5,12,update_linear_price_cal28,2025-12,736,2.131719068287928,2.5163665692509327,4.224116852098111,1.747071567324923,0.04755434782608696,0.11548913043478261,0.8369565217391305,29.342993303273314
mean5,12,update_linear_price_cal28,2026-01,722,1.4417479392065242,1.3736243447085967,3.225978397499964,1.5098715337044515,0.10664819944598337,0.09141274238227147,0.8019390581717452,21.3185554159208
mean5,12,update_linear_price_cal28,2026-02,672,1.826898945203957,1.831049664751126,4.230980758077166,1.8227482256567877,0.12053571428571429,0.1130952380952381,0.7663690476190477,25.065932470227466
mean5,12,update_linear_price_cal28,2026-03,437,1.8585449055126535,1.7927265372996677,4.43088695947395,1.924363273725639,0.10068649885583524,0.09153318077803203,0.8077803203661327,29.479242361372698
mean5,12,update_linear_local_raw,2025-11,720,1.7975320097805834,2.252754248124039,3.5067642949065267,1.342309771437128,0.20833333333333334,0.09861111111111111,0.6930555555555555,16.496765927635337
mean5,12,update_linear_local_raw,2025-12,736,2.031653004344353,2.31059582069817,4.2062738117711005,1.7527101879905358,0.11820652173913043,0.1358695652173913,0.7459239130434783,23.510408811769533
mean5,12,update_linear_local_raw,2026-01,722,1.4674760150692419,1.4282325361478756,3.28779093587988,1.5067194939906081,0.14265927977839335,0.10664819944598337,0.7506925207756233,19.708140251207542
mean5,12,update_linear_local_raw,2026-02,672,1.8816389834745992,1.9083345297543552,4.222613594376325,1.8549434371948434,0.15773809523809523,0.15178571428571427,0.6904761904761905,21.705586049007916
mean5,12,update_linear_local_raw,2026-03,437,1.9523493443163085,1.9909228567792565,4.4340364268653625,1.9137758318533604,0.18764302059496568,0.11441647597254005,0.6979405034324943,23.464021946996304
mean5,12,update_linear_local_cal28,2025-11,720,1.710704981740977,2.0730034992328465,3.512397851033494,1.3484064642491076,0.18472222222222223,0.09722222222222222,0.7180555555555556,17.570329977011554
