target,h,model,state,value,days,n,tail_loss,q10_loss,q50_loss,q90_loss,below10,above90,coverage80,width80
mean5,12,update_linear_price_raw,high_downside,0,59,967,1.6160493919736354,1.5951540768951715,3.651909614598924,1.6369447070520995,0.15822130299896586,0.11582213029989659,0.7259565667011375,20.248354628483902
mean5,12,update_linear_price_raw,high_downside,1,53,864,1.8663490680629407,1.895003724949154,4.187012655772697,1.8376944111767273,0.18287037037037038,0.13541666666666666,0.6817129629629629,21.645849665985537
mean5,12,update_linear_price_raw,high_dispersion,0,77,859,1.7327668167957966,1.7610769233346042,3.8884517457173984,1.704456710256988,0.1850989522700815,0.12339930151338765,0.6915017462165308,20.768114189700928
mean5,12,update_linear_price_raw,high_dispersion,1,78,972,1.7353895691535979,1.7150536353593362,3.918513870713502,1.7557255029478598,0.15637860082304528,0.12654320987654322,0.7170781893004116,21.031237601031215
mean5,12,update_linear_price_raw,low_usdt_volume,0,78,1379,1.7276299995342825,1.7333806348520564,3.9469963973927924,1.721879364216509,0.1798404641044235,0.11892675852066716,0.7012327773749093,20.891647461141417
mean5,12,update_linear_price_raw,low_usdt_volume,1,73,452,1.7540787333785632,1.7466046797626422,3.7744856192480265,1.7615527869944843,0.13938053097345132,0.14380530973451328,0.7168141592920354,20.957060150976606
mean5,12,update_linear_price_raw,negative_basis,0,78,757,1.8080326365677777,1.8554951685582823,3.982303752484601,1.7605701045772728,0.178335535006605,0.1334214002642008,0.6882430647291942,20.320084696381716
mean5,12,update_linear_price_raw,negative_basis,1,77,1074,1.6820899915857341,1.652874644427449,3.849507999323954,1.7113053387440196,0.16387337057728119,0.1191806331471136,0.7169459962756052,21.322038102415718
mean5,12,update_linear_price_cal28,high_downside,0,59,967,1.5873833654541047,1.5345534105914826,3.6144290232221428,1.6402133203167275,0.10444674250258532,0.09100310237849017,0.8045501551189245,23.691746190621522
mean5,12,update_linear_price_cal28,high_downside,1,53,864,1.789123278471157,1.761262153183281,4.182315055853165,1.8169844037590328,0.11689814814814815,0.1087962962962963,0.7743055555555556,25.704645805412657
mean5,12,update_linear_price_cal28,high_dispersion,0,77,859,1.6592582368592277,1.6404472504945256,3.8961768601282714,1.6780692232239298,0.11757857974388825,0.10360884749708964,0.7788125727590222,24.375462026574827
mean5,12,update_linear_price_cal28,high_dispersion,1,78,972,1.7031886847028008,1.6424891566023878,3.870223406237408,1.763888212803214,0.10390946502057613,0.09567901234567901,0.8004115226337448,24.876759939691123
mean5,12,update_linear_price_cal28,low_usdt_volume,0,78,1379,1.6708102259763056,1.6261969743629756,3.9194874131345343,1.7154234775896355,0.1116751269035533,0.09499637418419145,0.7933284989122552,24.61852589118097
mean5,12,update_linear_price_cal28,low_usdt_volume,1,73,452,1.718484348167862,1.6883142051897682,3.7692476349566877,1.7486544911459554,0.10619469026548672,0.11283185840707964,0.7809734513274337,24.711914465196873
mean5,12,update_linear_price_cal28,negative_basis,0,78,757,1.7383454212348868,1.7325503828615005,3.941887224969364,1.7441404596082726,0.12681638044914134,0.11096433289299867,0.76221928665786,24.08971768289911
mean5,12,update_linear_price_cal28,negative_basis,1,77,1074,1.643272572735931,1.5773771029480097,3.840469687533647,1.7091680425238525,0.09869646182495345,0.09124767225325885,0.8100558659217877,25.030555173419852
mean5,12,update_linear_local_raw,high_downside,0,59,967,1.6197557330216916,1.6025667589912838,3.6517222152259308,1.6369447070520995,0.15098241985522234,0.11582213029989659,0.733195449844881,20.69830507067729
mean5,12,update_linear_local_raw,high_downside,1,53,864,1.864411978482841,1.891129545788955,4.187314730952376,1.8376944111767275,0.16782407407407407,0.13541666666666666,0.6967592592592593,22.05318017800649
mean5,12,update_linear_local_raw,high_dispersion,0,77,859,1.7517412094107843,1.7990257085645804,3.8893390126115643,1.704456710256988,0.19557625145518046,0.12339930151338765,0.681024447031432,20.398857791927828
mean5,12,update_linear_local_raw,high_dispersion,1,78,972,1.720586465388155,1.6854474278284506,3.91781182904629,1.7557255029478598,0.12654320987654322,0.12654320987654322,0.7469135802469136,22.167273491642533
mean5,12,update_linear_local_raw,low_usdt_volume,0,78,1379,1.7277040229921392,1.7335286817677698,3.946811068348554,1.721879364216509,0.1653372008701958,0.11892675852066716,0.7157360406091371,21.34709946986363
mean5,12,update_linear_local_raw,low_usdt_volume,1,73,452,1.7580794149004213,1.7546060428063583,3.775227536313434,1.7615527869944843,0.13938053097345132,0.14380530973451328,0.7168141592920354,21.308757761505753
mean5,12,update_linear_local_raw,negative_basis,0,78,757,1.800589285094842,1.8406084656124109,3.9811180249206854,1.7605701045772728,0.17040951122853368,0.1334214002642008,0.6961690885072656,20.937994204665017
mean5,12,update_linear_local_raw,negative_basis,1,77,1074,1.6891151344733288,1.6669249302026379,3.850418030541312,1.7113053387440196,0.15083798882681565,0.1191806331471136,0.7299813780260708,21.619317564442387
mean5,12,update_linear_local_cal28,high_downside,0,59,967,1.5958768408364166,1.5515403613561056,3.6152774069408102,1.6402133203167275,0.10754912099276112,0.09100310237849017,0.8014477766287487,23.881854799134533
mean5,12,update_linear_local_cal28,high_downside,1,53,864,1.7950714795512466,1.7731585553434601,4.1830036142742335,1.8169844037590328,0.11921296296296297,0.1087962962962963,0.7719907407407407,25.83068878119046
mean5,12,update_linear_local_cal28,high_dispersion,0,77,859,1.670662168281934,1.663255113339938,3.8980075983493654,1.67806922322393,0.13969732246798602,0.10360884749708964,0.7566938300349243,23.732806073409304
mean5,12,update_linear_local_cal28,high_dispersion,1,78,972,1.7068475934844758,1.6498069741657375,3.8700615722866214,1.7638882128032143,0.08950617283950617,0.09567901234567901,0.8148148148148148,25.745872716721266
mean5,12,update_linear_local_cal28,low_usdt_volume,0,78,1379,1.6784070273186795,1.6413905770477228,3.920514911568746,1.715423477589636,0.11457577955039884,0.09499637418419145,0.7904278462654097,24.801039190978432
mean5,12,update_linear_local_cal28,low_usdt_volume,1,73,452,1.7248481697978604,1.7010418484497647,3.7692440535207954,1.7486544911459558,0.1084070796460177,0.11283185840707964,0.7787610619469026,24.802733746354868
mean5,12,update_linear_local_cal28,negative_basis,0,78,757,1.7397467620532556,1.7353530644982387,3.941578495352159,1.7441404596082726,0.12549537648612946,0.11096433289299867,0.7635402906208718,24.444307304205182
mean5,12,update_linear_local_cal28,negative_basis,1,77,1074,1.6547172854253047,1.600266528326757,3.8420050784572775,1.7091680425238525,0.1042830540037244,0.09124767225325885,0.8044692737430168,25.053191870045
mean5,12,update_linear_full_raw,high_downside,0,59,967,1.6316252222500667,1.6247494580258364,3.643207599094977,1.638500986474297,0.15511892450879008,0.11995863495346432,0.7249224405377456,20.48469733131486
mean5,12,update_linear_full_raw,high_downside,1,53,864,1.89139897087712,1.9293381957078113,4.189538843391822,1.8534597460464286,0.18171296296296297,0.1412037037037037,0.6770833333333334,21.281426419803097
mean5,12,update_linear_full_raw,high_dispersion,0,77,859,1.7675465859880533,1.822739083713025,3.895702975677555,1.7123540882630814,0.20023282887077998,0.12689173457508732,0.6728754365541327,20.229407480488785
mean5,12,update_linear_full_raw,high_dispersion,1,78,972,1.7424154150101938,1.7205226893961358,3.9056938815929603,1.764308140624252,0.1388888888888889,0.13271604938271606,0.7283950617283951,21.418512057974773
mean5,12,update_linear_full_raw,low_usdt_volume,0,78,1379,1.7483611979300517,1.766543977611028,3.94243481334044,1.7301784182490751,0.1754894851341552,0.12327773749093546,0.7012327773749093,20.891719762090407
mean5,12,update_linear_full_raw,low_usdt_volume,1,73,452,1.7720358601949222,1.7743734112321345,3.774614383670157,1.76969830915771,0.14380530973451328,0.1504424778761062,0.7057522123893806,20.765869898603253
mean5,12,update_linear_full_raw,negative_basis,0,78,757,1.8270516034263817,1.8855837534456303,3.9787339424763077,1.7685194534071322,0.17701453104359313,0.13738441215323646,0.6856010568031704,20.355822873370762
