target,h,model,state,value,days,n,tail_loss,q10_loss,q50_loss,q90_loss,below10,above90,coverage80,width80
median5,6,update_linear_price_raw,high_downside,0,59,967,1.2651037672635779,1.2618727765927362,2.7761136818201955,1.268334757934419,0.1468459152016546,0.10237849017580145,0.750775594622544,16.53909435702805
median5,6,update_linear_price_raw,high_downside,1,53,870,1.3198233718449406,1.2793972968545668,2.9478944970421925,1.3602494468353143,0.15057471264367817,0.10919540229885058,0.7402298850574712,17.002770631958498
median5,6,update_linear_price_raw,high_dispersion,0,77,862,1.3026133254033925,1.2710389502823474,2.866272008281404,1.3341877005244376,0.14269141531322505,0.11020881670533643,0.7470997679814385,16.714867599979613
median5,6,update_linear_price_raw,high_dispersion,1,78,975,1.2807681948217988,1.2694062031643751,2.84968581703412,1.2921301864792225,0.15384615384615385,0.10153846153846154,0.7446153846153846,16.797434689094967
median5,6,update_linear_price_raw,low_usdt_volume,0,78,1383,1.2948142593243825,1.2776655208435943,2.8668695108638205,1.3119629978051708,0.15835140997830802,0.1005061460592914,0.7411424439624006,16.75753137278839
median5,6,update_linear_price_raw,low_usdt_volume,1,73,454,1.2794571713730332,1.2473462729118023,2.8288317383748307,1.3115680698342638,0.11894273127753303,0.1211453744493392,0.7599118942731278,16.76222203630766
median5,6,update_linear_price_raw,negative_basis,0,78,760,1.3092914997488938,1.2936662884906565,2.9314413666739956,1.3249167110071314,0.12894736842105264,0.125,0.7460526315789474,16.572315921432747
median5,6,update_linear_price_raw,negative_basis,1,77,1077,1.278124546555078,1.2535935412959613,2.8052689917127203,1.3026555518141942,0.16248839368616527,0.09192200557103064,0.7455896007428041,16.89020853552565
median5,6,update_linear_price_cal28,high_downside,0,59,967,1.2468632036222818,1.2204906952978851,2.760325091760318,1.2732357119466782,0.11995863495346432,0.09203722854188211,0.7880041365046536,17.8780005684773
median5,6,update_linear_price_cal28,high_downside,1,53,870,1.3049918594410026,1.2415370724368506,2.9530789087053115,1.3684466464451543,0.10804597701149425,0.10919540229885058,0.7827586206896552,18.861413598622715
median5,6,update_linear_price_cal28,high_dispersion,0,77,862,1.2910246225443103,1.241851655196755,2.861321924603912,1.3401975898918652,0.10672853828306264,0.10324825986078887,0.7900232018561485,18.197151939079266
median5,6,update_linear_price_cal28,high_dispersion,1,78,975,1.2596886266494598,1.2203852600959102,2.8430292464587454,1.2989919932030096,0.12102564102564102,0.09743589743589744,0.7815384615384615,18.47334503490562
median5,6,update_linear_price_cal28,low_usdt_volume,0,78,1383,1.2714131701676104,1.2275080377038252,2.8584475131768152,1.3153183026313953,0.12075198843094721,0.09399855386840203,0.7852494577006508,18.337530234474148
median5,6,update_linear_price_cal28,low_usdt_volume,1,73,454,1.2834696503846117,1.2394452405919045,2.830793179696725,1.3274940601773189,0.0947136563876652,0.11894273127753303,0.7863436123348018,18.362669749430765
median5,6,update_linear_price_cal28,negative_basis,0,78,760,1.2991300910171941,1.274853160398614,2.9352681911788725,1.3234070216357743,0.09605263157894736,0.11973684210526316,0.7842105263157895,18.175539747968052
median5,6,update_linear_price_cal28,negative_basis,1,77,1077,1.256936644794198,1.1991303189138056,2.7925804911883985,1.3147429706745903,0.12720519962859797,0.08635097493036212,0.78644382544104,18.462438414172322
