comparison,offset_utc_hour_mod6,n,days,delta,relative_pct,ci_low,ci_high,p_centered_approx,block_days,B
primary_linear,0,306,77,-0.0562896915798259,-3.300007929669238,-0.1043002739676432,-0.010493745255811844,0.018,5,1999
primary_linear,1,306,77,-0.02754338021835091,-1.513806371002305,-0.0621187615260734,0.009622078475289226,0.1425,5,1999
primary_linear,2,306,77,-0.0641714770277581,-4.031523573835179,-0.10728403900426295,-0.024250229944389932,0.005,5,1999
primary_linear,3,306,77,-0.05009328030146712,-3.0912421696748935,-0.10076334945795075,-0.0030966274251548664,0.045,5,1999
primary_linear,4,307,78,-0.04638854897109031,-2.729143209310568,-0.09173544971698823,-0.00033437151631496894,0.045,5,1999
primary_linear,5,306,78,-0.016529410927232906,-1.0325571034948713,-0.05255121365026772,0.019855710761317084,0.371,5,1999
primary_history,0,306,77,-0.0630562032755498,-3.7114204779690967,-0.12127791227036042,-0.005290380633220922,0.031,5,1999
primary_history,1,306,77,-0.01603784483037398,-0.8759140022100645,-0.05669956401170408,0.027288213376430757,0.466,5,1999
primary_history,2,306,77,-0.051471149225718285,-3.208038704888452,-0.12453378939018643,0.020490080700175387,0.1545,5,1999
primary_history,3,306,77,-0.021671956061860457,-1.3143188152946668,-0.07938086430907629,0.02884390640817697,0.4475,5,1999
primary_history,4,307,78,-0.036551620274870765,-2.1380409971588366,-0.08976553069082628,0.014074490588158104,0.1645,5,1999
primary_history,5,306,78,0.002818800962634157,0.17398167893952918,-0.05593781291162302,0.058697327694252587,0.9215,5,1999
primary_local_info,0,306,77,0.0031831780285140328,0.1803278592707435,-0.00910052398045701,0.014804281716221765,0.609,5,1999
primary_local_info,1,306,77,-0.002921471869418223,-0.15842261003235297,-0.02330268306823855,0.016282835294266194,0.7715,5,1999
primary_local_info,2,306,77,-0.013196615686835294,-0.8033405757091666,-0.02748267798627619,0.0015939930590992382,0.076,5,1999
primary_local_info,3,306,77,-0.0045436751425027115,-0.2727230637469196,-0.01492639653769125,0.005469663595907357,0.38,5,1999
primary_local_info,4,307,78,0.0022488528916487054,0.12862457403202615,-0.014668731274143238,0.020903275304279066,0.8035,5,1999
primary_local_info,5,306,78,-0.00011612209100877197,-0.007180280117062832,-0.018175336896280026,0.018666486286334456,0.993,5,1999
offshore_info,0,306,77,0.004189963917072309,0.23779134450193962,-0.01174507164353153,0.019377534170995765,0.6175,5,1999
offshore_info,1,306,77,-0.006712934662121834,-0.36344642314234266,-0.03814138950448013,0.024251106259995943,0.6775,5,1999
offshore_info,2,306,77,-0.0033376839464877403,-0.20156142453812925,-0.02538839856557542,0.018883815506133196,0.7585,5,1999
offshore_info,3,306,77,-0.0036401791417539197,-0.217898651035659,-0.027394571521180026,0.019868131020328455,0.7785,5,1999
offshore_info,4,307,78,0.0071455841457527,0.4092225989693711,-0.015594138758590363,0.02752447431650756,0.5105,5,1999
offshore_info,5,306,78,-0.0003655976181160101,-0.022604698295398736,-0.02287200982160988,0.01939367915647109,0.9735,5,1999
calibration,0,306,77,0.033444798826722535,1.8627233111937234,0.0019958057040093255,0.0681755979206889,0.047,5,1999
calibration,1,306,77,0.08271550561255678,4.286360916932847,0.028863869073936326,0.1326125127608072,0.0025,5,1999
calibration,2,306,77,-0.014252579681261974,-0.8681801910311587,-0.05419793749339656,0.027822021482280253,0.4685,5,1999
calibration,3,306,77,0.02095763652061975,1.2389669252286695,-0.017376908351795096,0.06141363681925762,0.289,5,1999
calibration,4,307,78,0.03743230645667135,2.098731013794211,-0.004977493349305482,0.0841418573267377,0.103,5,1999
calibration,5,306,78,0.028110944209700728,1.7083908454422179,-0.018146864848838623,0.07923071708222511,0.253,5,1999
threshold,0,306,77,-0.045468545768561984,-2.6488095958382094,-0.08915987139652437,-0.00472733352025674,0.035,5,1999
threshold,1,306,77,-0.021229769909388536,-1.1627704346574221,-0.054638828167576925,0.013568679243971482,0.2315,5,1999
threshold,2,306,77,-0.06501913616607868,-4.086953552845101,-0.10908623452284673,-0.02446118024591131,0.005,5,1999
threshold,3,306,77,-0.04307943677015422,-2.6469632205167506,-0.09425539177487044,0.004084319309245269,0.082,5,1999
threshold,4,307,78,-0.04848666559239478,-2.8561056430064102,-0.08858006113793136,-0.007080557169709792,0.018,5,1999
threshold,5,306,78,-0.017722552513003375,-1.1079158808265632,-0.05207104793841112,0.01866201006401301,0.327,5,1999
qar,0,306,77,-0.04688615721525894,-2.7336513446970554,-0.09018057130421696,-0.0030441770796650162,0.04,5,1999
qar,1,306,77,-0.02977925527078928,-1.6387055970085798,-0.08509094938346828,0.021860250412455894,0.2895,5,1999
qar,2,306,77,-0.08658179996892078,-5.5171108614510045,-0.15593953274863107,-0.025866252099632146,0.008,5,1999
qar,3,306,77,-0.014186964058983453,-0.8564955820557945,-0.07582188283986277,0.04038750572090902,0.6425,5,1999
qar,4,307,78,-0.04623943170355547,-2.7201316687497648,-0.09019412635892479,-0.000727925171927219,0.0455,5,1999
qar,5,306,78,-0.029909563762187886,-1.8841349182947802,-0.08381590587414375,0.023405779768623996,0.2935,5,1999
recent_history,0,306,77,-0.01911993437868481,-1.0970096979047896,-0.09943289482726479,0.060505991499358334,0.65,5,1999
recent_history,1,306,77,-0.023488958002823506,-1.2881017264012462,-0.08033618495373447,0.034738060918486705,0.407,5,1999
recent_history,2,306,77,-0.04549744267215479,-2.8251970633331083,-0.09330085976903398,0.0020970025792666908,0.063,5,1999
recent_history,3,306,77,-0.011387806496311896,-0.6863449449527641,-0.07915872407512495,0.050429587928211915,0.733,5,1999
recent_history,4,307,78,0.0004616643539734033,0.026432205721360718,-0.04640242339519116,0.05134266800571849,0.983,5,1999
recent_history,5,306,78,0.022875326674593917,1.394643381529084,-0.038613297706878415,0.08457968295800156,0.4795,5,1999
refitting,0,306,77,0.024734349531992196,1.3843065888079997,-0.00444837370735829,0.05367572393827652,0.095,5,1999
refitting,1,306,77,0.03330736737045856,1.7713583329475882,0.0010986730130363369,0.0657113407612634,0.044,5,1999
refitting,2,306,77,-0.003866226751462972,-0.2340263217061633,-0.03877194168460444,0.02684853155639241,0.8165,5,1999
refitting,3,306,77,0.0012906435859790868,0.0771974080197326,-0.02957523309488869,0.031720776221851286,0.9255,5,1999
refitting,4,307,78,0.007673020006602321,0.4375059555068856,-0.00865259081513178,0.027673166874484643,0.4235,5,1999
refitting,5,306,78,0.04345283171977805,2.616371402914149,0.009082629757856578,0.0860480550721142,0.026,5,1999
linear_refitting,0,306,77,-0.004781415556450124,-0.2811005504881042,-0.011931000393304818,0.001760711154632862,0.161,5,1999
linear_refitting,1,306,77,0.011765522194863574,0.6424879795295154,-0.0027013967610847586,0.028341174638016824,0.1475,5,1999
linear_refitting,2,306,77,0.0013000185473506269,0.08160601323578688,-0.006936940190615908,0.009846326235804798,0.7635,5,1999
linear_refitting,3,306,77,-0.002179857213203901,-0.1346995682066201,-0.008425894135685555,0.004687713624690572,0.51,5,1999
linear_refitting,4,307,78,0.000752036228464585,0.044224424842668315,-0.008389095217040185,0.01068139023419238,0.8775,5,1999
linear_refitting,5,306,78,0.00241124140084106,0.1503985778681474,-0.004893535217693702,0.010373781729755295,0.5355,5,1999
window14,0,306,77,-0.015905106260074933,-0.9026561270895461,-0.04073387824499725,0.01221997645540459,0.232,5,1999
window14,1,306,77,0.019261890150727313,1.0428620909636235,-0.0034052567542587667,0.04475482515850526,0.1235,5,1999
window14,2,306,77,0.007374666759468897,0.44535323336912597,-0.018327337084941404,0.032803670120404055,0.5545,5,1999
window14,3,306,77,-0.0001524075098299985,-0.009123010024077987,-0.026962696730931966,0.02894972086340678,0.9915,5,1999
window14,4,307,78,-0.007436202052812904,-0.4258660829461017,-0.026213500703051416,0.011613295265729002,0.437,5,1999
window14,5,306,78,-0.00785436344198745,-0.48563094262883777,-0.03233413566455772,0.015391116092849613,0.5075,5,1999
window56,0,306,77,0.0028302680947867105,0.16062507192914813,-0.020433310879728207,0.022789131808283302,0.7915,5,1999
window56,1,306,77,0.010175542528006136,0.5509162119816713,-0.02128002956454395,0.04450684927925518,0.5565,5,1999
window56,2,306,77,-0.00738532732835212,-0.4459970209430665,-0.033093162272954516,0.015490875275885201,0.565,5,1999
window56,3,306,77,-0.013098772931984706,-0.7840836510937897,-0.03713017492015955,0.007125609397340177,0.233,5,1999
window56,4,307,78,-0.02169707595080823,-1.2425763421879479,-0.04485233343168442,-0.0020968232802274635,0.046,5,1999
window56,5,306,78,-0.012549132758345878,-0.7759059299486479,-0.03189653756101465,0.00515534387633404,0.178,5,1999
