h,q,block_days,reference,effect,estimate,low95,high95,p_centered,n_boot
1,0.0,5,mean5,ls_at_down_0pct,-1.0253899232665398,-2.3671991427236176,0.23222324549694934,0.10682046138415245,1993
1,0.0,5,mean5,ls_at_down_1pct,0.46642000777888715,-1.5867876339848308,2.8249635705672214,0.70160481444333,1993
1,0.0,5,median5,ls_at_down_0pct,-1.0398371829909088,-1.9908680812403405,0.11928952587715837,0.04964894684052156,1993
1,0.0,5,median5,ls_at_down_1pct,-0.6782350203762715,-2.437592843768533,1.1402924310072124,0.48044132397191575,1993
1,0.0,5,BTC,ls_at_down_0pct,-0.4824102718830643,-1.5346089531048397,0.8474443713222971,0.3936810431293882,1993
1,0.0,5,BTC,ls_at_down_1pct,-0.2902136695372336,-2.8962975353487064,2.061037644269736,0.8164493480441324,1993
1,0.0,5,ETH,ls_at_down_0pct,-1.4863461178848791,-2.7413893395829954,0.09006904840842155,0.04262788365095286,1993
1,0.0,5,ETH,ls_at_down_1pct,-0.670237190263808,-3.0728007809093616,1.6706190335319897,0.5727181544633901,1993
1,0.0,5,without_DOGE,ls_at_down_0pct,-0.983583882909572,-1.8042543455053226,0.11834922745671785,0.04914744232698094,1993
1,0.0,5,without_DOGE,ls_at_down_1pct,-0.45615830348225617,-2.083220573946101,1.2529612555096843,0.6133400200601805,1993
6,0.0,5,mean5,ls_at_down_0pct,0.3180318083956287,-1.0585607376250004,1.9349946687360826,0.6505781799899447,1988
6,0.0,5,mean5,ls_at_down_1pct,-0.9073626984270192,-2.564795688733406,0.8059606652527848,0.293614881850176,1988
6,0.0,5,median5,ls_at_down_0pct,-0.3538060514331575,-1.5134766160214221,1.4142435776249036,0.5887380593262946,1988
6,0.0,5,median5,ls_at_down_1pct,-0.2017208066323566,-1.5815838771943846,1.4341658289580843,0.7873303167420814,1988
6,0.0,5,BTC,ls_at_down_0pct,0.19096630937255896,-0.8756008696076203,1.9641122371177113,0.7817998994469583,1988
6,0.0,5,BTC,ls_at_down_1pct,0.8431432023006635,-0.8133803249299442,2.5221399676607597,0.2986425339366516,1988
6,0.0,5,ETH,ls_at_down_0pct,-0.6110592242254768,-2.230205685270419,1.6945289361365752,0.48768225238813473,1988
6,0.0,5,ETH,ls_at_down_1pct,-0.3616133475321972,-2.297023555175083,2.0522534384323436,0.7310206133735545,1988
6,0.0,5,without_DOGE,ls_at_down_0pct,-0.35081857429661917,-1.390505696826821,1.3497500244521825,0.5771744595274007,1988
6,0.0,5,without_DOGE,ls_at_down_1pct,0.20664352915785184,-1.1507851049597373,1.8399657902427273,0.7677224736048266,1988
12,0.0,5,mean5,ls_at_down_0pct,1.1539106006064492,-0.291055846122611,3.320314397633945,0.1790744466800805,1987
12,0.0,5,mean5,ls_at_down_1pct,1.0854345183466394,-1.3739798382262605,3.9829656193033194,0.42505030181086517,1987
12,0.0,5,median5,ls_at_down_0pct,0.6359975911309361,-0.4697075517112089,2.6490937515767645,0.38832997987927564,1987
12,0.0,5,median5,ls_at_down_1pct,-0.1462334024503259,-1.9685889844420243,2.312930824218508,0.9009054325955734,1987
12,0.0,5,BTC,ls_at_down_0pct,0.9473709933042633,-0.11766158821680141,2.8634464000173034,0.19517102615694165,1987
12,0.0,5,BTC,ls_at_down_1pct,1.0261127444612435,-0.2928334526763305,2.943476040486366,0.20271629778672032,1987
12,0.0,5,ETH,ls_at_down_0pct,0.43933908691434664,-1.0923029132044004,2.8823764989846548,0.6488933601609658,1987
12,0.0,5,ETH,ls_at_down_1pct,-1.1013044904881082,-3.9460761244775666,2.2139712055165353,0.47585513078470826,1987
12,0.0,5,without_DOGE,ls_at_down_0pct,0.6150472323330419,-0.37489836771299123,2.536067234316491,0.3611670020120724,1987
12,0.0,5,without_DOGE,ls_at_down_1pct,-0.14482811191073197,-1.7549097692698645,2.0727229625529686,0.885814889336016,1987
6,0.1,5,mean5,ls_at_down_0pct,-0.8379282382982023,-2.296467813002935,1.9311590640260892,0.4199395770392749,992
6,0.1,5,mean5,ls_at_down_1pct,-1.2001409235934577,-5.255383761217658,1.3030121930094807,0.5438066465256798,992
6,0.1,5,median5,ls_at_down_0pct,-0.5520791651536672,-2.4760989819474544,1.082975321187781,0.5166163141993958,992
6,0.1,5,median5,ls_at_down_1pct,-0.2636650762850281,-3.2546042086756346,0.9652631929136918,0.8126888217522659,992
6,0.1,5,BTC,ls_at_down_0pct,-0.5992654383210425,-1.801185954311884,1.3113814940106698,0.48036253776435045,992
6,0.1,5,BTC,ls_at_down_1pct,-0.5230906940599029,-2.9356227433571433,1.6037030476977843,0.6314199395770392,992
6,0.1,5,ETH,ls_at_down_0pct,-0.6818257365197979,-2.353079639941954,1.3225749921768668,0.4501510574018127,992
6,0.1,5,ETH,ls_at_down_1pct,-1.2374626286566965,-4.356695592894511,1.833035077470894,0.45820745216515607,992
6,0.1,5,without_DOGE,ls_at_down_0pct,-0.8108544324472926,-2.73078343520164,0.8255284517691713,0.3957703927492447,992
6,0.1,5,without_DOGE,ls_at_down_1pct,-0.6269920720209375,-2.6531143843786418,0.8169849468964208,0.5176233635448136,992
6,0.5,5,mean5,ls_at_down_0pct,0.36450943650449474,-0.998931208096523,2.1475548558861046,0.576,499
6,0.5,5,mean5,ls_at_down_1pct,-1.6328241481300303,-3.244826651477112,0.6514853611582322,0.108,499
6,0.5,5,median5,ls_at_down_0pct,-0.5507116118519976,-1.6833438210868688,1.7758688226775703,0.486,499
6,0.5,5,median5,ls_at_down_1pct,-0.5663768877348602,-2.3619188711270414,2.0547894020507864,0.568,499
6,0.5,5,BTC,ls_at_down_0pct,0.004918475977491121,-1.0184778543700794,1.9494257676146605,0.996,499
6,0.5,5,BTC,ls_at_down_1pct,0.5757351299990232,-1.0897902718425754,2.8297082547623456,0.61,499
6,0.5,5,ETH,ls_at_down_0pct,-0.7301402831470183,-2.5665426110283804,2.447613629657632,0.5,499
6,0.5,5,ETH,ls_at_down_1pct,-0.19354747114887383,-2.2498794104367246,2.8878544111740285,0.882,499
6,0.5,5,without_DOGE,ls_at_down_0pct,-0.528824062085322,-1.6554762675402843,1.5995837483833462,0.446,499
6,0.5,5,without_DOGE,ls_at_down_1pct,0.23489627949574488,-1.6774431801039058,2.058040733126196,0.836,499
1,0.1,5,mean5,ls_at_down_0pct,-1.5618980633328516,-3.173498623233222,0.2543647857979218,0.07028112449799197,497
1,0.1,5,mean5,ls_at_down_1pct,0.49608147251790013,-3.162897545893185,4.027660472669263,0.7630522088353414,497
1,0.1,5,median5,ls_at_down_0pct,-1.852023272309611,-3.198439197904173,0.08367334342841867,0.040160642570281124,497
1,0.1,5,median5,ls_at_down_1pct,-0.19635333572485814,-3.2718557274566127,2.160130517155085,0.8875502008032129,497
1,0.1,5,BTC,ls_at_down_0pct,-1.5825242972305946,-2.72976513525949,0.20187623692560136,0.04417670682730924,497
1,0.1,5,BTC,ls_at_down_1pct,-1.5097511005051645,-3.8423913835336765,1.2997964173408727,0.21084337349397592,497
1,0.1,5,ETH,ls_at_down_0pct,-1.970090507701073,-3.6347333936800124,0.09121869961237837,0.04216867469879518,497
1,0.1,5,ETH,ls_at_down_1pct,0.39227449085639643,-1.987027255380303,2.2234511532810566,0.7168674698795181,497
1,0.1,5,without_DOGE,ls_at_down_0pct,-1.6709036860668913,-2.6910962003872783,0.4479934024889754,0.05823293172690763,497
1,0.1,5,without_DOGE,ls_at_down_1pct,-0.0906141672608527,-3.488534067555604,2.0983025985559847,0.9357429718875502,497
12,0.1,5,mean5,ls_at_down_0pct,-0.27387627563331884,-1.5847970533282314,2.282469527320055,0.7364185110663984,496
12,0.1,5,mean5,ls_at_down_1pct,0.6428019573189003,-2.142027647574925,4.201367406699487,0.6720321931589537,496
12,0.1,5,median5,ls_at_down_0pct,0.0496886438221878,-1.4164377653521267,1.8103901011405745,0.9336016096579477,496
12,0.1,5,median5,ls_at_down_1pct,-1.5253683629187358,-3.7475766305943896,3.169260504660121,0.352112676056338,496
12,0.1,5,BTC,ls_at_down_0pct,-0.13780595239362062,-1.3615115108886453,2.0279289961212443,0.8631790744466801,496
12,0.1,5,BTC,ls_at_down_1pct,-0.85843300951855,-2.9141001755081035,3.4073692956080492,0.5975855130784709,496
12,0.1,5,ETH,ls_at_down_0pct,-0.002556005660538929,-1.5763853398463952,2.148538601897696,1.0,496
12,0.1,5,ETH,ls_at_down_1pct,-2.222349849584163,-3.878466665097587,2.9456335312572537,0.2515090543259557,496
12,0.1,5,without_DOGE,ls_at_down_0pct,-0.045603939376655966,-1.2085768496252323,2.080047237019974,0.9577464788732394,496
12,0.1,5,without_DOGE,ls_at_down_1pct,-2.0119845802360214,-3.4676344931306184,1.85575708926056,0.19114688128772636,496
