date,window_days,reference,n_before,n_after,estimate,regime
2025-06-17 00:00:00+00:00,14,ETH,14,13,0.13614493376710277,before
2025-06-17 00:00:00+00:00,14,XRP,14,13,-0.22703799241169548,before
2025-06-17 00:00:00+00:00,14,SOL,14,13,-0.08660067473362859,before
2025-06-18 00:00:00+00:00,14,ETH,14,13,0.13113894538246174,before
2025-06-18 00:00:00+00:00,14,XRP,14,13,-0.29442285552895703,before
2025-06-18 00:00:00+00:00,14,SOL,14,13,-0.14820697897729065,before
2025-06-19 00:00:00+00:00,14,ETH,14,13,0.21682040197266647,before
2025-06-19 00:00:00+00:00,14,XRP,14,13,-0.21712333461134478,before
2025-06-19 00:00:00+00:00,14,SOL,14,13,0.21028850780258496,before
2025-06-20 00:00:00+00:00,14,ETH,14,13,0.38810520359598155,before
2025-06-20 00:00:00+00:00,14,XRP,14,13,-0.09794090288568488,before
2025-06-20 00:00:00+00:00,14,SOL,14,13,0.20719084786786415,before
2025-06-21 00:00:00+00:00,14,ETH,14,13,0.41797377025837623,before
2025-06-21 00:00:00+00:00,14,XRP,14,13,-0.41458998316850115,before
2025-06-21 00:00:00+00:00,14,SOL,14,13,0.09410450360954792,before
2025-06-22 00:00:00+00:00,14,ETH,14,13,0.4326759091395704,before
2025-06-22 00:00:00+00:00,14,XRP,14,13,-0.23013326209978713,before
2025-06-22 00:00:00+00:00,14,SOL,14,13,0.2638376539000596,before
2025-06-23 00:00:00+00:00,14,ETH,14,13,0.5064669858622015,before
2025-06-23 00:00:00+00:00,14,XRP,14,13,-0.2324107485895139,before
2025-06-23 00:00:00+00:00,14,SOL,14,13,0.1876569450432784,before
2025-06-24 00:00:00+00:00,14,ETH,14,13,0.7700161781643053,before
2025-06-24 00:00:00+00:00,14,XRP,14,13,-0.23137061629875474,before
2025-06-24 00:00:00+00:00,14,SOL,14,13,0.24386835714618776,before
2025-06-25 00:00:00+00:00,14,ETH,14,13,0.8010033140420153,before
2025-06-25 00:00:00+00:00,14,XRP,14,13,-0.10211652393936872,before
2025-06-25 00:00:00+00:00,14,SOL,14,13,0.2597591703714264,before
2025-06-26 00:00:00+00:00,14,ETH,14,13,0.9659233992591318,before
2025-06-26 00:00:00+00:00,14,XRP,14,13,-0.1799754044309924,before
2025-06-26 00:00:00+00:00,14,SOL,14,13,0.29925792926085654,before
2025-06-27 00:00:00+00:00,14,ETH,14,13,0.8860555961345922,before
2025-06-27 00:00:00+00:00,14,XRP,14,13,-0.35682514049471903,before
2025-06-27 00:00:00+00:00,14,SOL,14,13,0.2788161275416108,before
2025-06-28 00:00:00+00:00,14,ETH,14,13,1.015066922350437,before
2025-06-28 00:00:00+00:00,14,XRP,14,13,-0.2389797123139264,before
2025-06-28 00:00:00+00:00,14,SOL,14,13,0.5583650158063376,before
2025-06-29 00:00:00+00:00,14,ETH,14,14,1.0576690933803263,before
2025-06-29 00:00:00+00:00,14,XRP,14,14,-0.3972947362971901,before
2025-06-29 00:00:00+00:00,14,SOL,14,14,0.3911163599235311,before
2025-06-30 00:00:00+00:00,14,ETH,14,14,0.6377794909976732,before
2025-06-30 00:00:00+00:00,14,XRP,14,14,-0.8435103264396527,before
2025-06-30 00:00:00+00:00,14,SOL,14,14,0.34729193068892084,before
2025-07-01 00:00:00+00:00,14,ETH,14,14,0.42929234157567375,before
2025-07-01 00:00:00+00:00,14,XRP,14,14,-0.6758978516411643,before
2025-07-01 00:00:00+00:00,14,SOL,14,14,0.22426863653330048,before
2025-07-02 00:00:00+00:00,14,ETH,13,14,0.4710123233838447,before
2025-07-02 00:00:00+00:00,14,XRP,13,14,-0.7196916693641647,before
2025-07-02 00:00:00+00:00,14,SOL,13,14,0.21034663004884352,before
2025-07-03 00:00:00+00:00,14,ETH,13,14,0.1502757628345168,before
2025-07-03 00:00:00+00:00,14,XRP,13,14,-0.6171930389533707,before
2025-07-03 00:00:00+00:00,14,SOL,13,14,-0.00628313007692527,before
2025-07-04 00:00:00+00:00,14,ETH,13,14,0.16750399896213208,before
2025-07-04 00:00:00+00:00,14,XRP,13,14,-0.5848749271585151,before
2025-07-04 00:00:00+00:00,14,SOL,13,14,-0.04386455064055966,before
2025-07-05 00:00:00+00:00,14,ETH,13,14,0.3929569870448314,before
2025-07-05 00:00:00+00:00,14,XRP,13,14,0.18641970537684716,before
2025-07-05 00:00:00+00:00,14,SOL,13,14,0.38680595326618583,before
2025-07-06 00:00:00+00:00,14,ETH,13,14,0.24427139520085944,before
2025-07-06 00:00:00+00:00,14,XRP,13,14,0.3108162875106698,before
2025-07-06 00:00:00+00:00,14,SOL,13,14,0.13036083144499444,before
2025-07-07 00:00:00+00:00,14,ETH,13,14,0.15209376238861677,before
2025-07-07 00:00:00+00:00,14,XRP,13,14,0.4196417118137219,before
2025-07-07 00:00:00+00:00,14,SOL,13,14,0.23231765124369835,before
2025-07-08 00:00:00+00:00,14,ETH,13,14,0.253072059280119,before
2025-07-08 00:00:00+00:00,14,XRP,13,14,0.6964520218230782,before
2025-07-08 00:00:00+00:00,14,SOL,13,14,0.4229828874035924,before
2025-07-09 00:00:00+00:00,14,ETH,13,14,0.18313530781049836,before
2025-07-09 00:00:00+00:00,14,XRP,13,14,0.6328780268213559,before
2025-07-09 00:00:00+00:00,14,SOL,13,14,0.4515689905119935,before
2025-07-10 00:00:00+00:00,14,ETH,13,14,-0.26479961295356863,before
2025-07-10 00:00:00+00:00,14,XRP,13,14,0.7468880650594643,before
2025-07-10 00:00:00+00:00,14,SOL,13,14,0.3684882562560081,before
2025-07-11 00:00:00+00:00,14,ETH,13,14,-0.3570027303493735,before
2025-07-11 00:00:00+00:00,14,XRP,13,14,0.9217212201884211,before
2025-07-11 00:00:00+00:00,14,SOL,13,14,0.43169703382584956,before
2025-07-12 00:00:00+00:00,14,ETH,13,14,-0.4342701121293624,before
