window_days,reference,spec,n,p,estimate,hac_se,hac_p,condition_number,low95,high95,p_centered,n_boot
14,ETH,controlled_prices,28,12,12.116659706830564,2.5071791831438017,1.34635692224846e-06,12.207353260540458,1.517786877274914,24.15743755328779,0.03953953953953954,1997
14,ETH,controlled_trend_prices,28,13,17.97774105321367,4.8737803653420375,0.00022543417277061574,29.383235283878626,-8.777738442898524,38.901224888727945,0.11389864525840442,1992
14,XRP,controlled_prices,28,12,9.27123959016707,0.8561360110306646,2.5042380736663575e-27,11.448353766166026,5.378821838598044,13.220550603691589,0.006006006006006006,1997
14,XRP,controlled_trend_prices,28,13,16.459419346959564,2.4011042983279216,7.134381809882788e-12,22.36670966506915,6.48976289329623,33.32758178690968,0.02960361264425489,1992
14,SOL,controlled_prices,28,12,8.080418805858567,1.3167565400640693,8.430202456245296e-10,10.193904367248004,0.12399554043648871,11.32249841720592,0.026526526526526525,1997
14,SOL,controlled_trend_prices,28,13,20.319120534701955,7.345758773884682,0.005673072807659514,31.73952207713332,-0.9584231428020865,40.433854412510364,0.05820371299548419,1992
28,ETH,controlled_prices,56,12,10.977598795001013,2.115273576636777,2.1065267018534253e-07,15.352353893217042,6.552486377724899,17.273726543802848,0.002,1999
28,ETH,controlled_trend_prices,56,13,11.049399260582035,2.392343491472498,3.862431668571498e-06,28.894292403726592,5.731467824156423,19.189554759728814,0.007,1999
28,XRP,controlled_prices,56,12,10.103454996966882,1.2462732895873334,5.191314592462658e-16,12.136529391713173,7.059138930238347,12.632155378977915,0.0005,1999
28,XRP,controlled_trend_prices,56,13,12.190143707906662,2.0058496520031044,1.2222539911681058e-09,23.141151712158578,6.377298374439382,19.152718778056805,0.0045,1999
28,SOL,controlled_prices,56,12,9.52785431252199,1.0802329296032205,1.1427074017859222e-18,10.205279469573417,7.210679541558454,12.51145939907422,0.0005,1999
28,SOL,controlled_trend_prices,56,13,8.881964572023332,2.6894617914927115,0.0009582492749412174,30.51673332836573,1.8028293452530033,16.27282560747619,0.0235,1999
42,ETH,controlled_prices,83,12,10.540974607399926,1.9975520862771339,1.313545309343263e-07,17.418675781397567,6.1335443688495825,15.327879018573489,0.001,1999
42,ETH,controlled_trend_prices,83,13,9.8098010127842,1.9547984670097356,5.212574862134529e-07,38.24056075487468,5.671439958369113,14.824372463789286,0.002,1999
42,XRP,controlled_prices,83,12,9.597062306998161,1.073659176393428,3.9395773627884365e-19,9.883739098754024,7.337897391161151,11.992391994457037,0.0005,1999
42,XRP,controlled_trend_prices,83,13,9.068429461452583,1.2281074391063946,1.5352439046053272e-13,29.706235853205932,5.938085589937747,12.445635253412345,0.0005,1999
42,SOL,controlled_prices,83,12,9.218730065031089,0.9964017477022259,2.202870647147566e-20,9.748672355438078,6.763463330333641,11.710283874484588,0.0005,1999
42,SOL,controlled_trend_prices,83,13,8.094522029091781,1.5429059204582198,1.5519794347654745e-07,36.67992676944528,4.937046020088337,11.76466999856914,0.001,1999
