model,primary_model,new_model,n,days,q10_prediction_sd,q90_prediction_sd,clean_tail,clean_q10,coverage80,width80,worst_tail_h1,sensitivity_h1,worst_tail_h6,sensitivity_h6,worst_tail_h24,sensitivity_h24,stress_excess
linear_clean_20260910_raw,False,False,1814,77,3.4962005849584137,2.5980425761155663,1.6790615802857605,1.641669993995815,0.7850055126791621,24.591863687535238,1.8610676134950137,2.822647399387128,2.0475049453069905,5.4826461498634815,2.1056549565719673,6.751322992581385,0.18200603320925332
linear_clean_20260910_cal,False,False,1814,77,3.1855802792024357,3.123072275847721,1.6842496131178504,1.6491297896243533,0.8081587651598677,25.76907060010988,1.86099984459943,2.822647399387128,2.03879300001629,5.4826461498634815,2.1029370019717484,6.751322992581385,0.17675023148157998
linear_clean_20260911_raw,False,False,1814,77,4.316228753086777,2.832183064195763,1.7236227677947293,1.6960510193170641,0.8081587651598677,26.243038031600143,1.9070685427589045,3.228839479181443,2.069306072757396,6.0023852727379,2.099290441160274,6.680072501843925,0.1834457749641749
linear_clean_20260911_cal,False,False,1814,77,3.7108279093748417,3.6522191453941497,1.712896642233014,1.6820320424142678,0.7965821389195149,25.845218071849622,1.9048325358089209,3.228839479181443,2.066520763514389,6.0023852727379,2.107349442587455,6.680072501843925,0.19193589357590665
linear_clean_20260912_raw,False,False,1814,77,3.865032421745584,3.1047521956614816,1.6705628607917757,1.6432446112565608,0.8015435501653804,25.380432456041774,1.8822277882703047,3.338649863313551,2.0660641759156855,5.96362745380717,2.130166255706625,7.236743963540192,0.2116649274785292
linear_clean_20260912_cal,False,False,1814,77,3.8830607891468976,3.6065593905250246,1.6722482413952438,1.642239455619658,0.7921719955898566,24.941207630948448,1.8860673575256333,3.338649863313551,2.0774273662082647,5.96362745380717,2.145497973002489,7.236743963540192,0.21381911613038976
linear_clean_ensemble_raw,True,False,1814,77,3.7671805991009073,2.6513763290082033,1.6786069381732618,1.645752880893459,0.7998897464167586,25.40511139172572,1.8675497878246765,3.1041378338781187,2.043905917686159,5.815792941906924,2.089261090500432,6.886622774561553,0.18894284965141447
linear_clean_ensemble_cal,True,False,1814,77,3.450338982545878,3.2786072413492855,1.6773390513946775,1.6448819971159414,0.7998897464167586,25.389850868637087,1.8694300469799965,3.1041378338781187,2.045167937769545,5.815792941906924,2.0964386780641258,6.886622774561553,0.192090995585319
linear_shuffled_20260910_raw,False,False,1814,77,3.2529687570203647,2.414066736401279,1.6709570781084655,1.6394883452428985,0.7932745314222712,24.96632075914343,1.8470665212276032,2.66377295417323,2.01732201207696,5.254956174974536,2.0862659514896027,6.486454499464445,0.1761094431191378
linear_shuffled_20260910_cal,False,False,1814,77,3.0302642227019247,2.6920548508936437,1.676970353502332,1.6440380148010307,0.8081587651598677,25.65467846149039,1.8520882513969994,2.66377295417323,2.0181477865588264,5.254956174974536,2.092152269879658,6.486454499464445,0.17511789789466722
