model,month,epochs,n_train,n_inner,n_valid,n_forecast,n_parameters,last_training_target,first_test_origin,family,seed,source,source_sha256
tcn_clean_20260910,2025-12,2,2816,2144,666,736,5923,2025-11-30 23:00:00+00:00,2025-12-01 00:00:00+00:00,tcn,20260910,option1_tick_learning_20260910/neural_training.csv,ad78423de90312764699ec147dd4bdc2e9844ff0acc3e2bec4471ba977330e9d
tcn_clean_20260911,2025-12,10,2816,2144,666,736,5923,2025-11-30 23:00:00+00:00,2025-12-01 00:00:00+00:00,tcn,20260911,option1_tick_learning_20260910/neural_training.csv,ad78423de90312764699ec147dd4bdc2e9844ff0acc3e2bec4471ba977330e9d
tcn_clean_20260912,2025-12,2,2816,2144,666,736,5923,2025-11-30 23:00:00+00:00,2025-12-01 00:00:00+00:00,tcn,20260912,option1_tick_learning_20260910/neural_training.csv,ad78423de90312764699ec147dd4bdc2e9844ff0acc3e2bec4471ba977330e9d
tcn_clean_20260910,2026-01,1,3557,2888,663,699,5923,2025-12-31 23:00:00+00:00,2026-01-02 21:00:00+00:00,tcn,20260910,option1_tick_learning_20260910/neural_training.csv,ad78423de90312764699ec147dd4bdc2e9844ff0acc3e2bec4471ba977330e9d
tcn_clean_20260911,2026-01,4,3557,2888,663,699,5923,2025-12-31 23:00:00+00:00,2026-01-02 21:00:00+00:00,tcn,20260911,option1_tick_learning_20260910/neural_training.csv,ad78423de90312764699ec147dd4bdc2e9844ff0acc3e2bec4471ba977330e9d
tcn_clean_20260912,2026-01,1,3557,2888,663,699,5923,2025-12-31 23:00:00+00:00,2026-01-02 21:00:00+00:00,tcn,20260912,option1_tick_learning_20260910/neural_training.csv,ad78423de90312764699ec147dd4bdc2e9844ff0acc3e2bec4471ba977330e9d
tcn_clean_20260910,2026-02,2,4251,3579,666,672,5923,2026-01-31 23:00:00+00:00,2026-02-01 00:00:00+00:00,tcn,20260910,option1_tick_learning_20260910/neural_training.csv,ad78423de90312764699ec147dd4bdc2e9844ff0acc3e2bec4471ba977330e9d
tcn_clean_20260911,2026-02,2,4251,3579,666,672,5923,2026-01-31 23:00:00+00:00,2026-02-01 00:00:00+00:00,tcn,20260911,option1_tick_learning_20260910/neural_training.csv,ad78423de90312764699ec147dd4bdc2e9844ff0acc3e2bec4471ba977330e9d
tcn_clean_20260912,2026-02,2,4251,3579,666,672,5923,2026-01-31 23:00:00+00:00,2026-02-01 00:00:00+00:00,tcn,20260912,option1_tick_learning_20260910/neural_training.csv,ad78423de90312764699ec147dd4bdc2e9844ff0acc3e2bec4471ba977330e9d
tcn_clean_20260910,2026-03,13,4923,4251,666,443,5923,2026-02-28 23:00:00+00:00,2026-03-01 00:00:00+00:00,tcn,20260910,option1_tick_learning_20260910/neural_training.csv,ad78423de90312764699ec147dd4bdc2e9844ff0acc3e2bec4471ba977330e9d
tcn_clean_20260911,2026-03,10,4923,4251,666,443,5923,2026-02-28 23:00:00+00:00,2026-03-01 00:00:00+00:00,tcn,20260911,option1_tick_learning_20260910/neural_training.csv,ad78423de90312764699ec147dd4bdc2e9844ff0acc3e2bec4471ba977330e9d
tcn_clean_20260912,2026-03,7,4923,4251,666,443,5923,2026-02-28 23:00:00+00:00,2026-03-01 00:00:00+00:00,tcn,20260912,option1_tick_learning_20260910/neural_training.csv,ad78423de90312764699ec147dd4bdc2e9844ff0acc3e2bec4471ba977330e9d
gru_clean_20260910,2025-12,1,2816,2144,666,736,5673,2025-11-30 23:00:00+00:00,2025-12-01 00:00:00+00:00,gru,20260910,option1_model_followup_20260910/neural_training.csv,7e47e2e87504039cd78bd0bd4bfecbda91632fc3c1ed4a16e092458689bbd9fa
gru_clean_20260911,2025-12,1,2816,2144,666,736,5673,2025-11-30 23:00:00+00:00,2025-12-01 00:00:00+00:00,gru,20260911,option1_model_followup_20260910/neural_training.csv,7e47e2e87504039cd78bd0bd4bfecbda91632fc3c1ed4a16e092458689bbd9fa
gru_clean_20260912,2025-12,2,2816,2144,666,736,5673,2025-11-30 23:00:00+00:00,2025-12-01 00:00:00+00:00,gru,20260912,option1_model_followup_20260910/neural_training.csv,7e47e2e87504039cd78bd0bd4bfecbda91632fc3c1ed4a16e092458689bbd9fa
gru_clean_20260910,2026-01,3,3557,2888,663,699,5673,2025-12-31 23:00:00+00:00,2026-01-02 21:00:00+00:00,gru,20260910,option1_model_followup_20260910/neural_training.csv,7e47e2e87504039cd78bd0bd4bfecbda91632fc3c1ed4a16e092458689bbd9fa
gru_clean_20260911,2026-01,1,3557,2888,663,699,5673,2025-12-31 23:00:00+00:00,2026-01-02 21:00:00+00:00,gru,20260911,option1_model_followup_20260910/neural_training.csv,7e47e2e87504039cd78bd0bd4bfecbda91632fc3c1ed4a16e092458689bbd9fa
gru_clean_20260912,2026-01,3,3557,2888,663,699,5673,2025-12-31 23:00:00+00:00,2026-01-02 21:00:00+00:00,gru,20260912,option1_model_followup_20260910/neural_training.csv,7e47e2e87504039cd78bd0bd4bfecbda91632fc3c1ed4a16e092458689bbd9fa
gru_clean_20260910,2026-02,2,4251,3579,666,672,5673,2026-01-31 23:00:00+00:00,2026-02-01 00:00:00+00:00,gru,20260910,option1_model_followup_20260910/neural_training.csv,7e47e2e87504039cd78bd0bd4bfecbda91632fc3c1ed4a16e092458689bbd9fa
