model,family,placement,aggregation,seed,month,epochs,n_train,n_forecast,n_parameters,last_training_target,first_test_origin,initial_parameter_hash,candidate_hash,batch_order_hash,final_torch_rng_hash,optimizer_steps
tcn_tick_mean_20260910,tcn,tick,mean,20260910,2025-12,2,2816,736,5923,2025-11-30 23:00:00+00:00,2025-12-01 00:00:00+00:00,5e80b874aee690b9f3e1aaa17c7045a9a0bb2abb568668879c60220fad88e93f,547620f03f1fb565a2fd54c2488ae0ffe8819e7b915dc473a90ec8429d66cc88,fb6591ec8489d9b7bf3ee890dc64f51f3222444e26ccd8c2e20ae1a4e9a3fb97,0526bbfd7feda22281aa975fe38b6a4743a50a1ab92d6d127c1e7321c8486d35,44
tcn_tick_max_20260910,tcn,tick,max,20260910,2025-12,2,2816,736,5923,2025-11-30 23:00:00+00:00,2025-12-01 00:00:00+00:00,5e80b874aee690b9f3e1aaa17c7045a9a0bb2abb568668879c60220fad88e93f,547620f03f1fb565a2fd54c2488ae0ffe8819e7b915dc473a90ec8429d66cc88,fb6591ec8489d9b7bf3ee890dc64f51f3222444e26ccd8c2e20ae1a4e9a3fb97,0526bbfd7feda22281aa975fe38b6a4743a50a1ab92d6d127c1e7321c8486d35,44
tcn_shuffled_mean_20260910,tcn,shuffled,mean,20260910,2025-12,2,2816,736,5923,2025-11-30 23:00:00+00:00,2025-12-01 00:00:00+00:00,5e80b874aee690b9f3e1aaa17c7045a9a0bb2abb568668879c60220fad88e93f,f8eb554c2ccaae435e8f2d91250d6b8886a4ecf8ae57423fda939b7fbcbc7b7a,fb6591ec8489d9b7bf3ee890dc64f51f3222444e26ccd8c2e20ae1a4e9a3fb97,0526bbfd7feda22281aa975fe38b6a4743a50a1ab92d6d127c1e7321c8486d35,44
tcn_shuffled_max_20260910,tcn,shuffled,max,20260910,2025-12,2,2816,736,5923,2025-11-30 23:00:00+00:00,2025-12-01 00:00:00+00:00,5e80b874aee690b9f3e1aaa17c7045a9a0bb2abb568668879c60220fad88e93f,f8eb554c2ccaae435e8f2d91250d6b8886a4ecf8ae57423fda939b7fbcbc7b7a,fb6591ec8489d9b7bf3ee890dc64f51f3222444e26ccd8c2e20ae1a4e9a3fb97,0526bbfd7feda22281aa975fe38b6a4743a50a1ab92d6d127c1e7321c8486d35,44
tcn_tick_mean_20260911,tcn,tick,mean,20260911,2025-12,10,2816,736,5923,2025-11-30 23:00:00+00:00,2025-12-01 00:00:00+00:00,8f6243863e75e1cad8d3a17d19626a9e81d58caed9b20fbb078555ba41633d04,547620f03f1fb565a2fd54c2488ae0ffe8819e7b915dc473a90ec8429d66cc88,16a1797b4d72f6e122dcdf471771950a8a5c0cc7105cc0aa82a56f90df2c2122,5b0ab4435bd346eb73bc08b1fc078eb8a5372a4554282c392871f6930de3084f,220
tcn_tick_max_20260911,tcn,tick,max,20260911,2025-12,10,2816,736,5923,2025-11-30 23:00:00+00:00,2025-12-01 00:00:00+00:00,8f6243863e75e1cad8d3a17d19626a9e81d58caed9b20fbb078555ba41633d04,547620f03f1fb565a2fd54c2488ae0ffe8819e7b915dc473a90ec8429d66cc88,16a1797b4d72f6e122dcdf471771950a8a5c0cc7105cc0aa82a56f90df2c2122,5b0ab4435bd346eb73bc08b1fc078eb8a5372a4554282c392871f6930de3084f,220
tcn_shuffled_mean_20260911,tcn,shuffled,mean,20260911,2025-12,10,2816,736,5923,2025-11-30 23:00:00+00:00,2025-12-01 00:00:00+00:00,8f6243863e75e1cad8d3a17d19626a9e81d58caed9b20fbb078555ba41633d04,4b3ef820a909c42a6ea453b6dd4b1771c60952cfa5b491422a9fa893261d2f49,16a1797b4d72f6e122dcdf471771950a8a5c0cc7105cc0aa82a56f90df2c2122,5b0ab4435bd346eb73bc08b1fc078eb8a5372a4554282c392871f6930de3084f,220
tcn_shuffled_max_20260911,tcn,shuffled,max,20260911,2025-12,10,2816,736,5923,2025-11-30 23:00:00+00:00,2025-12-01 00:00:00+00:00,8f6243863e75e1cad8d3a17d19626a9e81d58caed9b20fbb078555ba41633d04,4b3ef820a909c42a6ea453b6dd4b1771c60952cfa5b491422a9fa893261d2f49,16a1797b4d72f6e122dcdf471771950a8a5c0cc7105cc0aa82a56f90df2c2122,5b0ab4435bd346eb73bc08b1fc078eb8a5372a4554282c392871f6930de3084f,220
tcn_tick_mean_20260912,tcn,tick,mean,20260912,2025-12,2,2816,736,5923,2025-11-30 23:00:00+00:00,2025-12-01 00:00:00+00:00,5fa3321aa50d1e2f3243efa711eddff73e69d0e2b6ab63aaa38f0349f1023259,547620f03f1fb565a2fd54c2488ae0ffe8819e7b915dc473a90ec8429d66cc88,6edef99104d89253709b139ebe7cceba90c8e9ab719431fa73e16a634d7c0d00,86e51a3d4151ac3190b0636c916942c5039e3bc2a50f0e01dc09677b8e724b9c,44
tcn_tick_max_20260912,tcn,tick,max,20260912,2025-12,2,2816,736,5923,2025-11-30 23:00:00+00:00,2025-12-01 00:00:00+00:00,5fa3321aa50d1e2f3243efa711eddff73e69d0e2b6ab63aaa38f0349f1023259,547620f03f1fb565a2fd54c2488ae0ffe8819e7b915dc473a90ec8429d66cc88,6edef99104d89253709b139ebe7cceba90c8e9ab719431fa73e16a634d7c0d00,86e51a3d4151ac3190b0636c916942c5039e3bc2a50f0e01dc09677b8e724b9c,44
tcn_shuffled_mean_20260912,tcn,shuffled,mean,20260912,2025-12,2,2816,736,5923,2025-11-30 23:00:00+00:00,2025-12-01 00:00:00+00:00,5fa3321aa50d1e2f3243efa711eddff73e69d0e2b6ab63aaa38f0349f1023259,39b72841a87b450466899592501cf8a1a43548b744fc105efb48dddc93b053b0,6edef99104d89253709b139ebe7cceba90c8e9ab719431fa73e16a634d7c0d00,86e51a3d4151ac3190b0636c916942c5039e3bc2a50f0e01dc09677b8e724b9c,44
tcn_shuffled_max_20260912,tcn,shuffled,max,20260912,2025-12,2,2816,736,5923,2025-11-30 23:00:00+00:00,2025-12-01 00:00:00+00:00,5fa3321aa50d1e2f3243efa711eddff73e69d0e2b6ab63aaa38f0349f1023259,39b72841a87b450466899592501cf8a1a43548b744fc105efb48dddc93b053b0,6edef99104d89253709b139ebe7cceba90c8e9ab719431fa73e16a634d7c0d00,86e51a3d4151ac3190b0636c916942c5039e3bc2a50f0e01dc09677b8e724b9c,44
gru_tick_mean_20260910,gru,tick,mean,20260910,2025-12,1,2816,736,5673,2025-11-30 23:00:00+00:00,2025-12-01 00:00:00+00:00,984412c362527eb13d5872469a36e85a6937c64285ea4b6cb4f928d3aecf31a8,547620f03f1fb565a2fd54c2488ae0ffe8819e7b915dc473a90ec8429d66cc88,90e735d2ca5a1db135547c159e8c9dfb47609cbd385afd257d261a1a9feb585d,d175e5a494d21803e1746967599681d68315144a02eee7aae234d7a90d15c95f,22
gru_tick_max_20260910,gru,tick,max,20260910,2025-12,1,2816,736,5673,2025-11-30 23:00:00+00:00,2025-12-01 00:00:00+00:00,984412c362527eb13d5872469a36e85a6937c64285ea4b6cb4f928d3aecf31a8,547620f03f1fb565a2fd54c2488ae0ffe8819e7b915dc473a90ec8429d66cc88,90e735d2ca5a1db135547c159e8c9dfb47609cbd385afd257d261a1a9feb585d,d175e5a494d21803e1746967599681d68315144a02eee7aae234d7a90d15c95f,22
gru_shuffled_mean_20260910,gru,shuffled,mean,20260910,2025-12,1,2816,736,5673,2025-11-30 23:00:00+00:00,2025-12-01 00:00:00+00:00,984412c362527eb13d5872469a36e85a6937c64285ea4b6cb4f928d3aecf31a8,f8eb554c2ccaae435e8f2d91250d6b8886a4ecf8ae57423fda939b7fbcbc7b7a,90e735d2ca5a1db135547c159e8c9dfb47609cbd385afd257d261a1a9feb585d,d175e5a494d21803e1746967599681d68315144a02eee7aae234d7a90d15c95f,22
gru_shuffled_max_20260910,gru,shuffled,max,20260910,2025-12,1,2816,736,5673,2025-11-30 23:00:00+00:00,2025-12-01 00:00:00+00:00,984412c362527eb13d5872469a36e85a6937c64285ea4b6cb4f928d3aecf31a8,f8eb554c2ccaae435e8f2d91250d6b8886a4ecf8ae57423fda939b7fbcbc7b7a,90e735d2ca5a1db135547c159e8c9dfb47609cbd385afd257d261a1a9feb585d,d175e5a494d21803e1746967599681d68315144a02eee7aae234d7a90d15c95f,22
gru_tick_mean_20260911,gru,tick,mean,20260911,2025-12,1,2816,736,5673,2025-11-30 23:00:00+00:00,2025-12-01 00:00:00+00:00,ab2a7bf4ba672c9c426aa951a872a7d11420134c539ccc56038b1425e7a2fd37,547620f03f1fb565a2fd54c2488ae0ffe8819e7b915dc473a90ec8429d66cc88,c77b906049aab35a80b3d0ce72d2471c4f91cfd4011afff0d39e4151d055e110,1edd4fa13b04d22f06cf78bf98788131cf6ead622bfeee0631ab365a536ac99b,22
gru_tick_max_20260911,gru,tick,max,20260911,2025-12,1,2816,736,5673,2025-11-30 23:00:00+00:00,2025-12-01 00:00:00+00:00,ab2a7bf4ba672c9c426aa951a872a7d11420134c539ccc56038b1425e7a2fd37,547620f03f1fb565a2fd54c2488ae0ffe8819e7b915dc473a90ec8429d66cc88,c77b906049aab35a80b3d0ce72d2471c4f91cfd4011afff0d39e4151d055e110,1edd4fa13b04d22f06cf78bf98788131cf6ead622bfeee0631ab365a536ac99b,22
gru_shuffled_mean_20260911,gru,shuffled,mean,20260911,2025-12,1,2816,736,5673,2025-11-30 23:00:00+00:00,2025-12-01 00:00:00+00:00,ab2a7bf4ba672c9c426aa951a872a7d11420134c539ccc56038b1425e7a2fd37,4b3ef820a909c42a6ea453b6dd4b1771c60952cfa5b491422a9fa893261d2f49,c77b906049aab35a80b3d0ce72d2471c4f91cfd4011afff0d39e4151d055e110,1edd4fa13b04d22f06cf78bf98788131cf6ead622bfeee0631ab365a536ac99b,22
gru_shuffled_max_20260911,gru,shuffled,max,20260911,2025-12,1,2816,736,5673,2025-11-30 23:00:00+00:00,2025-12-01 00:00:00+00:00,ab2a7bf4ba672c9c426aa951a872a7d11420134c539ccc56038b1425e7a2fd37,4b3ef820a909c42a6ea453b6dd4b1771c60952cfa5b491422a9fa893261d2f49,c77b906049aab35a80b3d0ce72d2471c4f91cfd4011afff0d39e4151d055e110,1edd4fa13b04d22f06cf78bf98788131cf6ead622bfeee0631ab365a536ac99b,22
