model,family,placement,aggregation,month,seed,examples_over_epochs,clean_argmax_fraction,donor_BTC_argmax_fraction,donor_ETH_argmax_fraction,donor_XRP_argmax_fraction,donor_SOL_argmax_fraction,donor_DOGE_argmax_fraction,note
tcn_tick_mean_20260910,tcn,tick,mean,2025-12,20260910,5632,0.022727272727272728,0.0,0.0026633522727272725,0.009055397727272728,0.09357244318181818,0.8719815340909091,Donor identity; shuffled candidates may be applied to a different recipient; mean learning does not select this candidate
tcn_tick_max_20260910,tcn,tick,max,2025-12,20260910,5632,0.022727272727272728,0.0,0.04137073863636364,0.09783380681818182,0.298828125,0.5392400568181818,Donor identity; shuffled candidates may be applied to a different recipient; mean learning does not select this candidate
tcn_shuffled_mean_20260910,tcn,shuffled,mean,2025-12,20260910,5632,0.022727272727272728,0.0,0.005149147727272727,0.012251420454545454,0.036931818181818184,0.9229403409090909,Donor identity; shuffled candidates may be applied to a different recipient; mean learning does not select this candidate
tcn_shuffled_max_20260910,tcn,shuffled,max,2025-12,20260910,5632,0.022727272727272728,0.0007102272727272727,0.04527698863636364,0.06551846590909091,0.10511363636363637,0.7606534090909091,Donor identity; shuffled candidates may be applied to a different recipient; mean learning does not select this candidate
tcn_tick_mean_20260911,tcn,tick,mean,2025-12,20260911,28160,0.004545454545454545,0.0,0.06310369318181819,0.07663352272727272,0.1568536931818182,0.6988636363636364,Donor identity; shuffled candidates may be applied to a different recipient; mean learning does not select this candidate
tcn_tick_max_20260911,tcn,tick,max,2025-12,20260911,28160,0.004545454545454545,0.00014204545454545454,0.11921164772727273,0.11875,0.25166903409090907,0.5056818181818182,Donor identity; shuffled candidates may be applied to a different recipient; mean learning does not select this candidate
tcn_shuffled_mean_20260911,tcn,shuffled,mean,2025-12,20260911,28160,0.004545454545454545,0.0,0.01892755681818182,0.03526278409090909,0.06960227272727272,0.8716619318181819,Donor identity; shuffled candidates may be applied to a different recipient; mean learning does not select this candidate
tcn_shuffled_max_20260911,tcn,shuffled,max,2025-12,20260911,28160,0.004545454545454545,0.0007457386363636364,0.057315340909090906,0.08167613636363637,0.11910511363636364,0.7366122159090909,Donor identity; shuffled candidates may be applied to a different recipient; mean learning does not select this candidate
tcn_tick_mean_20260912,tcn,tick,mean,2025-12,20260912,5632,0.022727272727272728,0.0,0.018110795454545456,0.07865767045454546,0.10582386363636363,0.7746803977272727,Donor identity; shuffled candidates may be applied to a different recipient; mean learning does not select this candidate
tcn_tick_max_20260912,tcn,tick,max,2025-12,20260912,5632,0.022727272727272728,0.0,0.09002130681818182,0.16477272727272727,0.11115056818181818,0.611328125,Donor identity; shuffled candidates may be applied to a different recipient; mean learning does not select this candidate
tcn_shuffled_mean_20260912,tcn,shuffled,mean,2025-12,20260912,5632,0.022727272727272728,0.0,0.011896306818181818,0.026455965909090908,0.05983664772727273,0.8790838068181818,Donor identity; shuffled candidates may be applied to a different recipient; mean learning does not select this candidate
tcn_shuffled_max_20260912,tcn,shuffled,max,2025-12,20260912,5632,0.022727272727272728,0.0001775568181818182,0.04225852272727273,0.07013494318181818,0.111328125,0.7533735795454546,Donor identity; shuffled candidates may be applied to a different recipient; mean learning does not select this candidate
gru_tick_mean_20260910,gru,tick,mean,2025-12,20260910,2816,0.045454545454545456,0.0,0.006747159090909091,0.013849431818181818,0.35014204545454547,0.5838068181818182,Donor identity; shuffled candidates may be applied to a different recipient; mean learning does not select this candidate
gru_tick_max_20260910,gru,tick,max,2025-12,20260910,2816,0.045454545454545456,0.0,0.008167613636363636,0.022727272727272728,0.4968039772727273,0.4268465909090909,Donor identity; shuffled candidates may be applied to a different recipient; mean learning does not select this candidate
gru_shuffled_mean_20260910,gru,shuffled,mean,2025-12,20260910,2816,0.045454545454545456,0.0,0.020596590909090908,0.046875,0.09197443181818182,0.7950994318181818,Donor identity; shuffled candidates may be applied to a different recipient; mean learning does not select this candidate
