model,min_ncal,strictly_past
gru_clean_20260910,619,True
gru_clean_20260911,619,True
gru_clean_20260912,619,True
gru_clean_ensemble,619,True
gru_shuffled_20260910,619,True
gru_shuffled_20260911,619,True
gru_shuffled_20260912,619,True
gru_shuffled_ensemble,619,True
gru_tick_20260910,619,True
gru_tick_20260911,619,True
gru_tick_20260912,619,True
gru_tick_ensemble,619,True
mlp_clean_20260910,619,True
mlp_clean_20260911,619,True
mlp_clean_20260912,619,True
mlp_clean_ensemble,619,True
mlp_shuffled_20260910,619,True
mlp_shuffled_20260911,619,True
mlp_shuffled_20260912,619,True
mlp_shuffled_ensemble,619,True
mlp_tick_20260910,619,True
mlp_tick_20260911,619,True
mlp_tick_20260912,619,True
mlp_tick_ensemble,619,True
tcn_hard_shuffled_20260910,619,True
tcn_hard_shuffled_20260911,619,True
tcn_hard_shuffled_20260912,619,True
tcn_hard_shuffled_ensemble,619,True
tcn_hard_tick_20260910,619,True
tcn_hard_tick_20260911,619,True
tcn_hard_tick_20260912,619,True
tcn_hard_tick_ensemble,619,True
