model,month,n,clean_tail,clean_q10,coverage80,width80,worst_tail_h1,sensitivity_h1,worst_tail_h6,sensitivity_h6,worst_tail_h24,sensitivity_h24
linear_clean_20260910_raw,2026-01,699,1.3997536209976427,1.341818961526842,0.8097281831187411,21.36312066673039,1.5726341089326032,2.7271299805593423,1.7295906561246859,4.875885337207451,1.7662450936668812,5.720434920811687
linear_clean_20260910_raw,2026-02,672,1.860518634248808,1.8374008570952474,0.7604166666666666,26.242423901245708,2.065915136075131,3.023821315595082,2.2856338154538225,6.186775806404295,2.343848330416892,7.579005604698544
linear_clean_20260910_raw,2026-03,443,1.8445178405097475,1.81788834996194,0.7832957110609481,27.182642260738742,2.005441167705592,2.6681954898360623,2.1879101087375994,5.371925334629033,2.279879667512974,7.122402105051561
linear_clean_20260910_cal,2026-01,699,1.4122382375592186,1.3566245062583784,0.8397711015736766,22.606309831599532,1.5758784953940546,2.7271299805593423,1.7246941115088155,4.875885337207451,1.761246123149582,5.720434920811687
linear_clean_20260910_cal,2026-02,672,1.8513759002430508,1.8414178499787384,0.7857142857142857,27.095759216130286,2.0541597751275296,3.023821315595082,2.269639975126929,6.186775806404295,2.33965210981649,7.579005604698544
linear_clean_20260910_cal,2026-03,443,1.8599315241050935,1.8189799397703341,0.7923250564334086,28.747027772170878,2.0178764806709317,2.6681954898360623,2.184224051466348,5.371925334629033,2.2830033040598483,7.122402105051561
linear_clean_20260911_raw,2026-01,699,1.4028319559747284,1.350414320354313,0.8426323319027181,22.723064833103503,1.5766170701405307,3.043880341902311,1.7247707817413083,5.338530613458548,1.7505191292540658,5.8959580334129935
linear_clean_20260911_raw,2026-02,672,1.9774565515780573,1.965408155885625,0.7767857142857143,28.230089029563324,2.1494050550502672,3.1167371911661967,2.3136523300443534,5.878761798143387,2.374934828688046,7.428462736663365
linear_clean_20260911_raw,2026-03,443,1.8447434783134304,1.8328276712378104,0.801354401805869,28.782909352408037,2.060873154723797,3.6907337782883483,2.242284590868933,7.237395163852528,2.231475810469025,6.782053936684912
linear_clean_20260911_cal,2026-01,699,1.403918448484628,1.349644946170327,0.8240343347639485,22.28796943769362,1.5811643614356268,3.043880341902311,1.7347090366957525,5.338530613458548,1.7585692059594447,5.8959580334129935
linear_clean_20260911_cal,2026-02,672,1.8954106834174829,1.860624519800493,0.78125,27.8447152793883,2.079721054988451,3.1167371911661967,2.2468534237423943,5.878761798143387,2.3228854638855703,7.428462736663365
linear_clean_20260911_cal,2026-03,443,1.9235655400979326,1.9355860728227807,0.7765237020316027,28.425025457423107,2.150247815714763,3.6907337782883483,2.3165271955076348,7.237395163852528,2.330729079360923,6.782053936684912
linear_clean_20260912_raw,2026-01,699,1.403477832315068,1.342809188363066,0.8054363376251789,20.793391024776454,1.5702387764307222,2.580337598088473,1.7554945008106297,4.697300735631896,1.8288798172329641,5.916852835762995
linear_clean_20260912_raw,2026-02,672,1.8428981240138698,1.8514218216145746,0.7901785714285714,27.795216564621246,2.0824679468871063,3.708256169444039,2.247796985937188,6.441320879118783,2.309398022682128,7.75488034884135
linear_clean_20260912_raw,2026-03,443,1.8305699443583017,1.8015048262497158,0.8126410835214447,28.95516617949337,2.070758110359192,3.974507280181816,2.2804293103716318,7.2371091562792085,2.3336774816333783,8.533394634858212
linear_clean_20260912_cal,2026-01,699,1.4052962988312343,1.342857116424522,0.7725321888412017,19.46814520463369,1.5840592754589347,2.580337598088473,1.7909923528770777,4.697300735631896,1.8641314408096443,5.916852835762995
linear_clean_20260912_cal,2026-02,672,1.8438073546435014,1.8520978565738178,0.8050595238095238,28.278512865442806,2.074775807506305,3.708256169444039,2.236251900687246,6.441320879118783,2.307198535010276,7.75488034884135
linear_clean_20260912_cal,2026-03,443,1.833222696811527,1.7962877844147016,0.8036117381489842,28.514574489670355,2.0763417841116634,3.974507280181816,2.2884611972435347,7.2371091562792085,2.3441716261256618,8.533394634858212
linear_clean_ensemble_raw,2026-01,699,1.3946494626518666,1.3387770184936059,0.8226037195994278,21.626525508203446,1.5643238498310508,2.7797447731225446,1.7246533983306163,4.970572228765965,1.767043497476918,5.844415263329226
linear_clean_ensemble_raw,2026-02,672,1.874375410715533,1.8641101561259887,0.7752976190476191,27.422576498476754,2.0776926266892266,3.2290339663861287,2.2583892604150706,6.168199533980991,2.3169867602442045,7.587449563401086
linear_clean_ensemble_raw,2026-03,443,1.8296901477467367,1.798890666133272,0.801354401805869,28.306905930880053,2.027231374597964,3.426531848376456,2.2222912556448415,6.614872058412022,2.2522372698584934,7.467993989575617
linear_clean_ensemble_cal,2026-01,699,1.397614271932586,1.3407508317965235,0.8125894134477826,21.26393512219037,1.5731434121987724,2.7797447731225438,1.7393367931232968,4.970572228765965,1.7795223102080882,5.844415263329225
linear_clean_ensemble_cal,2026-02,672,1.8494658221249196,1.839453490999343,0.7901785714285714,27.59650934060347,2.0545225243886596,3.2290339663861287,2.2321652354253834,6.168199533980991,2.301774924165718,7.587449563401086
linear_clean_ensemble_cal,2026-03,443,1.857606389799371,1.8296125629593438,0.7945823927765236,28.552696497541923,2.0561619045272965,3.4265318483764555,2.24407038942418,6.614872058412022,2.285013359217852,7.467993989575619
linear_shuffled_20260910_raw,2026-01,699,1.402084235930464,1.3389382840305781,0.8197424892703863,21.752881457706717,1.5556173777493985,2.5325329116144575,1.6751106726704823,4.533932969634966,1.7287629974167065,5.203392728715495
linear_shuffled_20260910_raw,2026-02,672,1.8311574168269118,1.8261992368822337,0.7752976190476191,26.8201950039892,2.04772108565604,2.9432619909445443,2.261427160557277,5.9764103917848495,2.3226301715136843,7.354960078284854
linear_shuffled_20260910_raw,2026-03,443,1.8521929450692491,1.8304923488676814,0.7787810383747178,27.22453877080913,2.0025588101561707,2.446888432814897,2.1869993630168136,5.298247341646836,2.2918140531617737,7.193507386115011
linear_shuffled_20260910_cal,2026-01,699,1.4157229388763952,1.3518277325423464,0.8483547925608012,22.870684861204264,1.5681028742356675,2.5325329116144575,1.6845070201535979,4.533932969634966,1.7432603234154425,5.203392728715495
linear_shuffled_20260910_cal,2026-02,672,1.829282251511387,1.8272932754165563,0.78125,26.840172848713014,2.0449453968601596,2.9432619909445443,2.2566048748298377,5.9764103917848495,2.323158231188116,7.354960078284854
linear_shuffled_20260910_cal,2026-03,443,1.8581404378396793,1.8271248142709784,0.7855530474040632,28.249168977035325,2.0076317658090246,2.446888432814897,2.1828695301234666,5.298247341646836,2.292241354708559,7.193507386115011
linear_shuffled_20260911_raw,2026-01,699,1.3960187575678271,1.3465386546333693,0.8326180257510729,22.037130337416357,1.5444527959144365,2.4971583036223537,1.6767337110316405,4.532981088744724,1.7398947626262116,5.597553364367615
linear_shuffled_20260911_raw,2026-02,672,2.0336510085894566,1.948728021205154,0.7440476190476191,26.84105650619382,2.2147943383022137,3.2667331794897714,2.398839285664857,5.978661477565765,2.464973516140187,7.758927535443079
linear_shuffled_20260911_raw,2026-03,443,1.8698739467772407,1.8841714211977472,0.7855530474040632,28.117201180813275,2.045490757675147,3.0840785196618623,2.1925468741393237,5.550736347654873,2.2036246207249532,5.655260486473617
linear_shuffled_20260911_cal,2026-01,699,1.3969628148728244,1.343763525022297,0.8240343347639485,21.761990189931076,1.5455724469492198,2.4971583036223537,1.6819156998780798,4.532981088744724,1.747901162944869,5.597553364367615
linear_shuffled_20260911_cal,2026-02,672,1.909282399146781,1.8520131573541667,0.7738095238095238,27.391368661749645,2.1021113393879487,3.2667331794897714,2.2819067907978456,5.978661477565765,2.3726454990919437,7.758927535443079
linear_shuffled_20260911_cal,2026-03,443,1.9668305881550032,1.9904401399195026,0.7968397291196389,29.133208745020653,2.140177395959696,3.0840785196618623,2.251671320714387,5.550736347654873,2.2810517550157714,5.655260486473617
linear_shuffled_20260912_raw,2026-01,699,1.396990523905468,1.3369461136923906,0.8082975679542204,20.951016457807352,1.5583887012586668,2.508093754109395,1.7174144709248036,4.604499934910023,1.7953848956370042,5.8665643666094125
linear_shuffled_20260912_raw,2026-02,672,1.846871715237113,1.8519655808620068,0.7946428571428571,28.164715516780102,2.1009867014023627,4.015557087603069,2.2942211452022074,7.15151171315284,2.360021936371863,8.566313652765183
linear_shuffled_20260912_raw,2026-03,443,1.838729676597372,1.807158631233415,0.8081264108352144,28.34585132555822,2.059232346942019,3.48910430107375,2.2719777013743414,6.47787426933478,2.3341424564849507,7.966947243391257
linear_shuffled_20260912_cal,2026-01,699,1.3988099995995391,1.3369862242830464,0.7796852646638054,19.798785029273834,1.5686537426472122,2.508093754109395,1.7435125950218056,4.604499934910023,1.8188958132898008,5.8665643666094125
linear_shuffled_20260912_cal,2026-02,672,1.8448427039884545,1.849472673772874,0.8065476190476191,28.52221922037383,2.0918977226982696,4.015557087603069,2.2817783154752735,7.15151171315284,2.3546719525779922,8.566313652765183
linear_shuffled_20260912_cal,2026-03,443,1.8435701204023522,1.8027546636904577,0.7968397291196389,27.987203285578158,2.0700644446562353,3.48910430107375,2.2848954572144677,6.47787426933478,2.352940213326015,7.966947243391257
linear_shuffled_ensemble_raw,2026-01,699,1.3922265494340276,1.3363579418306164,0.8240343347639485,21.58034275097681,1.5434053413049142,2.511051572727827,1.67803428846052,4.557137997763238,1.733262395943825,5.555836819897507
linear_shuffled_ensemble_raw,2026-02,672,1.8721064082964112,1.8557879314326777,0.7767857142857143,27.27532234232104,2.09416162559237,3.3938314271351646,2.291461620124734,6.368861194167819,2.3555402631961395,7.893400422164372
linear_shuffled_ensemble_raw,2026-03,443,1.8416147318982188,1.8206069545252093,0.7990970654627539,27.89586375906021,2.0165639320729154,2.9684725338754303,2.1964838115100926,5.767553884163219,2.245715859435842,6.914436325980273
linear_shuffled_ensemble_cal,2026-01,699,1.394807576273492,1.3356867324417128,0.8197424892703863,21.38198663581286,1.5482329727964157,2.5110515727278275,1.685474242912923,4.557137997763238,1.7433499050852839,5.555836819897507
linear_shuffled_ensemble_cal,2026-02,672,1.8493749471790695,1.8344482828356339,0.7857142857142857,27.557549184974807,2.0702684005642964,3.393831427135165,2.264641623940999,6.368861194167819,2.338561218520695,7.893400422164372
linear_shuffled_ensemble_cal,2026-03,443,1.8637416486677223,1.8451584766276334,0.7855530474040632,28.4611840554144,2.0396855046258096,2.96847253387543,2.2114373163181704,5.767553884163219,2.270228635319538,6.914436325980272
linear_tick_20260910_raw,2026-01,699,1.401370926511833,1.33920052023367,0.8240343347639485,22.06778500144915,1.5488273869098639,2.485415979857438,1.6762746685289425,4.438176973694896,1.7166415282509435,5.251081110581819
linear_tick_20260910_raw,2026-02,672,1.8453010667923024,1.834300797335482,0.7738095238095238,26.530629805865743,2.0275513221294172,2.6303439622833613,2.2214214401557437,5.362460955267861,2.2750856356286215,6.672986948773975
