spec,side,reference,mode,period,n,cut,risk_count,fragile_risk,stable_risk,possible_new_risk,flippable_all_share,fragile_risk_share,flip_low95,flip_high95,fragile_low95,fragile_high95
minus10,lower,mean5,BTC,all,1865,-10.0,383,0,383,1,0.0005361930294906167,0.0,0.0,0.0016146393972012918,0.0,0.0
minus10,lower,mean5,BTC,2026-01,744,-10.0,122,0,122,0,0.0,0.0,0.0,0.0,0.0,0.0
minus10,lower,mean5,BTC,2026-02,672,-10.0,142,0,142,1,0.001488095238095238,0.0,0.0,0.005434782608695652,0.0,0.0
minus10,lower,mean5,BTC,2026-03,449,-10.0,119,0,119,0,0.0,0.0,0.0,0.0,0.0,0.0
minus10,lower,mean5,BTC,drop_top1_days,1841,-10.0,376,0,376,0,0.0,0.0,0.0,0.0,0.0,0.0
minus10,lower,mean5,BTC,drop_top5_days,1745,-10.0,345,0,345,0,0.0,0.0,0.0,0.0,0.0,0.0
minus10,lower,mean5,ETH,all,1865,-10.0,383,24,359,30,0.028954423592493297,0.06266318537859007,0.022435897435897436,0.03539540628598308,0.03950454840805718,0.08707203245461821
minus10,lower,mean5,ETH,2026-01,744,-10.0,122,8,114,7,0.020161290322580645,0.06557377049180328,0.012152777777777778,0.028414074960127586,0.03125,0.10753515301902399
minus10,lower,mean5,ETH,2026-02,672,-10.0,142,8,134,14,0.03273809523809524,0.056338028169014086,0.023809523809523808,0.041666666666666664,0.018862028301886793,0.09711105848922565
minus10,lower,mean5,ETH,2026-03,449,-10.0,119,8,111,9,0.0378619153674833,0.06722689075630252,0.01379825122627426,0.05833981841763943,0.0,0.1282051282051282
minus10,lower,mean5,ETH,drop_top1_days,1841,-10.0,376,24,352,27,0.027702335687126562,0.06382978723404255,0.020640956002172733,0.03463203463203463,0.04040404040404041,0.08888888888888889
minus10,lower,mean5,ETH,drop_top5_days,1745,-10.0,345,19,326,27,0.026361031518624643,0.05507246376811594,0.01912581149963472,0.03359868357135917,0.030547534616683553,0.08192580512930188
minus10,lower,mean5,XRP,all,1865,-10.0,383,39,344,50,0.04772117962466488,0.10182767624020887,0.03753351206434316,0.05929487179487179,0.07407407407407407,0.13184506228750706
minus10,lower,mean5,XRP,2026-01,744,-10.0,122,13,109,15,0.03763440860215054,0.10655737704918032,0.023809523809523808,0.050724637681159424,0.061855670103092786,0.1477322134387352
minus10,lower,mean5,XRP,2026-02,672,-10.0,142,11,131,20,0.046130952380952384,0.07746478873239436,0.032196969696969696,0.05972524154589372,0.051094890510948905,0.1111111111111111
minus10,lower,mean5,XRP,2026-03,449,-10.0,119,15,104,15,0.066815144766147,0.12605042016806722,0.026913839032272152,0.10661065093458874,0.052071290944123313,0.2039231226471171
minus10,lower,mean5,XRP,drop_top1_days,1841,-10.0,376,39,337,47,0.046713742531233025,0.10372340425531915,0.03618421052631579,0.05844504021447721,0.07669522274684988,0.13334241598546775
minus10,lower,mean5,XRP,drop_top5_days,1745,-10.0,345,34,311,47,0.046418338108882524,0.09855072463768116,0.03511904761904762,0.05869235017950842,0.06727571762650014,0.1299110724222097
minus10,lower,mean5,SOL,all,1865,-10.0,383,66,317,73,0.07453083109919571,0.17232375979112272,0.06111457688870558,0.08773908639402972,0.1354085827790096,0.20998038476573405
minus10,lower,mean5,SOL,2026-01,744,-10.0,122,20,102,23,0.05779569892473118,0.16393442622950818,0.03644701086956522,0.07702721661054994,0.10321915530428999,0.22131147540983606
minus10,lower,mean5,SOL,2026-02,672,-10.0,142,26,116,33,0.08779761904761904,0.18309859154929578,0.06597222222222222,0.1068840579710145,0.11277665995975855,0.2482379630853266
minus10,lower,mean5,SOL,2026-03,449,-10.0,119,20,99,17,0.08240534521158129,0.16806722689075632,0.041666666666666664,0.12987074030552295,0.08819829818719942,0.25
minus10,lower,mean5,SOL,drop_top1_days,1841,-10.0,376,65,311,70,0.07332971211298207,0.17287234042553193,0.059429065210677284,0.08707264957264957,0.13513513513513514,0.21052631578947367
minus10,lower,mean5,SOL,drop_top5_days,1745,-10.0,345,58,287,70,0.07335243553008595,0.1681159420289855,0.058680044001807215,0.08790597466074988,0.12786518619389303,0.2075027710042119
minus10,lower,mean5,DOGE,all,1865,-10.0,383,369,14,850,0.6536193029490617,0.9634464751958225,0.6084272043737867,0.6917735042735043,0.9422019517879252,0.9840869858111237
minus10,lower,mean5,DOGE,2026-01,744,-10.0,122,118,4,329,0.6008064516129032,0.9672131147540983,0.5043478260869565,0.6868175287356322,0.9421881544776745,0.9913117800074323
minus10,lower,mean5,DOGE,2026-02,672,-10.0,142,139,3,308,0.6651785714285714,0.9788732394366197,0.6210906498015873,0.7043650793650794,0.9452054794520548,1.0
