spec,reference_a,reference_b,n,risk_a,risk_b,intersection,disagreement,jaccard
minus10,mean5,median5,1865,383,238,189,243,0.4375
minus10,mean5,BTC,1865,383,247,135,360,0.2727272727272727
minus10,mean5,ETH,1865,383,304,183,321,0.3630952380952381
minus10,mean5,without_DOGE,1865,383,183,133,300,0.3071593533487298
minus10,median5,BTC,1865,238,247,161,163,0.49691358024691357
minus10,median5,ETH,1865,238,304,188,166,0.5310734463276836
minus10,median5,without_DOGE,1865,238,183,162,97,0.6254826254826255
minus10,BTC,ETH,1865,247,304,131,289,0.3119047619047619
minus10,BTC,without_DOGE,1865,247,183,129,172,0.42857142857142855
minus10,ETH,without_DOGE,1865,304,183,151,185,0.4494047619047619
minus5,mean5,median5,1865,693,591,465,354,0.5677655677655677
minus5,mean5,BTC,1865,693,623,394,528,0.42733188720173537
minus5,mean5,ETH,1865,693,648,410,521,0.44038668098818473
minus5,mean5,without_DOGE,1865,693,553,392,462,0.45901639344262296
minus5,median5,BTC,1865,591,623,471,272,0.6339165545087483
minus5,median5,ETH,1865,591,648,478,283,0.6281208935611038
minus5,median5,without_DOGE,1865,591,553,485,174,0.7359635811836115
minus5,BTC,ETH,1865,623,648,405,461,0.4676674364896074
minus5,BTC,without_DOGE,1865,623,553,439,298,0.5956580732700135
minus5,ETH,without_DOGE,1865,648,553,453,295,0.6056149732620321
minus20,mean5,median5,1865,55,5,4,52,0.07142857142857142
minus20,mean5,BTC,1865,55,10,4,57,0.06557377049180328
minus20,mean5,ETH,1865,55,15,8,54,0.12903225806451613
minus20,mean5,without_DOGE,1865,55,3,2,54,0.03571428571428571
minus20,median5,BTC,1865,5,10,2,11,0.15384615384615385
minus20,median5,ETH,1865,5,15,4,12,0.25
minus20,median5,without_DOGE,1865,5,3,3,2,0.6
minus20,BTC,ETH,1865,10,15,1,23,0.041666666666666664
minus20,BTC,without_DOGE,1865,10,3,1,11,0.08333333333333333
minus20,ETH,without_DOGE,1865,15,3,2,14,0.125
plus10,mean5,median5,1865,223,119,89,164,0.35177865612648224
plus10,mean5,BTC,1865,223,118,54,233,0.18815331010452963
plus10,mean5,ETH,1865,223,161,76,232,0.24675324675324675
plus10,mean5,without_DOGE,1865,223,89,51,210,0.19540229885057472
plus10,median5,BTC,1865,119,118,68,101,0.40236686390532544
plus10,median5,ETH,1865,119,161,85,110,0.4358974358974359
plus10,median5,without_DOGE,1865,119,89,70,68,0.5072463768115942
plus10,BTC,ETH,1865,118,161,51,177,0.2236842105263158
plus10,BTC,without_DOGE,1865,118,89,56,95,0.3708609271523179
plus10,ETH,without_DOGE,1865,161,89,64,122,0.34408602150537637
q05,mean5,median5,1865,248,179,131,165,0.44256756756756754
q05,mean5,BTC,1865,248,162,80,250,0.24242424242424243
q05,mean5,ETH,1865,248,186,107,220,0.327217125382263
q05,mean5,without_DOGE,1865,248,176,103,218,0.32087227414330216
q05,median5,BTC,1865,179,162,101,139,0.42083333333333334
q05,median5,ETH,1865,179,186,119,127,0.483739837398374
q05,median5,without_DOGE,1865,179,176,135,85,0.6136363636363636
q05,BTC,ETH,1865,162,186,79,190,0.2936802973977695
q05,BTC,without_DOGE,1865,162,176,98,142,0.4083333333333333
q05,ETH,without_DOGE,1865,186,176,113,136,0.4538152610441767
q10,mean5,median5,1865,384,306,229,232,0.4967462039045553
q10,mean5,BTC,1865,384,279,152,359,0.2974559686888454
q10,mean5,ETH,1865,384,342,199,328,0.3776091081593928
q10,mean5,without_DOGE,1865,384,322,205,296,0.4091816367265469
q10,median5,BTC,1865,306,279,198,189,0.5116279069767442
q10,median5,ETH,1865,306,342,223,202,0.5247058823529411
q10,median5,without_DOGE,1865,306,322,255,118,0.6836461126005362
q10,BTC,ETH,1865,279,342,155,311,0.33261802575107297
q10,BTC,without_DOGE,1865,279,322,199,203,0.49502487562189057
q10,ETH,without_DOGE,1865,342,322,223,218,0.5056689342403629
q90,mean5,median5,1865,288,187,148,179,0.4525993883792049
q90,mean5,BTC,1865,288,177,89,287,0.23670212765957446
q90,mean5,ETH,1865,288,131,80,259,0.2359882005899705
q90,mean5,without_DOGE,1865,288,183,111,249,0.30833333333333335
q90,median5,BTC,1865,187,177,115,134,0.46184738955823296
q90,median5,ETH,1865,187,131,90,138,0.39473684210526316
q90,median5,without_DOGE,1865,187,183,140,90,0.6086956521739131
q90,BTC,ETH,1865,177,131,60,188,0.24193548387096775
q90,BTC,without_DOGE,1865,177,183,111,138,0.4457831325301205
q90,ETH,without_DOGE,1865,131,183,99,116,0.4604651162790698
q95,mean5,median5,1865,185,107,77,138,0.3581395348837209
q95,mean5,BTC,1865,185,91,41,194,0.17446808510638298
q95,mean5,ETH,1865,185,66,31,189,0.1409090909090909
q95,mean5,without_DOGE,1865,185,92,52,173,0.2311111111111111
q95,median5,BTC,1865,107,91,54,90,0.375
q95,median5,ETH,1865,107,66,41,91,0.3106060606060606
q95,median5,without_DOGE,1865,107,92,65,69,0.48507462686567165
q95,BTC,ETH,1865,91,66,28,101,0.21705426356589147
q95,BTC,without_DOGE,1865,91,92,51,81,0.38636363636363635
q95,ETH,without_DOGE,1865,66,92,42,74,0.3620689655172414
