spec,side,reference,cut
minus10,lower,mean5,-10.0
minus10,lower,median5,-10.0
minus10,lower,BTC,-10.0
minus10,lower,ETH,-10.0
minus10,lower,without_DOGE,-10.0
minus5,lower,mean5,-5.0
minus5,lower,median5,-5.0
minus5,lower,BTC,-5.0
minus5,lower,ETH,-5.0
minus5,lower,without_DOGE,-5.0
minus20,lower,mean5,-20.0
minus20,lower,median5,-20.0
minus20,lower,BTC,-20.0
minus20,lower,ETH,-20.0
minus20,lower,without_DOGE,-20.0
plus10,upper,mean5,10.0
plus10,upper,median5,10.0
plus10,upper,BTC,10.0
plus10,upper,ETH,10.0
plus10,upper,without_DOGE,10.0
q05,lower,mean5,-12.80323263814239
q05,lower,median5,-10.997788275283286
q05,lower,BTC,-11.551345981666563
q05,lower,ETH,-12.002706845139684
q05,lower,without_DOGE,-10.148457590568684
q10,lower,mean5,-9.978257259238102
q10,lower,median5,-8.700751458106016
q10,lower,BTC,-9.231278034029641
q10,lower,ETH,-9.442616795501193
q10,lower,without_DOGE,-7.740311519390434
q90,upper,mean5,8.527136174637636
q90,upper,median5,8.149862666672472
q90,upper,BTC,8.467595627571907
q90,upper,ETH,11.126349630181869
q90,upper,without_DOGE,7.6939668735582405
q95,upper,mean5,11.004914513209142
q95,upper,median5,10.529077082539695
q95,upper,BTC,11.256462711646472
q95,upper,ETH,13.945416627653513
q95,upper,without_DOGE,9.802416569349774
