model,month,epoch,train_loss_scaled,validation_tail_loss_bp
tcn_clean_20260910,2025-12,1,0.18163151104948413,1.6314298914251095
tcn_clean_20260910,2025-12,2,0.17727214097976685,1.5826521321782885
tcn_clean_20260910,2025-12,3,0.17375726753206394,1.668969356844694
tcn_clean_20260910,2025-12,4,0.17108925821176216,1.6602592231795343
tcn_clean_20260910,2025-12,5,0.16971803779032693,1.742321023142045
tcn_clean_20260910,2025-12,6,0.16962014272141812,1.7552425795916142
tcn_clean_20260910,2025-12,7,0.16837329984600866,1.8283656616134443
tcn_clean_20260910,2025-12,8,0.16727780917687202,1.8039208342194473
tcn_clean_20260910,2025-12,9,0.1665566910558672,1.8642518283140075
tcn_clean_20260910,2025-12,10,0.16665095535676872,1.8488561101449164
tcn_clean_20260911,2025-12,1,0.18192189464818187,1.6104107714095612
tcn_clean_20260911,2025-12,2,0.17936326140788064,1.5555689552206755
tcn_clean_20260911,2025-12,3,0.1747741383403095,1.6030824315716934
tcn_clean_20260911,2025-12,4,0.17235933155266206,1.6256772080694863
tcn_clean_20260911,2025-12,5,0.17018755380787068,1.6828401843408602
tcn_clean_20260911,2025-12,6,0.16887714480286214,1.6344839865667695
tcn_clean_20260911,2025-12,7,0.16864449119389946,1.5874973606149985
tcn_clean_20260911,2025-12,8,0.16690129063912293,1.5789691790696139
tcn_clean_20260911,2025-12,9,0.16642401934559667,1.5779796239818145
tcn_clean_20260911,2025-12,10,0.16540967217132227,1.5249272112998515
tcn_clean_20260911,2025-12,11,0.16442292795252444,1.592472766106704
tcn_clean_20260911,2025-12,12,0.16390959562650367,1.5910320094125072
tcn_clean_20260911,2025-12,13,0.16317020000806495,1.5613092950432614
tcn_clean_20260911,2025-12,14,0.1628593153028346,1.5822215407480409
tcn_clean_20260911,2025-12,15,0.1616947370678631,1.530257242144899
tcn_clean_20260911,2025-12,16,0.16159517306890062,1.5942390878232862
tcn_clean_20260911,2025-12,17,0.16050537486574543,1.593831782485479
tcn_clean_20260911,2025-12,18,0.15902395969006553,1.607715909692548
tcn_clean_20260912,2025-12,1,0.18167242630204158,1.6225626429364841
tcn_clean_20260912,2025-12,2,0.17870635150083855,1.5611235832980266
tcn_clean_20260912,2025-12,3,0.17485724990047627,1.5807823381399084
tcn_clean_20260912,2025-12,4,0.17229302338699795,1.6986870327660106
tcn_clean_20260912,2025-12,5,0.17135443705231396,1.698648763093264
tcn_clean_20260912,2025-12,6,0.1698848427231632,1.7769863674848492
