scenario,h,model,q,target,n,beta_standardized,ci95_low,ci95_high,bootstrap_sign_tail,B,successful,block_calendar_days,refit_residual_stages,projection,note
clock_UTC_quote,1,M0,0.1,e_origin,1349,0.3208808879720293,0.06724027968757411,0.5356558728465299,0.004,499,499,5,True,sequential,percentile sensitivity intervals; sign-tail statistic is not a calibrated null-imposed p-value
clock_UTC_quote,1,M0,0.1,downside,1349,-0.2697636478368854,-0.5905655632174709,-0.045864204835808775,0.004,499,499,5,True,sequential,percentile sensitivity intervals; sign-tail statistic is not a calibrated null-imposed p-value
clock_UTC_quote,1,M1,0.1,e_origin,1349,0.286159212158004,0.07675774200439289,0.5403094686993193,0.004,499,499,5,True,sequential,percentile sensitivity intervals; sign-tail statistic is not a calibrated null-imposed p-value
clock_UTC_quote,1,M1,0.1,downside,1349,-0.1659421192898196,-0.621331413654456,0.15877889480414134,0.444,499,499,5,True,sequential,percentile sensitivity intervals; sign-tail statistic is not a calibrated null-imposed p-value
clock_UTC_quote,1,M1,0.1,btc_vol,1349,-0.08186456688819099,-0.34164215762808126,0.10615358649405172,0.312,499,499,5,True,sequential,percentile sensitivity intervals; sign-tail statistic is not a calibrated null-imposed p-value
clock_UTC_quote,1,M2,0.1,e_origin,1349,0.2772386624490259,0.07260427399255023,0.5435963037374231,0.004,499,499,5,True,sequential,percentile sensitivity intervals; sign-tail statistic is not a calibrated null-imposed p-value
clock_UTC_quote,1,M2,0.1,downside,1349,-0.1450011604510851,-0.6226221770734723,0.19588515793455424,0.476,499,499,5,True,sequential,percentile sensitivity intervals; sign-tail statistic is not a calibrated null-imposed p-value
clock_UTC_quote,1,M2,0.1,btc_vol,1349,-0.07498433582487361,-0.31144217724159995,0.1095639800842637,0.348,499,499,5,True,sequential,percentile sensitivity intervals; sign-tail statistic is not a calibrated null-imposed p-value
clock_UTC_quote,1,M2,0.1,account_ls,1349,-0.05927911596616184,-0.17440748965088773,0.09040964612999076,0.66,499,499,5,True,sequential,percentile sensitivity intervals; sign-tail statistic is not a calibrated null-imposed p-value
clock_UTC_quote,6,M0,0.1,e_origin,322,0.3084931538956955,-0.06387766045003485,0.49136629529820647,0.112,499,499,5,True,sequential,percentile sensitivity intervals; sign-tail statistic is not a calibrated null-imposed p-value
clock_UTC_quote,6,M0,0.1,downside,322,-0.339998601162705,-0.5006455409469301,0.04016636735788249,0.08,499,499,5,True,sequential,percentile sensitivity intervals; sign-tail statistic is not a calibrated null-imposed p-value
clock_UTC_quote,6,M1,0.1,e_origin,322,0.3097603263559308,-0.05412529292609898,0.4973864351594764,0.12,499,499,5,True,sequential,percentile sensitivity intervals; sign-tail statistic is not a calibrated null-imposed p-value
clock_UTC_quote,6,M1,0.1,downside,322,0.07912591511356824,-0.48885369725306776,0.6091458460013772,0.864,499,499,5,True,sequential,percentile sensitivity intervals; sign-tail statistic is not a calibrated null-imposed p-value
clock_UTC_quote,6,M1,0.1,btc_vol,322,-0.3112139984634552,-0.7995845284541405,0.14102507264920394,0.14,499,499,5,True,sequential,percentile sensitivity intervals; sign-tail statistic is not a calibrated null-imposed p-value
clock_UTC_quote,6,M2,0.1,e_origin,322,0.280313751609324,-0.046074220289660614,0.5204982102801937,0.096,499,499,5,True,sequential,percentile sensitivity intervals; sign-tail statistic is not a calibrated null-imposed p-value
