scenario,h,model,q,target,n,beta_standardized,ci95_low,ci95_high,bootstrap_sign_tail,B,successful,block_calendar_days,refit_residual_stages,projection,note
quote_only,1,M0,0.1,e_origin,714,0.3884443290341488,0.020100832069836143,0.5343256881054006,0.04,499,499,5,True,sequential,percentile sensitivity intervals; sign-tail statistic is not a calibrated null-imposed p-value
quote_only,1,M0,0.1,downside,714,-0.2508047802434436,-0.39310702830273636,-0.017338813448906743,0.02,499,499,5,True,sequential,percentile sensitivity intervals; sign-tail statistic is not a calibrated null-imposed p-value
quote_only,1,M1,0.1,e_origin,714,0.40112808032534564,0.047968425516133124,0.5428726202659033,0.024,499,499,5,True,sequential,percentile sensitivity intervals; sign-tail statistic is not a calibrated null-imposed p-value
quote_only,1,M1,0.1,downside,714,0.09875299558488022,-0.23090805672839665,0.30505413423052785,0.592,499,499,5,True,sequential,percentile sensitivity intervals; sign-tail statistic is not a calibrated null-imposed p-value
quote_only,1,M1,0.1,btc_vol,714,-0.29317464168700835,-0.505815435919055,-0.08280209639839914,0.028,499,499,5,True,sequential,percentile sensitivity intervals; sign-tail statistic is not a calibrated null-imposed p-value
quote_only,1,M2,0.1,e_origin,714,0.40365266497637425,0.03404791601443456,0.5476206494590518,0.016,499,499,5,True,sequential,percentile sensitivity intervals; sign-tail statistic is not a calibrated null-imposed p-value
quote_only,1,M2,0.1,downside,714,0.09954592988926961,-0.25554618557922437,0.28176908677791856,0.688,499,499,5,True,sequential,percentile sensitivity intervals; sign-tail statistic is not a calibrated null-imposed p-value
quote_only,1,M2,0.1,btc_vol,714,-0.3198980994609287,-0.5259840258502455,-0.06874810062199854,0.024,499,499,5,True,sequential,percentile sensitivity intervals; sign-tail statistic is not a calibrated null-imposed p-value
quote_only,1,M2,0.1,account_ls,714,0.03281074318524836,-0.1347608199155366,0.17606262352144939,0.66,499,499,5,True,sequential,percentile sensitivity intervals; sign-tail statistic is not a calibrated null-imposed p-value
quote_only,6,M0,0.1,e_origin,708,0.07328666145082599,-0.09368700275358045,0.25514141819949326,0.332,499,499,5,True,sequential,percentile sensitivity intervals; sign-tail statistic is not a calibrated null-imposed p-value
quote_only,6,M0,0.1,downside,708,-0.205389836260833,-0.41412709090373945,-0.03656426841530206,0.032,499,499,5,True,sequential,percentile sensitivity intervals; sign-tail statistic is not a calibrated null-imposed p-value
quote_only,6,M1,0.1,e_origin,708,0.1343791222371146,-0.07562243646688953,0.2212275085337151,0.372,499,499,5,True,sequential,percentile sensitivity intervals; sign-tail statistic is not a calibrated null-imposed p-value
quote_only,6,M1,0.1,downside,708,0.2878626220329501,-0.22610104110493653,0.5438554018907323,0.352,499,499,5,True,sequential,percentile sensitivity intervals; sign-tail statistic is not a calibrated null-imposed p-value
quote_only,6,M1,0.1,btc_vol,708,-0.4806800947182043,-0.750594674468102,-0.05152565637042697,0.036,499,499,5,True,sequential,percentile sensitivity intervals; sign-tail statistic is not a calibrated null-imposed p-value
quote_only,6,M2,0.1,e_origin,708,0.09227223339068492,-0.08021956731579483,0.23900080982262978,0.392,499,499,5,True,sequential,percentile sensitivity intervals; sign-tail statistic is not a calibrated null-imposed p-value
quote_only,6,M2,0.1,downside,708,0.2668903921674751,-0.23527995826171852,0.5723729622912993,0.332,499,499,5,True,sequential,percentile sensitivity intervals; sign-tail statistic is not a calibrated null-imposed p-value
quote_only,6,M2,0.1,btc_vol,708,-0.38458320261799467,-0.7211505174870553,0.038991029996234716,0.088,499,499,5,True,sequential,percentile sensitivity intervals; sign-tail statistic is not a calibrated null-imposed p-value
quote_only,6,M2,0.1,account_ls,708,-0.08723030166295909,-0.42881013702832665,0.17693037183383858,0.476,499,499,5,True,sequential,percentile sensitivity intervals; sign-tail statistic is not a calibrated null-imposed p-value
quote_only,12,M0,0.1,e_origin,702,0.04084169615146882,-0.07481251002164886,0.2688057214746676,0.168,499,499,5,True,sequential,percentile sensitivity intervals; sign-tail statistic is not a calibrated null-imposed p-value
quote_only,12,M0,0.1,downside,702,-0.5244450912391364,-0.8716576401787027,-0.038684995607531684,0.016,499,499,5,True,sequential,percentile sensitivity intervals; sign-tail statistic is not a calibrated null-imposed p-value
quote_only,12,M1,0.1,e_origin,702,0.09076001114240737,-0.04852991036077464,0.26884956477266403,0.18,499,499,5,True,sequential,percentile sensitivity intervals; sign-tail statistic is not a calibrated null-imposed p-value
quote_only,12,M1,0.1,downside,702,-0.4083929029207388,-0.8342274106805639,0.17690513290945326,0.208,499,499,5,True,sequential,percentile sensitivity intervals; sign-tail statistic is not a calibrated null-imposed p-value
quote_only,12,M1,0.1,btc_vol,702,-0.10394044044229686,-0.36142445867893286,0.18532906575375296,0.54,499,499,5,True,sequential,percentile sensitivity intervals; sign-tail statistic is not a calibrated null-imposed p-value
quote_only,12,M2,0.1,e_origin,702,0.1151997140344108,-0.045352421989711185,0.3104675899411985,0.18,499,499,5,True,sequential,percentile sensitivity intervals; sign-tail statistic is not a calibrated null-imposed p-value
quote_only,12,M2,0.1,downside,702,-0.1716970379455668,-0.7468209930462959,0.2854184688287622,0.508,499,499,5,True,sequential,percentile sensitivity intervals; sign-tail statistic is not a calibrated null-imposed p-value
quote_only,12,M2,0.1,btc_vol,702,-0.12665882928330432,-0.3296742863846519,0.18427254195345918,0.532,499,499,5,True,sequential,percentile sensitivity intervals; sign-tail statistic is not a calibrated null-imposed p-value
quote_only,12,M2,0.1,account_ls,702,-0.1933570623345024,-0.38062152814029604,0.03363170741326161,0.08,499,499,5,True,sequential,percentile sensitivity intervals; sign-tail statistic is not a calibrated null-imposed p-value
