channel,q,base_dn,dn_beta,dn_p,ch_beta,ch_p,mediates
USDT_VOL_RATIO_LOG,0.1,-0.114,-0.201,0.0,-0.141,0.02,no
USDT_RELATIVE_VOLUME_PRESSURE,0.1,-0.114,-0.181,0.0,-0.138,0.013,no
VOL_RATIO_DISPERSION,0.1,-0.114,-0.127,0.0,-0.161,0.0,no
OI_lag1,0.1,-0.114,-0.179,0.0,-0.13,0.033,no
OI_RET_lag1,0.1,-0.114,-0.115,0.0,-0.027,0.987,no
OI_VALUE_RET_lag1,0.1,-0.114,-0.142,0.0,-0.033,0.6,no
TOPTRADER_POSITION_LS_lag1,0.1,-0.114,-0.125,0.0,-0.091,0.28,no
TAKER_LONG_SHORT_VOL_RATIO_lag1,0.1,-0.114,-0.119,0.0,0.1,0.207,no
COIN_VOL_RATIO_LOG_MEAN,0.1,-0.114,-0.124,0.007,-0.034,0.62,no
FUNDING_lag1,0.1,-0.114,-0.132,0.1,0.264,0.0,artifact
ACCOUNT_LS_lag1,0.1,-0.114,-0.063,0.227,-0.194,0.007,YES
OI_VALUE_lag1,0.1,-0.114,-0.14,0.28,0.291,0.0,artifact
TOPTRADER_ACCOUNT_LS_lag1,0.1,-0.114,-0.012,0.347,-0.226,0.0,YES
USDT_VOL_RATIO_LOG,0.5,-0.157,-0.153,0.0,-0.098,0.0,no
COIN_VOL_RATIO_LOG_MEAN,0.5,-0.157,-0.158,0.0,-0.014,0.86,no
USDT_RELATIVE_VOLUME_PRESSURE,0.5,-0.157,-0.151,0.0,-0.11,0.007,no
FUNDING_lag1,0.5,-0.157,-0.173,0.0,-0.031,0.52,no
OI_RET_lag1,0.5,-0.157,-0.158,0.0,-0.035,0.34,no
OI_VALUE_RET_lag1,0.5,-0.157,-0.16,0.0,-0.036,0.52,no
TOPTRADER_POSITION_LS_lag1,0.5,-0.157,-0.163,0.0,-0.048,0.18,no
TAKER_LONG_SHORT_VOL_RATIO_lag1,0.5,-0.157,-0.16,0.0,0.028,0.2,no
OI_lag1,0.5,-0.157,-0.161,0.007,-0.098,0.007,no
VOL_RATIO_DISPERSION,0.5,-0.157,-0.15,0.013,-0.104,0.0,no
OI_VALUE_lag1,0.5,-0.157,-0.118,0.053,0.124,0.02,artifact
ACCOUNT_LS_lag1,0.5,-0.157,-0.135,0.087,-0.087,0.08,no
TOPTRADER_ACCOUNT_LS_lag1,0.5,-0.157,-0.12,0.213,-0.111,0.047,artifact
