datetime_utc,OI,OI_VALUE,TOPTRADER_ACCOUNT_LS,TOPTRADER_POSITION_LS,ACCOUNT_LS,TAKER_LONG_SHORT_VOL_RATIO
2025-06-03 09:00:00+00:00,81094.012,8529281665.9324,1.24873534,1.542184,1.09751417,1.284923
2025-06-03 10:00:00+00:00,81220.522,8542352157.2456,1.25256041,1.540275,1.11061919,0.205001
2025-06-03 11:00:00+00:00,81184.893,8539765828.266301,1.22899779,1.538951,1.09016848,0.922879
2025-06-03 12:00:00+00:00,81538.761,8582541674.3292,1.23083305,1.525425,1.09924831,0.472227
2025-06-03 13:00:00+00:00,81804.146,8620848019.512686,1.21172712,1.515217,1.08790563,0.941022
2025-06-03 14:00:00+00:00,82588.744,8792893218.704,1.09088481,1.460791,0.96122133,1.981892
2025-06-03 15:00:00+00:00,84229.671,8971352796.0126,0.97750861,1.446984,0.82585821,0.83971
2025-06-03 16:00:00+00:00,84279.913,8937202106.3547,0.97066434,1.430546,0.80344792,0.97976
2025-06-03 17:00:00+00:00,83723.328,8861177731.766254,1.01260979,1.429779,0.8516013,0.74072
2025-06-03 18:00:00+00:00,83381.893,8829058504.091,1.03307062,1.418443,0.88377937,0.972665
2025-06-03 19:00:00+00:00,83444.533,8850767304.737446,1.02956517,1.405309,0.88095476,0.844105
2025-06-03 20:00:00+00:00,82871.124,8763845115.0348,1.04345516,1.424822,0.88570047,1.098467
2025-06-03 21:00:00+00:00,82900.894,8743544603.054539,1.05147864,1.427957,0.89387834,0.862563
2025-06-03 22:00:00+00:00,82827.97,8762927958.99621,1.05593034,1.423838,0.90262756,0.391118
2025-06-03 23:00:00+00:00,82461.807,8689936968.163979,1.07095272,1.434864,0.9187005,1.619146
2025-06-04 00:00:00+00:00,82279.507,8673897399.9893,1.07694396,1.452806,0.94313011,1.708066
2025-06-04 01:00:00+00:00,81983.69,8650312289.494,1.08661396,1.447784,0.95068884,0.620277
2025-06-04 02:00:00+00:00,81965.825,8640237827.505854,1.05821837,1.436447,0.95330276,0.880469
2025-06-04 03:00:00+00:00,82156.313,8671407123.607536,1.06397102,1.436799,0.96197211,1.576298
2025-06-04 04:00:00+00:00,82318.835,8673211238.202,1.06954081,1.439582,0.96638557,1.301274
