model,month,ncal,offset,last_available_target
logistic_local,2025-11,0,0.0,NaT
logistic_local,2025-12,614,-0.0037500159825081154,2025-11-30 23:00:00+00:00
logistic_local,2026-01,622,0.5167129167115563,2025-12-31 18:00:00+00:00
logistic_local,2026-02,619,0.7434124179640917,2026-01-31 23:00:00+00:00
logistic_local,2026-03,608,0.4401527352030345,2026-02-28 23:00:00+00:00
logistic_reference,2025-11,0,0.0,NaT
logistic_reference,2025-12,614,-0.671279579017997,2025-11-30 23:00:00+00:00
logistic_reference,2026-01,622,0.15489011799672894,2025-12-31 18:00:00+00:00
logistic_reference,2026-02,619,0.20953729241256333,2026-01-31 23:00:00+00:00
logistic_reference,2026-03,608,-0.4268432510482949,2026-02-28 23:00:00+00:00
logistic_full,2025-11,0,0.0,NaT
logistic_full,2025-12,614,-0.2636641594043842,2025-11-30 23:00:00+00:00
logistic_full,2026-01,622,0.13414117563820802,2025-12-31 18:00:00+00:00
logistic_full,2026-02,619,0.23191745152922624,2026-01-31 23:00:00+00:00
logistic_full,2026-03,608,-0.7783937054898775,2026-02-28 23:00:00+00:00
tree_local,2025-11,0,0.0,NaT
tree_local,2025-12,614,0.014132047869966139,2025-11-30 23:00:00+00:00
tree_local,2026-01,622,0.6346184758748132,2025-12-31 18:00:00+00:00
tree_local,2026-02,619,0.7288310976913304,2026-01-31 23:00:00+00:00
tree_local,2026-03,608,0.1484704932850743,2026-02-28 23:00:00+00:00
tree_reference,2025-11,0,0.0,NaT
tree_reference,2025-12,614,-0.30126766313424813,2025-11-30 23:00:00+00:00
tree_reference,2026-01,622,0.424619112825746,2025-12-31 18:00:00+00:00
tree_reference,2026-02,619,0.5876386848003324,2026-01-31 23:00:00+00:00
tree_reference,2026-03,608,-0.09169643146114437,2026-02-28 23:00:00+00:00
tree_full,2025-11,0,0.0,NaT
tree_full,2025-12,614,0.27852595132310565,2025-11-30 23:00:00+00:00
tree_full,2026-01,622,0.08466033794805018,2025-12-31 18:00:00+00:00
tree_full,2026-02,619,0.8109066630128587,2026-01-31 23:00:00+00:00
tree_full,2026-03,608,-0.214947472136882,2026-02-28 23:00:00+00:00
spline_reference,2025-11,0,0.0,NaT
spline_reference,2025-12,614,-0.6881216453646712,2025-11-30 23:00:00+00:00
spline_reference,2026-01,622,0.6259342418485568,2025-12-31 18:00:00+00:00
spline_reference,2026-02,619,0.2905275133492026,2026-01-31 23:00:00+00:00
spline_reference,2026-03,608,0.033737941953060076,2026-02-28 23:00:00+00:00
