model,n,positive,prevalence,mean_probability,brier,logloss,ap,auc
logistic_local_raw,1655,616,0.3722054380664653,0.23881723478785666,0.23400376562943284,0.6665788240267118,0.5320739814640815,0.6717560591477819
logistic_local_cal,1655,616,0.3722054380664653,0.35028607882574914,0.2189694423182769,0.6277552030323179,0.5076699498385708,0.662182980638226
logistic_reference_raw,1655,616,0.3722054380664653,0.3687101223191116,0.21451116227211744,0.6192093396578666,0.537992684825819,0.6734497456345387
logistic_reference_cal,1655,616,0.3722054380664653,0.37750335486993425,0.2240072867215305,0.6411506486737278,0.4939470655692104,0.6422087296726372
logistic_full_raw,1655,616,0.3722054380664653,0.40299786030117546,0.2220416108494715,0.6376249896773869,0.5255373594615641,0.6505568541179706
logistic_full_cal,1655,616,0.3722054380664653,0.3969677698149038,0.24033145402320158,0.6807030610715425,0.45780138341269927,0.5934933689986626
tree_local_raw,1655,616,0.3722054380664653,0.27825417044139145,0.22650323056201158,0.6481592718999927,0.5181923643850792,0.6563285126807744
tree_local_cal,1655,616,0.3722054380664653,0.3900715871267605,0.22464106194848268,0.6397765232593992,0.4772267011904543,0.629643575865905
tree_reference_raw,1655,616,0.3722054380664653,0.30497433415152025,0.2258873483011742,0.6436131234730945,0.49437422592560115,0.641593127757709
tree_reference_cal,1655,616,0.3722054380664653,0.38067794262455545,0.23215434010703356,0.6554505270057572,0.44085278962510793,0.6059522767896205
tree_full_raw,1655,616,0.3722054380664653,0.30452702440778445,0.23475924337337242,0.6698758304387804,0.4672858803945395,0.5950370611102084
tree_full_cal,1655,616,0.3722054380664653,0.3684246767694243,0.2574146912126927,0.7173268571336813,0.40438791332680146,0.54981688186693
spline_reference_raw,1655,616,0.3722054380664653,0.3186322456959196,0.22279076749492474,0.6398553088762877,0.5240201094468475,0.6368308063447621
spline_reference_cal,1655,616,0.3722054380664653,0.39434701817359175,0.226370932044318,0.6450804983099897,0.4949042313888937,0.6188580428233941
recent28,1655,616,0.3722054380664653,0.31596016816377903,0.23309054888508124,0.6601176674772281,0.4407920156930112,0.5667435908653425
recent28_state,1655,616,0.3722054380664653,0.3337961989575517,0.23260971745940068,0.6594369913053225,0.4253333079745364,0.5546924802819894
