model,month,nfit,positive,last_training_target,first_origin
logistic_local,2025-11,3349,476,2025-10-31 23:00:00+00:00,2025-11-01 01:00:00+00:00
logistic_local,2025-12,4006,654,2025-11-30 23:00:00+00:00,2025-12-01 00:00:00+00:00
logistic_local,2026-01,4693,860,2025-12-31 18:00:00+00:00,2026-01-01 22:00:00+00:00
logistic_local,2026-02,5355,1074,2026-01-31 23:00:00+00:00,2026-02-01 00:00:00+00:00
logistic_local,2026-03,5963,1277,2026-02-28 23:00:00+00:00,2026-03-01 00:00:00+00:00
logistic_reference,2025-11,3349,476,2025-10-31 23:00:00+00:00,2025-11-01 01:00:00+00:00
logistic_reference,2025-12,4006,654,2025-11-30 23:00:00+00:00,2025-12-01 00:00:00+00:00
logistic_reference,2026-01,4693,860,2025-12-31 18:00:00+00:00,2026-01-01 22:00:00+00:00
logistic_reference,2026-02,5355,1074,2026-01-31 23:00:00+00:00,2026-02-01 00:00:00+00:00
logistic_reference,2026-03,5963,1277,2026-02-28 23:00:00+00:00,2026-03-01 00:00:00+00:00
logistic_full,2025-11,3349,476,2025-10-31 23:00:00+00:00,2025-11-01 01:00:00+00:00
logistic_full,2025-12,4006,654,2025-11-30 23:00:00+00:00,2025-12-01 00:00:00+00:00
logistic_full,2026-01,4693,860,2025-12-31 18:00:00+00:00,2026-01-01 22:00:00+00:00
logistic_full,2026-02,5355,1074,2026-01-31 23:00:00+00:00,2026-02-01 00:00:00+00:00
logistic_full,2026-03,5963,1277,2026-02-28 23:00:00+00:00,2026-03-01 00:00:00+00:00
tree_local,2025-11,3349,476,2025-10-31 23:00:00+00:00,2025-11-01 01:00:00+00:00
tree_local,2025-12,4006,654,2025-11-30 23:00:00+00:00,2025-12-01 00:00:00+00:00
tree_local,2026-01,4693,860,2025-12-31 18:00:00+00:00,2026-01-01 22:00:00+00:00
tree_local,2026-02,5355,1074,2026-01-31 23:00:00+00:00,2026-02-01 00:00:00+00:00
tree_local,2026-03,5963,1277,2026-02-28 23:00:00+00:00,2026-03-01 00:00:00+00:00
tree_reference,2025-11,3349,476,2025-10-31 23:00:00+00:00,2025-11-01 01:00:00+00:00
tree_reference,2025-12,4006,654,2025-11-30 23:00:00+00:00,2025-12-01 00:00:00+00:00
tree_reference,2026-01,4693,860,2025-12-31 18:00:00+00:00,2026-01-01 22:00:00+00:00
tree_reference,2026-02,5355,1074,2026-01-31 23:00:00+00:00,2026-02-01 00:00:00+00:00
tree_reference,2026-03,5963,1277,2026-02-28 23:00:00+00:00,2026-03-01 00:00:00+00:00
tree_full,2025-11,3349,476,2025-10-31 23:00:00+00:00,2025-11-01 01:00:00+00:00
tree_full,2025-12,4006,654,2025-11-30 23:00:00+00:00,2025-12-01 00:00:00+00:00
tree_full,2026-01,4693,860,2025-12-31 18:00:00+00:00,2026-01-01 22:00:00+00:00
tree_full,2026-02,5355,1074,2026-01-31 23:00:00+00:00,2026-02-01 00:00:00+00:00
tree_full,2026-03,5963,1277,2026-02-28 23:00:00+00:00,2026-03-01 00:00:00+00:00
spline_reference,2025-11,3349,476,2025-10-31 23:00:00+00:00,2025-11-01 01:00:00+00:00
spline_reference,2025-12,4006,654,2025-11-30 23:00:00+00:00,2025-12-01 00:00:00+00:00
spline_reference,2026-01,4693,860,2025-12-31 18:00:00+00:00,2026-01-01 22:00:00+00:00
spline_reference,2026-02,5355,1074,2026-01-31 23:00:00+00:00,2026-02-01 00:00:00+00:00
spline_reference,2026-03,5963,1277,2026-02-28 23:00:00+00:00,2026-03-01 00:00:00+00:00
