model,month,n,positive,prevalence,mean_probability,brier,logloss,ap,auc
logistic_current_raw,2025-11,656,177,0.2698170731707317,0.3761086539606293,0.23501604656361053,0.6786710218740968,0.32411665923726674,0.5135699373695198
logistic_current_raw,2025-12,682,201,0.29472140762463345,0.26257307532760515,0.2260458640529024,0.694907171133005,0.3325752642413118,0.5004706198736049
logistic_current_raw,2026-01,641,209,0.32605304212168484,0.2913271105217751,0.20007187225249362,0.5853702490090787,0.5175660778194017,0.6919081162502214
logistic_current_raw,2026-02,613,202,0.3295269168026101,0.42221245346250663,0.22168729055483577,0.6347396770380083,0.44492415258318424,0.6398906313989063
logistic_current_raw,2026-03,379,199,0.525065963060686,0.4231146514767535,0.2277576670011273,0.6502336766975347,0.736074424142817,0.7095756560580682
logistic_current_cal,2025-11,656,177,0.2698170731707317,0.3761086539606293,0.23501604656361053,0.6786710218740968,0.32411665923726674,0.5135699373695198
logistic_current_cal,2025-12,682,201,0.29472140762463345,0.14738512968173778,0.23544588281644016,0.7677009339684541,0.3325752642413118,0.5004706198736049
logistic_current_cal,2026-01,641,209,0.32605304212168484,0.3114922664568538,0.19888722444400747,0.5827939760199341,0.5175660778194017,0.6919081162502214
logistic_current_cal,2026-02,613,202,0.3295269168026101,0.46810819834021544,0.2322331804448723,0.6585635863119542,0.44492415258318424,0.6398906313989063
logistic_current_cal,2026-03,379,199,0.525065963060686,0.33338702315818114,0.2545089982673334,0.7132191912612269,0.736074424142817,0.7095756560580682
logistic_flat_raw,2025-11,656,177,0.2698170731707317,0.33954892497353867,0.28677002995986167,0.8763272820966534,0.33895556645320246,0.5034145996249249
logistic_flat_raw,2025-12,682,201,0.29472140762463345,0.32410928295938535,0.29340870711206685,1.0096564112888515,0.30927138506925644,0.4773637012442982
logistic_flat_raw,2026-01,641,209,0.32605304212168484,0.3260703289921934,0.22655423250955264,0.6759738957078253,0.44821138468715516,0.6019183058656743
logistic_flat_raw,2026-02,613,202,0.3295269168026101,0.35952390647335297,0.25213376411718963,0.7535295337972697,0.39977965391244913,0.5828334658283346
logistic_flat_raw,2026-03,379,199,0.525065963060686,0.43858285123895097,0.23367827781358794,0.6867487341313047,0.6837343896299051,0.6931602456728085
logistic_flat_cal,2025-11,656,177,0.2698170731707317,0.33954892497353867,0.28677002995986167,0.8763272820966534,0.33895556645320246,0.5034145996249249
logistic_flat_cal,2025-12,682,201,0.29472140762463345,0.2197750154168022,0.27216288118684495,1.0295053360677386,0.30927138506925644,0.4773637012442982
logistic_flat_cal,2026-01,641,209,0.32605304212168484,0.281768373412202,0.2252908062906151,0.681811873129746,0.44821138468715516,0.6019183058656743
logistic_flat_cal,2026-02,613,202,0.3295269168026101,0.36735868160323737,0.2532120421846354,0.7551026200850716,0.39977965391244913,0.5828334658283346
logistic_flat_cal,2026-03,379,199,0.525065963060686,0.40546050090431146,0.24000890181450177,0.7043174720995364,0.6837343896299051,0.6931602456728085
tree_current_raw,2025-11,656,177,0.2698170731707317,0.3087335232387892,0.21553837448150043,0.6279477466023535,0.26332082003948576,0.48804595260842387
tree_current_raw,2025-12,682,201,0.29472140762463345,0.23072736850467165,0.20604555116205275,0.6097619412616414,0.42596876518823745,0.5830721651617174
tree_current_raw,2026-01,641,209,0.32605304212168484,0.22306387905213357,0.21386308704026305,0.6183070438608173,0.5186716348364443,0.6912546517809676
tree_current_raw,2026-02,613,202,0.3295269168026101,0.3380847857382536,0.2236482116996404,0.6396678878574674,0.3941807895511812,0.5584423405844234
tree_current_raw,2026-03,379,199,0.525065963060686,0.36649270985044463,0.2595978038728708,0.7156590885742136,0.6565045203373376,0.648855388051368
tree_current_cal,2025-11,656,177,0.2698170731707317,0.3087335232387892,0.21553837448150043,0.6279477466023535,0.26332082003948576,0.48804595260842387
tree_current_cal,2025-12,682,201,0.29472140762463345,0.1755018340768433,0.21541519432755088,0.6432277647500747,0.42596876518823745,0.5830721651617174
tree_current_cal,2026-01,641,209,0.32605304212168484,0.29714622637060106,0.20235616019432226,0.5913586408737358,0.5186716348364443,0.6912546517809676
tree_current_cal,2026-02,613,202,0.3295269168026101,0.46792931271443855,0.24466311448799838,0.6817507747780744,0.3941807895511812,0.5584423405844234
tree_current_cal,2026-03,379,199,0.525065963060686,0.3630851041784657,0.26070867215427784,0.7181290649674719,0.6565045203373376,0.648855388051368
recent28,2025-11,656,177,0.2698170731707317,0.2817325940844794,0.2024686168028553,0.5965858220154199,0.20105757937602842,0.32939386433601076
recent28,2025-12,682,201,0.29472140762463345,0.32402934203901346,0.2161095031731709,0.6254800648110699,0.2287517129685555,0.36243419079239975
recent28,2026-01,641,209,0.32605304212168484,0.24067215818720747,0.22518893092414508,0.645951431767186,0.39157232471214165,0.5246599769626086
recent28,2026-02,613,202,0.3295269168026101,0.34147218557395054,0.22274057274056064,0.6378186032099927,0.3002853636769522,0.438648791886488
recent28,2026-03,379,199,0.525065963060686,0.40498058161346506,0.26517290157798246,0.7243498437034173,0.5346810426729622,0.504424902289224
recent28_state,2025-11,656,177,0.2698170731707317,0.290561136899999,0.20177131822902217,0.5957502960584713,0.2679736177525225,0.4899862000636921
recent28_state,2025-12,682,201,0.29472140762463345,0.319943223687628,0.21223903025863974,0.6185916356965946,0.306458005600886,0.5144754398485742
recent28_state,2026-01,641,209,0.32605304212168484,0.26559716069931555,0.22035842121099133,0.6355789719712438,0.36406809142754826,0.5386208576998051
recent28_state,2026-02,613,202,0.3295269168026101,0.35479363586398505,0.22733809343369937,0.6478024676609062,0.2731029925640158,0.4136674616366746
recent28_state,2026-03,379,199,0.525065963060686,0.4229617976670739,0.2636054703987434,0.7221945228818432,0.5297665674250751,0.5142238972640983
mlp_20260909_raw,2025-11,656,177,0.2698170731707317,0.36981380627513294,0.21788303611089702,0.630522447669542,0.29909453362533067,0.48960286849958123
mlp_20260909_raw,2025-12,682,201,0.29472140762463345,0.28452429495740933,0.21660365908726148,0.6366263060573379,0.3087062215877753,0.5184472647159213
mlp_20260909_raw,2026-01,641,209,0.32605304212168484,0.3111896964019621,0.20477672594266202,0.5969622631290842,0.4902389880226029,0.6609959241538189
mlp_20260909_raw,2026-02,613,202,0.3295269168026101,0.33716061309004297,0.22016464059131882,0.6329482761927473,0.39981027503650474,0.5710775457107754
mlp_20260909_raw,2026-03,379,199,0.525065963060686,0.3943484566299771,0.23627353863881922,0.6696785887789687,0.7322365098361912,0.7064209938581797
mlp_20260910_raw,2025-11,656,177,0.2698170731707317,0.3017760270740837,0.2088481259785053,0.6188325599835558,0.2833780585968271,0.49163157708502886
mlp_20260910_raw,2025-12,682,201,0.29472140762463345,0.22646060744382418,0.21856114337225396,0.6565088785117813,0.3545745328054427,0.5240533300234792
mlp_20260910_raw,2026-01,641,209,0.32605304212168484,0.3010231190115539,0.20079463338719694,0.5851032114551954,0.5131352344456757,0.6939460393407761
mlp_20260910_raw,2026-02,613,202,0.3295269168026101,0.3503367137741206,0.21779351903537708,0.6266218339289272,0.3862214424578426,0.5870010358700103
mlp_20260910_raw,2026-03,379,199,0.525065963060686,0.39099001002775646,0.23212078381135898,0.6609376845864149,0.7577606082479382,0.7252931323283083
mlp_20260911_raw,2025-11,656,177,0.2698170731707317,0.4017596536247832,0.22126256763931235,0.6358479485247297,0.27461958004356346,0.48909569135321945
mlp_20260911_raw,2025-12,682,201,0.29472140762463345,0.2396045007326953,0.23988191951257598,0.7525261038642238,0.27038968478948594,0.4308705950496995
mlp_20260911_raw,2026-01,641,209,0.32605304212168484,0.30528121878641445,0.2047749518634971,0.5952170786328833,0.46876914444970247,0.66403065745171
mlp_20260911_raw,2026-02,613,202,0.3295269168026101,0.39033269606299736,0.2276033822224553,0.647883461072433,0.36007194112745317,0.5312447303124473
mlp_20260911_raw,2026-03,379,199,0.525065963060686,0.3758742524247056,0.24610455884277402,0.689656539351601,0.727660918151307,0.7055276381909548
mlp_ensemble_raw,2025-11,656,177,0.2698170731707317,0.3577831623246666,0.21237514110351527,0.6187610883444377,0.29869058327920295,0.49038132644515997
mlp_ensemble_raw,2025-12,682,201,0.29472140762463345,0.2501964677113096,0.2211223957761426,0.6518521949489041,0.29596239791783974,0.481645824929407
mlp_ensemble_raw,2026-01,641,209,0.32605304212168484,0.3058313447333101,0.20208177093536595,0.5890815079749399,0.5017535843966539,0.6849304447988658
mlp_ensemble_raw,2026-02,613,202,0.3295269168026101,0.3592766743090536,0.21945436560126852,0.6304169066381304,0.3894221402778089,0.5732576907325769
mlp_ensemble_raw,2026-03,379,199,0.525065963060686,0.38707090636081304,0.23667188748768148,0.6699974599575405,0.7474956183868477,0.7201563372417645
