model,n,positive,prevalence,mean_probability,brier,logloss,ap,auc
logistic_current_raw,1633,610,0.3735456215554195,0.37104553871810403,0.21461147276018985,0.61895671470146,0.5386833752937452,0.6755861096421647
logistic_current_cal,1633,610,0.3735456215554195,0.37536469697388,0.22431387680626755,0.6415067302669998,0.4941779073862382,0.6435812380815025
logistic_flat_raw,1633,610,0.3735456215554195,0.36474105093185777,0.2378097536643052,0.7075876556045358,0.49485846627619484,0.6316042497956829
logistic_flat_cal,1633,610,0.3735456215554195,0.34260497796861,0.23918785209991544,0.7145472374243972,0.4888030848855438,0.6298767687450924
tree_current_raw,1633,610,0.3735456215554195,0.29952887762601693,0.2281507411099242,0.6489197948199867,0.490573145459568,0.63706552569588
tree_current_cal,1633,610,0.3735456215554195,0.3765588819847793,0.23178038861737593,0.6547122041406591,0.4435368030525646,0.6067833277246286
recent28,1633,610,0.3735456215554195,0.3166447909285578,0.23354966657097126,0.6610938532113209,0.4416378076484815,0.5662019454192907
recent28_state,1633,610,0.3735456215554195,0.33560244954605334,0.2330155986235315,0.6602699068474718,0.42587972168022037,0.5533620178517058
mlp_20260909_raw,1633,610,0.3735456215554195,0.34023889545659236,0.2178631213446646,0.6273473907649271,0.5537666104983796,0.6571126388154416
mlp_20260910_raw,1633,610,0.3735456215554195,0.3404148430070188,0.2144461507865183,0.6182888702997329,0.5667959851432569,0.6734756341842539
mlp_20260911_raw,1633,610,0.3735456215554195,0.3535918834033512,0.22293646371603068,0.6369054117913878,0.5027592248375587,0.6287470153678509
mlp_ensemble_raw,1633,610,0.3735456215554195,0.3447485406223208,0.21663110020880494,0.6233777389497968,0.5590547348029222,0.6654872361905677
mlp_ensemble_cal,1633,610,0.3735456215554195,0.36136873980553047,0.21922676677650632,0.6292174674511388,0.5289689011699701,0.6511449770043107
gru_20260909_raw,1633,610,0.3735456215554195,0.34924410420440855,0.21525490849815454,0.6210072452301096,0.5456148579594838,0.669613640369854
gru_20260910_raw,1633,610,0.3735456215554195,0.37889949066264456,0.22060378413940832,0.6315310027408293,0.4963002899379396,0.6508805666394244
gru_20260911_raw,1633,610,0.3735456215554195,0.39388671979098255,0.22477086283626707,0.641758180860805,0.5014460622745336,0.632200374981972
gru_ensemble_raw,1633,610,0.3735456215554195,0.37401010488601194,0.21773608158757285,0.6260625549645893,0.5271256109154374,0.6566687498998446
gru_ensemble_cal,1633,610,0.3735456215554195,0.3826084019339724,0.22769214827512108,0.6472608595454786,0.4663650134619695,0.6188805025399421
tcn_20260909_raw,1633,610,0.3735456215554195,0.339905958916976,0.21680423599181672,0.6241623578846447,0.5430409304232233,0.6644664519334006
tcn_20260910_raw,1633,610,0.3735456215554195,0.3267498514492382,0.2169619207791821,0.6246415903752623,0.5683773798106901,0.66428537089563
tcn_20260911_raw,1633,610,0.3735456215554195,0.3242093680126493,0.21772393628045475,0.6274252195618772,0.5672248151229732,0.6612358380206079
tcn_ensemble_raw,1633,610,0.3735456215554195,0.33028839279295447,0.21564036263905548,0.6214435267498152,0.5735240474344183,0.6716087367594507
tcn_ensemble_cal,1633,610,0.3735456215554195,0.3744462445915161,0.21652644410587885,0.6236363268196842,0.5489930837982995,0.6652404531833405
