model,month,epochs,n_train,inner_n_train,inner_n_valid,inner_positive,valid_positive,n_parameters,last_training_target,first_test_origin
mlp_20260909,2025-11,5,3241,2659,576,319,145,561,2025-10-31 23:00:00+00:00,2025-11-01 01:00:00+00:00
mlp_20260909,2025-12,6,3898,3284,608,491,151,561,2025-11-30 23:00:00+00:00,2025-12-01 00:00:00+00:00
mlp_20260909,2026-01,8,4585,3963,616,670,173,561,2025-12-31 18:00:00+00:00,2026-01-02 21:00:00+00:00
mlp_20260909,2026-02,5,5225,4606,613,848,208,561,2026-01-31 23:00:00+00:00,2026-02-01 00:00:00+00:00
mlp_20260909,2026-03,16,5833,5225,607,1056,202,561,2026-02-28 23:00:00+00:00,2026-03-01 00:00:00+00:00
mlp_20260910,2025-11,7,3241,2659,576,319,145,561,2025-10-31 23:00:00+00:00,2025-11-01 01:00:00+00:00
mlp_20260910,2025-12,8,3898,3284,608,491,151,561,2025-11-30 23:00:00+00:00,2025-12-01 00:00:00+00:00
mlp_20260910,2026-01,5,4585,3963,616,670,173,561,2025-12-31 18:00:00+00:00,2026-01-02 21:00:00+00:00
mlp_20260910,2026-02,5,5225,4606,613,848,208,561,2026-01-31 23:00:00+00:00,2026-02-01 00:00:00+00:00
mlp_20260910,2026-03,13,5833,5225,607,1056,202,561,2026-02-28 23:00:00+00:00,2026-03-01 00:00:00+00:00
mlp_20260911,2025-11,6,3241,2659,576,319,145,561,2025-10-31 23:00:00+00:00,2025-11-01 01:00:00+00:00
mlp_20260911,2025-12,21,3898,3284,608,491,151,561,2025-11-30 23:00:00+00:00,2025-12-01 00:00:00+00:00
mlp_20260911,2026-01,10,4585,3963,616,670,173,561,2025-12-31 18:00:00+00:00,2026-01-02 21:00:00+00:00
mlp_20260911,2026-02,5,5225,4606,613,848,208,561,2026-01-31 23:00:00+00:00,2026-02-01 00:00:00+00:00
mlp_20260911,2026-03,11,5833,5225,607,1056,202,561,2026-02-28 23:00:00+00:00,2026-03-01 00:00:00+00:00
gru_20260909,2025-11,4,3241,2659,576,319,145,2465,2025-10-31 23:00:00+00:00,2025-11-01 01:00:00+00:00
gru_20260909,2025-12,4,3898,3284,608,491,151,2465,2025-11-30 23:00:00+00:00,2025-12-01 00:00:00+00:00
gru_20260909,2026-01,5,4585,3963,616,670,173,2465,2025-12-31 18:00:00+00:00,2026-01-02 21:00:00+00:00
gru_20260909,2026-02,5,5225,4606,613,848,208,2465,2026-01-31 23:00:00+00:00,2026-02-01 00:00:00+00:00
gru_20260909,2026-03,7,5833,5225,607,1056,202,2465,2026-02-28 23:00:00+00:00,2026-03-01 00:00:00+00:00
gru_20260910,2025-11,5,3241,2659,576,319,145,2465,2025-10-31 23:00:00+00:00,2025-11-01 01:00:00+00:00
gru_20260910,2025-12,5,3898,3284,608,491,151,2465,2025-11-30 23:00:00+00:00,2025-12-01 00:00:00+00:00
gru_20260910,2026-01,5,4585,3963,616,670,173,2465,2025-12-31 18:00:00+00:00,2026-01-02 21:00:00+00:00
gru_20260910,2026-02,3,5225,4606,613,848,208,2465,2026-01-31 23:00:00+00:00,2026-02-01 00:00:00+00:00
gru_20260910,2026-03,7,5833,5225,607,1056,202,2465,2026-02-28 23:00:00+00:00,2026-03-01 00:00:00+00:00
gru_20260911,2025-11,6,3241,2659,576,319,145,2465,2025-10-31 23:00:00+00:00,2025-11-01 01:00:00+00:00
gru_20260911,2025-12,5,3898,3284,608,491,151,2465,2025-11-30 23:00:00+00:00,2025-12-01 00:00:00+00:00
gru_20260911,2026-01,6,4585,3963,616,670,173,2465,2025-12-31 18:00:00+00:00,2026-01-02 21:00:00+00:00
gru_20260911,2026-02,2,5225,4606,613,848,208,2465,2026-01-31 23:00:00+00:00,2026-02-01 00:00:00+00:00
gru_20260911,2026-03,10,5833,5225,607,1056,202,2465,2026-02-28 23:00:00+00:00,2026-03-01 00:00:00+00:00
tcn_20260909,2025-11,2,3241,2659,576,319,145,6081,2025-10-31 23:00:00+00:00,2025-11-01 01:00:00+00:00
tcn_20260909,2025-12,2,3898,3284,608,491,151,6081,2025-11-30 23:00:00+00:00,2025-12-01 00:00:00+00:00
tcn_20260909,2026-01,3,4585,3963,616,670,173,6081,2025-12-31 18:00:00+00:00,2026-01-02 21:00:00+00:00
tcn_20260909,2026-02,3,5225,4606,613,848,208,6081,2026-01-31 23:00:00+00:00,2026-02-01 00:00:00+00:00
tcn_20260909,2026-03,3,5833,5225,607,1056,202,6081,2026-02-28 23:00:00+00:00,2026-03-01 00:00:00+00:00
tcn_20260910,2025-11,2,3241,2659,576,319,145,6081,2025-10-31 23:00:00+00:00,2025-11-01 01:00:00+00:00
tcn_20260910,2025-12,2,3898,3284,608,491,151,6081,2025-11-30 23:00:00+00:00,2025-12-01 00:00:00+00:00
tcn_20260910,2026-01,2,4585,3963,616,670,173,6081,2025-12-31 18:00:00+00:00,2026-01-02 21:00:00+00:00
tcn_20260910,2026-02,2,5225,4606,613,848,208,6081,2026-01-31 23:00:00+00:00,2026-02-01 00:00:00+00:00
tcn_20260910,2026-03,3,5833,5225,607,1056,202,6081,2026-02-28 23:00:00+00:00,2026-03-01 00:00:00+00:00
tcn_20260911,2025-11,1,3241,2659,576,319,145,6081,2025-10-31 23:00:00+00:00,2025-11-01 01:00:00+00:00
tcn_20260911,2025-12,2,3898,3284,608,491,151,6081,2025-11-30 23:00:00+00:00,2025-12-01 00:00:00+00:00
tcn_20260911,2026-01,2,4585,3963,616,670,173,6081,2025-12-31 18:00:00+00:00,2026-01-02 21:00:00+00:00
tcn_20260911,2026-02,1,5225,4606,613,848,208,6081,2026-01-31 23:00:00+00:00,2026-02-01 00:00:00+00:00
tcn_20260911,2026-03,5,5833,5225,607,1056,202,6081,2026-02-28 23:00:00+00:00,2026-03-01 00:00:00+00:00
