model,month,epoch,training_logloss,validation_logloss
mlp_20260909,2025-11,1,0.6673988600160987,0.6589524149894714
mlp_20260909,2025-11,2,0.6020443582498924,0.6461641788482666
mlp_20260909,2025-11,3,0.5421923425870984,0.6361720561981201
mlp_20260909,2025-11,4,0.4857965540217923,0.6304580569267273
mlp_20260909,2025-11,5,0.4435052846261728,0.6302401423454285
mlp_20260909,2025-11,6,0.41129485070817495,0.6376162767410278
mlp_20260909,2025-11,7,0.388269621835431,0.6500712037086487
mlp_20260909,2025-11,8,0.3729704435425802,0.6692823767662048
mlp_20260909,2025-11,9,0.3625073954883309,0.6883304715156555
mlp_20260909,2025-11,10,0.3574262328751332,0.7120037078857422
mlp_20260909,2025-11,11,0.3512238487349098,0.732472836971283
mlp_20260909,2025-11,12,0.34473774561692827,0.759644627571106
mlp_20260909,2025-12,1,0.6723004387879924,0.6452155113220215
mlp_20260909,2025-12,2,0.5959393741442719,0.6352480053901672
mlp_20260909,2025-12,3,0.5273955848417387,0.6274924278259277
mlp_20260909,2025-12,4,0.4724755933673896,0.6211902499198914
mlp_20260909,2025-12,5,0.4375607283121195,0.6160277128219604
mlp_20260909,2025-12,6,0.4183217103748461,0.6131598949432373
mlp_20260909,2025-12,7,0.40388454956055847,0.6132358312606812
mlp_20260909,2025-12,8,0.40040518911544065,0.6157559752464294
mlp_20260909,2025-12,9,0.39510778870419955,0.6175325512886047
mlp_20260909,2025-12,10,0.3889355863128016,0.618137538433075
mlp_20260909,2025-12,11,0.386333927639219,0.6206135749816895
mlp_20260909,2025-12,12,0.3847563400338251,0.6229745745658875
mlp_20260909,2025-12,13,0.38316767024790616,0.625646710395813
mlp_20260909,2026-01,1,0.6708913194600783,0.644580602645874
mlp_20260909,2026-01,2,0.5802489851359133,0.6189193725585938
mlp_20260909,2026-01,3,0.5088161121797237,0.6034517288208008
mlp_20260909,2026-01,4,0.4659511479590236,0.5949786305427551
mlp_20260909,2026-01,5,0.44301162134840005,0.5905696153640747
mlp_20260909,2026-01,6,0.4305890904677928,0.5891278982162476
mlp_20260909,2026-01,7,0.42519574661824006,0.5879234671592712
mlp_20260909,2026-01,8,0.41848568446462336,0.5877199769020081
mlp_20260909,2026-01,9,0.4168240174542104,0.5887446999549866
mlp_20260909,2026-01,10,0.4140730786287451,0.5894031524658203
mlp_20260909,2026-01,11,0.41304051830947264,0.5902707576751709
mlp_20260909,2026-01,12,0.4098489117267425,0.590682864189148
mlp_20260909,2026-01,13,0.4080037477038709,0.5934966802597046
mlp_20260909,2026-01,14,0.40845546564789936,0.5958230495452881
mlp_20260909,2026-01,15,0.40637741788541193,0.5973523855209351
mlp_20260909,2026-02,1,0.6657104243726975,0.6664283871650696
mlp_20260909,2026-02,2,0.5662999188335781,0.6350991129875183
mlp_20260909,2026-02,3,0.49832225381629236,0.6171163320541382
mlp_20260909,2026-02,4,0.4668511778465624,0.6100145578384399
mlp_20260909,2026-02,5,0.45190307371159816,0.6088747978210449
mlp_20260909,2026-02,6,0.44655392279171496,0.6088848114013672
mlp_20260909,2026-02,7,0.43857367127758495,0.6123184561729431
mlp_20260909,2026-02,8,0.4352864853931001,0.6129000782966614
mlp_20260909,2026-02,9,0.4325511125937473,0.6150098443031311
mlp_20260909,2026-02,10,0.4343262417157008,0.6161370873451233
mlp_20260909,2026-02,11,0.43204912811168317,0.6159974932670593
mlp_20260909,2026-02,12,0.4283272270994812,0.6171005964279175
mlp_20260909,2026-03,1,0.6593340466125159,0.6481928825378418
mlp_20260909,2026-03,2,0.5563243995442915,0.6457214951515198
mlp_20260909,2026-03,3,0.4944258545574389,0.6434201598167419
mlp_20260909,2026-03,4,0.47355151483316743,0.638684868812561
mlp_20260909,2026-03,5,0.46291958817454615,0.6361308097839355
mlp_20260909,2026-03,6,0.4594773411066338,0.6331393718719482
mlp_20260909,2026-03,7,0.45577346004367447,0.631446123123169
mlp_20260909,2026-03,8,0.45291670576237036,0.631948709487915
mlp_20260909,2026-03,9,0.45344249260482605,0.630209743976593
mlp_20260909,2026-03,10,0.4512783294830596,0.6317272186279297
mlp_20260909,2026-03,11,0.44863767134515864,0.6295568943023682
mlp_20260909,2026-03,12,0.44740891957967477,0.6304434537887573
mlp_20260909,2026-03,13,0.444383380093643,0.6307715177536011
mlp_20260909,2026-03,14,0.4440899523479516,0.628989577293396
mlp_20260909,2026-03,15,0.4433051253734023,0.6294548511505127
mlp_20260909,2026-03,16,0.4419343613038223,0.6285374164581299
mlp_20260909,2026-03,17,0.44156858502392565,0.6317827701568604
mlp_20260909,2026-03,18,0.44142831885073175,0.6292579174041748
mlp_20260909,2026-03,19,0.4385922022983788,0.6321945190429688
mlp_20260909,2026-03,20,0.4371746589350358,0.6319165229797363
mlp_20260909,2026-03,21,0.436844049965936,0.6310723423957825
mlp_20260909,2026-03,22,0.43819808496812884,0.6317243576049805
mlp_20260909,2026-03,23,0.4348535345216687,0.632042646408081
mlp_20260910,2025-11,1,0.6423719199630002,0.7113587856292725
